status,error,echelle,province,commune,type,valeur,label,scale_mode,score_total_pct,score_province_pct,score_nc_pct,title,subtitle,raster,png_r,qgis_output,qgis_format,qgis_exported,nb_points,resolution_m,classes,min_pct,max_pct
ok,,province,Province des Iles,,parti,UNI-PLK,UNI,echelle_adaptee,21.24,,,"Province des Iles - Provinciales 2019 - UNI - 21,2 % exprimés",,compilation_elections_nc/outputs/rfocus/provinciales_2019_scrutin_parti_uni_plk_province_province_des_iles.tif,compilation_elections_nc/outputs/cartes_focus_r/provinciales_2019_scrutin_parti_uni_plk_province_province_des_iles.png,compilation_elections_nc/outputs/cartes_qgis/provinciales_2019_focus/province/partis_echelle_adaptee/province_des_iles_uni_plk_echelle_adaptee.png,png,TRUE,44,250,6,2.62,62.46
ok,,province,Province des Iles,,parti,PT,Parti Travailliste,echelle_adaptee,14.34,,,"Province des Iles - Provinciales 2019 - Parti Travailliste - 14,3 % exprimés",,compilation_elections_nc/outputs/rfocus/provinciales_2019_scrutin_parti_pt_province_province_des_iles.tif,compilation_elections_nc/outputs/cartes_focus_r/provinciales_2019_scrutin_parti_pt_province_province_des_iles.png,compilation_elections_nc/outputs/cartes_qgis/provinciales_2019_focus/province/partis_echelle_adaptee/province_des_iles_pt_echelle_adaptee.png,png,TRUE,44,250,6,1.51,68.49
ok,,province,Province des Iles,,parti,LKS,LKS,echelle_adaptee,10.98,,,"Province des Iles - Provinciales 2019 - LKS - 11,0 % exprimés",,compilation_elections_nc/outputs/rfocus/provinciales_2019_scrutin_parti_lks_province_province_des_iles.tif,compilation_elections_nc/outputs/cartes_focus_r/provinciales_2019_scrutin_parti_lks_province_province_des_iles.png,compilation_elections_nc/outputs/cartes_qgis/provinciales_2019_focus/province/partis_echelle_adaptee/province_des_iles_lks_echelle_adaptee.png,png,TRUE,44,250,6,0,63.69
ok,,province,Province des Iles,,parti,CE,Calédonie Ensemble,echelle_adaptee,6.09,,,"Province des Iles - Provinciales 2019 - Calédonie Ensemble - 6,1 % exprimés",,compilation_elections_nc/outputs/rfocus/provinciales_2019_scrutin_parti_ce_province_province_des_iles.tif,compilation_elections_nc/outputs/cartes_focus_r/provinciales_2019_scrutin_parti_ce_province_province_des_iles.png,compilation_elections_nc/outputs/cartes_qgis/provinciales_2019_focus/province/partis_echelle_adaptee/province_des_iles_ce_echelle_adaptee.png,png,TRUE,44,250,6,0.01,23.35
ok,,province,Province des Iles,,parti,UC-FLNKS,UC-FLNKS et Nationalistes,echelle_comparable,37.09,,,"Province des Iles - Provinciales 2019 - UC-FLNKS et Nationalistes - 37,1 % exprimés",,compilation_elections_nc/outputs/rfocus/provinciales_2019_scrutin_parti_uc_flnks_province_province_des_iles.tif,compilation_elections_nc/outputs/cartes_focus_r/provinciales_2019_scrutin_parti_uc_flnks_province_province_des_iles.png,compilation_elections_nc/outputs/cartes_qgis/provinciales_2019_focus/province/partis_echelle_comparable/province_des_iles_uc_flnks_echelle_comparable.png,png,TRUE,44,250,6,8.82,89.66
ok,,province,Province des Iles,,parti,UNI-PLK,UNI,echelle_comparable,21.24,,,"Province des Iles - Provinciales 2019 - UNI - 21,2 % exprimés",,compilation_elections_nc/outputs/rfocus/provinciales_2019_scrutin_parti_uni_plk_province_province_des_iles.tif,compilation_elections_nc/outputs/cartes_focus_r/provinciales_2019_scrutin_parti_uni_plk_province_province_des_iles.png,compilation_elections_nc/outputs/cartes_qgis/provinciales_2019_focus/province/partis_echelle_comparable/province_des_iles_uni_plk_echelle_comparable.png,png,TRUE,44,250,6,2.62,62.46
ok,,province,Province des Iles,,parti,PT,Parti Travailliste,echelle_comparable,14.34,,,"Province des Iles - Provinciales 2019 - Parti Travailliste - 14,3 % exprimés",,compilation_elections_nc/outputs/rfocus/provinciales_2019_scrutin_parti_pt_province_province_des_iles.tif,compilation_elections_nc/outputs/cartes_focus_r/provinciales_2019_scrutin_parti_pt_province_province_des_iles.png,compilation_elections_nc/outputs/cartes_qgis/provinciales_2019_focus/province/partis_echelle_comparable/province_des_iles_pt_echelle_comparable.png,png,TRUE,44,250,6,1.51,68.49
ok,,province,Province des Iles,,parti,LKS,LKS,echelle_comparable,10.98,,,"Province des Iles - Provinciales 2019 - LKS - 11,0 % exprimés",,compilation_elections_nc/outputs/rfocus/provinciales_2019_scrutin_parti_lks_province_province_des_iles.tif,compilation_elections_nc/outputs/cartes_focus_r/provinciales_2019_scrutin_parti_lks_province_province_des_iles.png,compilation_elections_nc/outputs/cartes_qgis/provinciales_2019_focus/province/partis_echelle_comparable/province_des_iles_lks_echelle_comparable.png,png,TRUE,44,250,6,0,63.69
ok,,province,Province des Iles,,parti,CE,Calédonie Ensemble,echelle_comparable,6.09,,,"Province des Iles - Provinciales 2019 - Calédonie Ensemble - 6,1 % exprimés",,compilation_elections_nc/outputs/rfocus/provinciales_2019_scrutin_parti_ce_province_province_des_iles.tif,compilation_elections_nc/outputs/cartes_focus_r/provinciales_2019_scrutin_parti_ce_province_province_des_iles.png,compilation_elections_nc/outputs/cartes_qgis/provinciales_2019_focus/province/partis_echelle_comparable/province_des_iles_ce_echelle_comparable.png,png,TRUE,44,250,6,0.01,23.35
ok,,commune,Province Sud,Nouméa,abstention,abstention,Abstention,echelle_adaptee,34.31,32.77,33.5,"Nouméa - Provinciales 2019 - Abstention - 34,3 % inscrits","Province Sud : 32,8 % inscrits | Nouvelle-Calédonie : 33,5 % inscrits",compilation_elections_nc/outputs/rfocus/provinciales_2019_scrutin_abstention_abstention_commune_noumea.tif,compilation_elections_nc/outputs/cartes_focus_r/provinciales_2019_scrutin_abstention_abstention_commune_noumea.png,compilation_elections_nc/outputs/cartes_qgis/provinciales_2019_focus/noumea/participation_abstention/noumea_abstention_echelle_adaptee.png,png,TRUE,57,20,6,22.51,49.74
ok,,commune,Province Sud,Nouméa,participation,participation,Participation,echelle_adaptee,65.69,67.23,66.5,"Nouméa - Provinciales 2019 - Participation - 65,7 % inscrits","Province Sud : 67,2 % inscrits | Nouvelle-Calédonie : 66,5 % inscrits",compilation_elections_nc/outputs/rfocus/provinciales_2019_scrutin_participation_participation_commune_noumea.tif,compilation_elections_nc/outputs/cartes_focus_r/provinciales_2019_scrutin_participation_participation_commune_noumea.png,compilation_elections_nc/outputs/cartes_qgis/provinciales_2019_focus/noumea/participation_abstention/noumea_participation_echelle_adaptee.png,png,TRUE,57,20,6,50.26,77.49
ok,,province,Province Nord,,abstention,abstention,Abstention,echelle_adaptee,35.46,,33.5,"Province Nord - Provinciales 2019 - Abstention - 35,5 % inscrits","Nouvelle-Calédonie : 33,5 % inscrits",compilation_elections_nc/outputs/rfocus/provinciales_2019_scrutin_abstention_abstention_province_province_nord.tif,compilation_elections_nc/outputs/cartes_focus_r/provinciales_2019_scrutin_abstention_abstention_province_province_nord.png,compilation_elections_nc/outputs/cartes_qgis/provinciales_2019_focus/province/participation_abstention/province_nord_abstention_echelle_adaptee.png,png,TRUE,92,250,6,14.79,54.26
ok,,province,Province Nord,,participation,participation,Participation,echelle_adaptee,64.54,,66.5,"Province Nord - Provinciales 2019 - Participation - 64,5 % inscrits","Nouvelle-Calédonie : 66,5 % inscrits",compilation_elections_nc/outputs/rfocus/provinciales_2019_scrutin_participation_participation_province_province_nord.tif,compilation_elections_nc/outputs/cartes_focus_r/provinciales_2019_scrutin_participation_participation_province_province_nord.png,compilation_elections_nc/outputs/cartes_qgis/provinciales_2019_focus/province/participation_abstention/province_nord_participation_echelle_adaptee.png,png,TRUE,92,250,6,45.74,85.21
ok,,province,Province Sud,,abstention,abstention,Abstention,echelle_adaptee,32.77,,33.5,"Province Sud - Provinciales 2019 - Abstention - 32,8 % inscrits","Nouvelle-Calédonie : 33,5 % inscrits",compilation_elections_nc/outputs/rfocus/provinciales_2019_scrutin_abstention_abstention_province_province_sud.tif,compilation_elections_nc/outputs/cartes_focus_r/provinciales_2019_scrutin_abstention_abstention_province_province_sud.png,compilation_elections_nc/outputs/cartes_qgis/provinciales_2019_focus/province/participation_abstention/province_sud_abstention_echelle_adaptee.png,png,TRUE,147,250,6,17.08,49.62
ok,,province,Province Sud,,participation,participation,Participation,echelle_adaptee,67.23,,66.5,"Province Sud - Provinciales 2019 - Participation - 67,2 % inscrits","Nouvelle-Calédonie : 66,5 % inscrits",compilation_elections_nc/outputs/rfocus/provinciales_2019_scrutin_participation_participation_province_province_sud.tif,compilation_elections_nc/outputs/cartes_focus_r/provinciales_2019_scrutin_participation_participation_province_province_sud.png,compilation_elections_nc/outputs/cartes_qgis/provinciales_2019_focus/province/participation_abstention/province_sud_participation_echelle_adaptee.png,png,TRUE,147,250,6,50.38,82.92
ok,,province,Province des Iles,,abstention,abstention,Abstention,echelle_adaptee,33.51,,33.5,"Province des Iles - Provinciales 2019 - Abstention - 33,5 % inscrits","Nouvelle-Calédonie : 33,5 % inscrits",compilation_elections_nc/outputs/rfocus/provinciales_2019_scrutin_abstention_abstention_province_province_des_iles.tif,compilation_elections_nc/outputs/cartes_focus_r/provinciales_2019_scrutin_abstention_abstention_province_province_des_iles.png,compilation_elections_nc/outputs/cartes_qgis/provinciales_2019_focus/province/participation_abstention/province_des_iles_abstention_echelle_adaptee.png,png,TRUE,44,250,6,20.47,49.39
ok,,province,Province des Iles,,participation,participation,Participation,echelle_adaptee,66.49,,66.5,"Province des Iles - Provinciales 2019 - Participation - 66,5 % inscrits","Nouvelle-Calédonie : 66,5 % inscrits",compilation_elections_nc/outputs/rfocus/provinciales_2019_scrutin_participation_participation_province_province_des_iles.tif,compilation_elections_nc/outputs/cartes_focus_r/provinciales_2019_scrutin_participation_participation_province_province_des_iles.png,compilation_elections_nc/outputs/cartes_qgis/provinciales_2019_focus/province/participation_abstention/province_des_iles_participation_echelle_adaptee.png,png,TRUE,44,250,6,50.61,79.53
