nom_cle_comparaison_2019,nom_cle_comparaison_2026,nom_affiche_2019,nom_affiche_2026,provinces_2019,provinces_2026,listes_2019,listes_2026,methode_correspondance,confiance_correspondance,nb_tokens_communs,dice_tokens,jw_distance,tokens_nom_famille_communs,tokens_prenoms_communs,annee.x,nom_prenoms_2019,province_2019,numero_liste_2019,liste_id_2019,liste_nom_court_2019,camp_institutionnel_2019,famille_politique_2019,composante_politique_candidat_2019,axe_politique_2019,axe_politique_ordre_2019,rang_2019,tokens_nom_famille_2019,tokens_prenoms_2019,annee.y,nom_prenoms_2026,province_2026,numero_liste_2026,liste_id_2026,liste_nom_court_2026,camp_institutionnel_2026,famille_politique_2026,composante_politique_candidat_2026,axe_politique_2026,axe_politique_ordre_2026,rang_2026,tokens_nom_famille_2026,tokens_prenoms_2026,meme_province,meme_liste_court,meme_camp,meme_axe_politique
TOURNIER YVANA,TOURNIER YVANA,Yvana TOURNIER,TOURNIER Yvana,Province Sud,Province Sud,Province Sud - 02 - Rassemblement national,Province Sud - 08 - Pour une Caledonie francaise,exact,haute,NA,NA,0,NA,NA,2019,Yvana TOURNIER,Province Sud,2,2019_Province Sud_02,Rassemblement national,Non-independantiste / droite nationale,Rassemblement national / droite nationale,Rassemblement national / droite nationale,Droite nationale anti-independantiste,7,34,TOURNIER,YVANA,2026,TOURNIER Yvana,Province Sud,8,2026_Province Sud_08,Pour une Caledonie francaise,Non-independantiste / droite nationale,Voix du Caillou / Rassemblement national diss.,Voix du Caillou / Rassemblement national diss.,Droite nationale anti-independantiste,7,46,TOURNIER,YVANA,TRUE,FALSE,TRUE,TRUE
BACKES SONIA,BACKES SONIA,Sonia BACKES,BACKES Sonia,Province Sud,Province Sud,Province Sud - 03 - L'Avenir en confiance,Province Sud - 10 - Les Loyalistes et Le Rassemblement,exact,haute,NA,NA,0,NA,NA,2019,Sonia BACKES,Province Sud,3,2019_Province Sud_03,L'Avenir en confiance,Non-independantiste / loyaliste,Loyaliste droite,Loyaliste droite,Loyaliste droite,6,1,BACKES,SONIA,2026,BACKES Sonia,Province Sud,10,2026_Province Sud_10,Les Loyalistes et Le Rassemblement,Non-independantiste / loyaliste,Les Loyalistes + Rassemblement-LR,Les Loyalistes,Loyaliste droite,6,1,BACKES,SONIA,TRUE,FALSE,TRUE,TRUE
RUFFENACH VIRGINIE,RUFFENACH VIRGINIE,Virginie RUFFENACH,RUFFENACH Virginie,Province Sud,Province Sud,Province Sud - 03 - L'Avenir en confiance,Province Sud - 10 - Les Loyalistes et Le Rassemblement,exact,haute,NA,NA,0,NA,NA,2019,Virginie RUFFENACH,Province Sud,3,2019_Province Sud_03,L'Avenir en confiance,Non-independantiste / loyaliste,Loyaliste droite,Loyaliste droite,Loyaliste droite,6,3,RUFFENACH,VIRGINIE,2026,RUFFENACH Virginie,Province Sud,10,2026_Province Sud_10,Les Loyalistes et Le Rassemblement,Non-independantiste / loyaliste,Les Loyalistes + Rassemblement-LR,Rassemblement,Loyaliste droite,6,3,RUFFENACH,VIRGINIE,TRUE,FALSE,TRUE,TRUE
BRIAL GIL,BRIAL GIL,Gil BRIAL,BRIAL Gil,Province Sud,Province Sud,Province Sud - 03 - L'Avenir en confiance,Province Sud - 10 - Les Loyalistes et Le Rassemblement,exact,haute,NA,NA,0,NA,NA,2019,Gil BRIAL,Province Sud,3,2019_Province Sud_03,L'Avenir en confiance,Non-independantiste / loyaliste,Loyaliste droite,Loyaliste droite,Loyaliste droite,6,4,BRIAL,GIL,2026,BRIAL Gil,Province Sud,10,2026_Province Sud_10,Les Loyalistes et Le Rassemblement,Non-independantiste / loyaliste,Les Loyalistes + Rassemblement-LR,Les Loyalistes,Loyaliste droite,6,4,BRIAL,GIL,TRUE,FALSE,TRUE,TRUE
LAURA VENDEGOU,LAURA VENDEGOU,Laura VENDEGOU,VENDEGOU Laura,Province Sud,Province Sud,Province Sud - 03 - L'Avenir en confiance,Province Sud - 10 - Les Loyalistes et Le Rassemblement,exact,haute,NA,NA,0,NA,NA,2019,Laura VENDEGOU,Province Sud,3,2019_Province Sud_03,L'Avenir en confiance,Non-independantiste / loyaliste,Loyaliste droite,Loyaliste droite,Loyaliste droite,6,7,VENDEGOU,LAURA,2026,VENDEGOU Laura,Province Sud,10,2026_Province Sud_10,Les Loyalistes et Le Rassemblement,Non-independantiste / loyaliste,Les Loyalistes + Rassemblement-LR,Rassemblement,Loyaliste droite,6,15,VENDEGOU,LAURA,TRUE,FALSE,TRUE,TRUE
CHRISTOPHER GYGES,CHRISTOPHER GYGES,Christopher GYGES,GYGES Christopher,Province Sud,Province Sud,Province Sud - 03 - L'Avenir en confiance,Province Sud - 10 - Les Loyalistes et Le Rassemblement,exact,haute,NA,NA,0,NA,NA,2019,Christopher GYGES,Province Sud,3,2019_Province Sud_03,L'Avenir en confiance,Non-independantiste / loyaliste,Loyaliste droite,Loyaliste droite,Loyaliste droite,6,8,GYGES,CHRISTOPHER,2026,GYGES Christopher,Province Sud,10,2026_Province Sud_10,Les Loyalistes et Le Rassemblement,Non-independantiste / loyaliste,Les Loyalistes + Rassemblement-LR,Loyalistes / Rassemblement - candidat non rattache par groupe actuel,Loyaliste droite,6,10,GYGES,CHRISTOPHER,TRUE,FALSE,TRUE,TRUE
NAIA WATEOU,NAIA WATEOU,Naïa WATEOU,WATEOU Naïa,Province Sud,Province Sud,Province Sud - 03 - L'Avenir en confiance,Province Sud - 10 - Les Loyalistes et Le Rassemblement,exact,haute,NA,NA,0,NA,NA,2019,Naïa WATEOU,Province Sud,3,2019_Province Sud_03,L'Avenir en confiance,Non-independantiste / loyaliste,Loyaliste droite,Loyaliste droite,Loyaliste droite,6,11,WATEOU,NAIA,2026,WATEOU Naïa,Province Sud,10,2026_Province Sud_10,Les Loyalistes et Le Rassemblement,Non-independantiste / loyaliste,Les Loyalistes + Rassemblement-LR,Loyalistes / Rassemblement - candidat non rattache par groupe actuel,Loyaliste droite,6,13,WATEOU,NAIA,TRUE,FALSE,TRUE,TRUE
MALFAR MURIEL PAUGA,MALFAR MURIEL PAUGA,Muriel MALFAR-PAUGA,MALFAR-PAUGA Muriel,Province Sud,Province Sud,Province Sud - 03 - L'Avenir en confiance,Province Sud - 10 - Les Loyalistes et Le Rassemblement,exact,haute,NA,NA,0,NA,NA,2019,Muriel MALFAR-PAUGA,Province Sud,3,2019_Province Sud_03,L'Avenir en confiance,Non-independantiste / loyaliste,Loyaliste droite,Loyaliste droite,Loyaliste droite,6,13,MALFAR|PAUGA,MURIEL,2026,MALFAR-PAUGA Muriel,Province Sud,10,2026_Province Sud_10,Les Loyalistes et Le Rassemblement,Non-independantiste / loyaliste,Les Loyalistes + Rassemblement-LR,Les Loyalistes,Loyaliste droite,6,23,MALFAR|PAUGA,MURIEL,TRUE,FALSE,TRUE,TRUE
BARBIER JO MARIE,BARBIER JO MARIE,Marie-Jo BARBIER,BARBIER Marie-Jo,Province Sud,Province Sud,Province Sud - 03 - L'Avenir en confiance,Province Sud - 10 - Les Loyalistes et Le Rassemblement,exact,haute,NA,NA,0,NA,NA,2019,Marie-Jo BARBIER,Province Sud,3,2019_Province Sud_03,L'Avenir en confiance,Non-independantiste / loyaliste,Loyaliste droite,Loyaliste droite,Loyaliste droite,6,19,BARBIER,MARIE|JO,2026,BARBIER Marie-Jo,Province Sud,10,2026_Province Sud_10,Les Loyalistes et Le Rassemblement,Non-independantiste / loyaliste,Les Loyalistes + Rassemblement-LR,Les Loyalistes,Loyaliste droite,6,19,BARBIER,MARIE|JO,TRUE,FALSE,TRUE,TRUE
LEA TRIPODI,LEA TRIPODI,Léa TRIPODI,TRIPODI Léa,Province Sud,Province Sud,Province Sud - 03 - L'Avenir en confiance,Province Sud - 10 - Les Loyalistes et Le Rassemblement,exact,haute,NA,NA,0,NA,NA,2019,Léa TRIPODI,Province Sud,3,2019_Province Sud_03,L'Avenir en confiance,Non-independantiste / loyaliste,Loyaliste droite,Loyaliste droite,Loyaliste droite,6,21,TRIPODI,LEA,2026,TRIPODI Léa,Province Sud,10,2026_Province Sud_10,Les Loyalistes et Le Rassemblement,Non-independantiste / loyaliste,Les Loyalistes + Rassemblement-LR,Les Loyalistes,Loyaliste droite,6,25,TRIPODI,LEA,TRUE,FALSE,TRUE,TRUE
CHRISTIANE SARIDJAN VERGER,CHRISTIANE SARIDJAN VERGER,Christiane SARIDJAN-VERGER,SARIDJAN-VERGER Christiane,Province Sud,Province Sud,Province Sud - 03 - L'Avenir en confiance,Province Sud - 10 - Les Loyalistes et Le Rassemblement,exact,haute,NA,NA,0,NA,NA,2019,Christiane SARIDJAN-VERGER,Province Sud,3,2019_Province Sud_03,L'Avenir en confiance,Non-independantiste / loyaliste,Loyaliste droite,Loyaliste droite,Loyaliste droite,6,23,SARIDJAN|VERGER,CHRISTIANE,2026,SARIDJAN-VERGER Christiane,Province Sud,10,2026_Province Sud_10,Les Loyalistes et Le Rassemblement,Non-independantiste / loyaliste,Les Loyalistes + Rassemblement-LR,Les Loyalistes,Loyaliste droite,6,35,SARIDJAN|VERGER,CHRISTIANE,TRUE,FALSE,TRUE,TRUE
JOAN MAPOU,JOAN MAPOU,Joan MAPOU,MAPOU Joan,Province Sud,Province Sud,Province Sud - 03 - L'Avenir en confiance,Province Sud - 01 - Un autre monde est possible,exact,haute,NA,NA,0,NA,NA,2019,Joan MAPOU,Province Sud,3,2019_Province Sud_03,L'Avenir en confiance,Non-independantiste / loyaliste,Loyaliste droite,Loyaliste droite,Loyaliste droite,6,26,MAPOU,JOAN,2026,MAPOU Joan,Province Sud,1,2026_Province Sud_01,Un autre monde est possible,Oceanien / transversal,Eveil oceanien / centre non-independantiste oceanien,Eveil oceanien / centre non-independantiste oceanien,Oceanien / transversal,4,15,MAPOU,JOAN,TRUE,FALSE,FALSE,FALSE
GOYETCHE MARIE PIERRE,GOYETCHE MARIE PIERRE,Marie-Pierre GOYETCHE,GOYETCHE Marie-Pierre,Province Sud,Province Sud,Province Sud - 04 - Parti travailliste et forces progressistes,Province Sud - 02 - Kanaky pour tous,exact,haute,NA,NA,0,NA,NA,2019,Marie-Pierre GOYETCHE,Province Sud,4,2019_Province Sud_04,Parti travailliste et forces progressistes,Independantiste / souverainiste,Parti travailliste,Parti travailliste,Independantiste FLNKS / gauche,1,2,GOYETCHE,MARIE|PIERRE,2026,GOYETCHE Marie-Pierre,Province Sud,2,2026_Province Sud_02,Kanaky pour tous,Independantiste / souverainiste,FLNKS elargi / UC-CCAT-DUS-RDO-DA-PT,FLNKS elargi / UC-CCAT-DUS-RDO-DA-PT,Independantiste FLNKS / gauche,1,4,GOYETCHE,MARIE|PIERRE,TRUE,FALSE,TRUE,TRUE
FIDELI JEAN MALALUA,FIDELI JEAN MALALUA,Jean-Fidéli MALALUA,MALALUA Jean-Fidéli,Province Sud,Province Sud,Province Sud - 04 - Parti travailliste et forces progressistes,Province Sud - 02 - Kanaky pour tous,exact,haute,NA,NA,0,NA,NA,2019,Jean-Fidéli MALALUA,Province Sud,4,2019_Province Sud_04,Parti travailliste et forces progressistes,Independantiste / souverainiste,Parti travailliste,Parti travailliste,Independantiste FLNKS / gauche,1,3,MALALUA,JEAN|FIDELI,2026,MALALUA Jean-Fidéli,Province Sud,2,2026_Province Sud_02,Kanaky pour tous,Independantiste / souverainiste,FLNKS elargi / UC-CCAT-DUS-RDO-DA-PT,FLNKS elargi / UC-CCAT-DUS-RDO-DA-PT,Independantiste FLNKS / gauche,1,39,MALALUA,JEAN|FIDELI,TRUE,FALSE,TRUE,TRUE
CHANEL MARIE MATAILA,CHANEL MARIE MATAILA,Marie-Chanel MATAILA,MATAILA Marie-Chanel,Province Sud,Province Sud,Province Sud - 04 - Parti travailliste et forces progressistes,Province Sud - 02 - Kanaky pour tous,exact,haute,NA,NA,0,NA,NA,2019,Marie-Chanel MATAILA,Province Sud,4,2019_Province Sud_04,Parti travailliste et forces progressistes,Independantiste / souverainiste,Parti travailliste,Parti travailliste,Independantiste FLNKS / gauche,1,10,MATAILA,MARIE|CHANEL,2026,MATAILA Marie-Chanel,Province Sud,2,2026_Province Sud_02,Kanaky pour tous,Independantiste / souverainiste,FLNKS elargi / UC-CCAT-DUS-RDO-DA-PT,FLNKS elargi / UC-CCAT-DUS-RDO-DA-PT,Independantiste FLNKS / gauche,1,24,MATAILA,MARIE|CHANEL,TRUE,FALSE,TRUE,TRUE
CHANTAL MAVOUI,CHANTAL MAVOUI,Chantal MAVOUI,MAVOUI Chantal,Province Sud,Province Sud,Province Sud - 04 - Parti travailliste et forces progressistes,Province Sud - 04 - Alliance Pacifik enracinee,exact,haute,NA,NA,0,NA,NA,2019,Chantal MAVOUI,Province Sud,4,2019_Province Sud_04,Parti travailliste et forces progressistes,Independantiste / souverainiste,Parti travailliste,Parti travailliste,Independantiste FLNKS / gauche,1,22,MAVOUI,CHANTAL,2026,MAVOUI Chantal,Province Sud,4,2026_Province Sud_04,Alliance Pacifik enracinee,Oceanien / transversal,Alliance Pacifik / oceanien-local,Alliance Pacifik / oceanien-local,Oceanien / transversal,4,47,MAVOUI,CHANTAL,TRUE,FALSE,FALSE,FALSE
HOLLE VALENTINE WAKELI,HOLLE VALENTINE WAKELI,Valentine HOLLE née WAKELI,HOLLE née WAKELI Valentine,Province Sud,Province Sud,Province Sud - 05 - Caledonie nouvelle et reunie,Province Sud - 12 - Un espoir pour demain,exact,haute,NA,NA,0,NA,NA,2019,Valentine HOLLE née WAKELI,Province Sud,5,2019_Province Sud_05,Caledonie nouvelle et reunie,A preciser,Divers / a preciser,Divers / a preciser,A preciser,8,4,HOLLE|WAKELI,VALENTINE,2026,HOLLE née WAKELI Valentine,Province Sud,12,2026_Province Sud_12,Un espoir pour demain,Non-independantiste / autonomiste modere,Centre droit non-independantiste / nationalisme caledonien,Centre droit non-independantiste / nationalisme caledonien,Centre non-independantiste,5,22,HOLLE|WAKELI,VALENTINE,TRUE,FALSE,FALSE,FALSE
MILAKULO TUKUMULI,MILAKULO TUKUMULI,Milakulo TUKUMULI,TUKUMULI Milakulo,Province Sud,Province Sud,Province Sud - 06 - L'Eveil oceanien,Province Sud - 01 - Un autre monde est possible,exact,haute,NA,NA,0,NA,NA,2019,Milakulo TUKUMULI,Province Sud,6,2019_Province Sud_06,L'Eveil oceanien,Oceanien / transversal,Eveil oceanien / oceanien,Eveil oceanien / oceanien,Oceanien / transversal,4,1,TUKUMULI,MILAKULO,2026,TUKUMULI Milakulo,Province Sud,1,2026_Province Sud_01,Un autre monde est possible,Oceanien / transversal,Eveil oceanien / centre non-independantiste oceanien,Eveil oceanien / centre non-independantiste oceanien,Oceanien / transversal,4,1,TUKUMULI,MILAKULO,TRUE,FALSE,TRUE,TRUE
FALAEO VEYLMA,FALAEO VEYLMA,Veylma FALAEO,FALAEO Veylma,Province Sud,Province Sud,Province Sud - 06 - L'Eveil oceanien,Province Sud - 01 - Un autre monde est possible,exact,haute,NA,NA,0,NA,NA,2019,Veylma FALAEO,Province Sud,6,2019_Province Sud_06,L'Eveil oceanien,Oceanien / transversal,Eveil oceanien / oceanien,Eveil oceanien / oceanien,Oceanien / transversal,4,2,FALAEO,VEYLMA,2026,FALAEO Veylma,Province Sud,1,2026_Province Sud_01,Un autre monde est possible,Oceanien / transversal,Eveil oceanien / centre non-independantiste oceanien,Eveil oceanien / centre non-independantiste oceanien,Oceanien / transversal,4,2,FALAEO,VEYLMA,TRUE,FALSE,TRUE,TRUE
PETELO SAO,PETELO SAO,Petelo SAO,SAO Petelo,Province Sud,Province Sud,Province Sud - 06 - L'Eveil oceanien,Province Sud - 01 - Un autre monde est possible,exact,haute,NA,NA,0,NA,NA,2019,Petelo SAO,Province Sud,6,2019_Province Sud_06,L'Eveil oceanien,Oceanien / transversal,Eveil oceanien / oceanien,Eveil oceanien / oceanien,Oceanien / transversal,4,5,SAO,PETELO,2026,SAO Petelo,Province Sud,1,2026_Province Sud_01,Un autre monde est possible,Oceanien / transversal,Eveil oceanien / centre non-independantiste oceanien,Eveil oceanien / centre non-independantiste oceanien,Oceanien / transversal,4,7,SAO,PETELO,TRUE,FALSE,TRUE,TRUE
JONAS TAOFIFENUA,JONAS TAOFIFENUA,Jonas TAOFIFENUA,TAOFIFENUA Jonas,Province Sud,Province Sud,Province Sud - 06 - L'Eveil oceanien,Province Sud - 10 - Les Loyalistes et Le Rassemblement,exact,haute,NA,NA,0,NA,NA,2019,Jonas TAOFIFENUA,Province Sud,6,2019_Province Sud_06,L'Eveil oceanien,Oceanien / transversal,Eveil oceanien / oceanien,Eveil oceanien / oceanien,Oceanien / transversal,4,9,TAOFIFENUA,JONAS,2026,TAOFIFENUA Jonas,Province Sud,10,2026_Province Sud_10,Les Loyalistes et Le Rassemblement,Non-independantiste / loyaliste,Les Loyalistes + Rassemblement-LR,Loyalistes / Rassemblement - candidat non rattache par groupe actuel,Loyaliste droite,6,30,TAOFIFENUA,JONAS,TRUE,FALSE,FALSE,FALSE
JEAN LOTAUT MICHEL,JEAN LOTAUT MICHEL,Jean Michel LOTAUT,LOTAUT Jean Michel,Province Sud,Province Sud,Province Sud - 06 - L'Eveil oceanien,Province Sud - 01 - Un autre monde est possible,exact,haute,NA,NA,0,NA,NA,2019,Jean Michel LOTAUT,Province Sud,6,2019_Province Sud_06,L'Eveil oceanien,Oceanien / transversal,Eveil oceanien / oceanien,Eveil oceanien / oceanien,Oceanien / transversal,4,19,LOTAUT,JEAN|MICHEL,2026,LOTAUT Jean Michel,Province Sud,1,2026_Province Sud_01,Un autre monde est possible,Oceanien / transversal,Eveil oceanien / centre non-independantiste oceanien,Eveil oceanien / centre non-independantiste oceanien,Oceanien / transversal,4,48,LOTAUT,JEAN|MICHEL,TRUE,FALSE,TRUE,TRUE
ASELA PEAUTAU TUUFUI,ASELA PEAUTAU TUUFUI,Asela TUUFUI née PEAUTAU,PEAUTAU veuve TUUFUI Asela,Province Sud,Province Sud,Province Sud - 06 - L'Eveil oceanien,Province Sud - 04 - Alliance Pacifik enracinee,exact,haute,NA,NA,0,NA,NA,2019,Asela TUUFUI née PEAUTAU,Province Sud,6,2019_Province Sud_06,L'Eveil oceanien,Oceanien / transversal,Eveil oceanien / oceanien,Eveil oceanien / oceanien,Oceanien / transversal,4,42,TUUFUI|PEAUTAU,ASELA,2026,PEAUTAU veuve TUUFUI Asela,Province Sud,4,2026_Province Sud_04,Alliance Pacifik enracinee,Oceanien / transversal,Alliance Pacifik / oceanien-local,Alliance Pacifik / oceanien-local,Oceanien / transversal,4,5,PEAUTAU|TUUFUI,ASELA,TRUE,FALSE,TRUE,TRUE
LOUIS MAPOU,LOUIS MAPOU,Louis MAPOU,MAPOU Louis,Province Sud,Province Sud,Province Sud - 07 - FLNKS,Province Sud - 11 - Unis pour le Pays,exact,haute,NA,NA,0,NA,NA,2019,Louis MAPOU,Province Sud,7,2019_Province Sud_07,FLNKS,Independantiste / souverainiste,Independantiste / pro-pays,Independantiste / pro-pays,Independantiste FLNKS / gauche,1,3,MAPOU,LOUIS,2026,MAPOU Louis,Province Sud,11,2026_Province Sud_11,Unis pour le Pays,Independantiste / souverainiste,UNI / Palika-UPM-UNID,UNI / Palika-UPM-UNID,Independantiste UNI / Palika,2,1,MAPOU,LOUIS,TRUE,FALSE,TRUE,FALSE
INES KOUATHE,INES KOUATHE,Inès KOUATHE,KOUATHE Inès,Province Sud,Province Sud,Province Sud - 07 - FLNKS,Province Sud - 11 - Unis pour le Pays,exact,haute,NA,NA,0,NA,NA,2019,Inès KOUATHE,Province Sud,7,2019_Province Sud_07,FLNKS,Independantiste / souverainiste,Independantiste / pro-pays,Independantiste / pro-pays,Independantiste FLNKS / gauche,1,6,KOUATHE,INES,2026,KOUATHE Inès,Province Sud,11,2026_Province Sud_11,Unis pour le Pays,Independantiste / souverainiste,UNI / Palika-UPM-UNID,UNI / Palika-UPM-UNID,Independantiste UNI / Palika,2,2,KOUATHE,INES,TRUE,FALSE,TRUE,FALSE
ALOISIO SAKO,ALOISIO SAKO,Aloisio SAKO,SAKO Aloisio,Province Sud,Province Sud,Province Sud - 07 - FLNKS,Province Sud - 02 - Kanaky pour tous,exact,haute,NA,NA,0,NA,NA,2019,Aloisio SAKO,Province Sud,7,2019_Province Sud_07,FLNKS,Independantiste / souverainiste,Independantiste / pro-pays,Independantiste / pro-pays,Independantiste FLNKS / gauche,1,7,SAKO,ALOISIO,2026,SAKO Aloisio,Province Sud,2,2026_Province Sud_02,Kanaky pour tous,Independantiste / souverainiste,FLNKS elargi / UC-CCAT-DUS-RDO-DA-PT,FLNKS elargi / UC-CCAT-DUS-RDO-DA-PT,Independantiste FLNKS / gauche,1,45,SAKO,ALOISIO,TRUE,FALSE,TRUE,TRUE
ALAIN BOUEARAN MARIO,ALAIN BOUEARAN MARIO,"Mario, Alain BOUEARAN","BOUEARAN Mario, Alain",Province Sud,Province Sud,Province Sud - 07 - FLNKS,Province Sud - 11 - Unis pour le Pays,exact,haute,NA,NA,0,NA,NA,2019,"Mario, Alain BOUEARAN",Province Sud,7,2019_Province Sud_07,FLNKS,Independantiste / souverainiste,Independantiste / pro-pays,Independantiste / pro-pays,Independantiste FLNKS / gauche,1,9,BOUEARAN,MARIO|ALAIN,2026,"BOUEARAN Mario, Alain",Province Sud,11,2026_Province Sud_11,Unis pour le Pays,Independantiste / souverainiste,UNI / Palika-UPM-UNID,UNI / Palika-UPM-UNID,Independantiste UNI / Palika,2,9,BOUEARAN,MARIO|ALAIN,TRUE,FALSE,TRUE,FALSE
JEAN PATRICK TOURA,JEAN PATRICK TOURA,Jean-Patrick TOURA,"TOURA Jean, Patrick",Province Sud,Province Sud,Province Sud - 07 - FLNKS,Province Sud - 02 - Kanaky pour tous,exact,haute,NA,NA,0,NA,NA,2019,Jean-Patrick TOURA,Province Sud,7,2019_Province Sud_07,FLNKS,Independantiste / souverainiste,Independantiste / pro-pays,Independantiste / pro-pays,Independantiste FLNKS / gauche,1,17,TOURA,JEAN|PATRICK,2026,"TOURA Jean, Patrick",Province Sud,2,2026_Province Sud_02,Kanaky pour tous,Independantiste / souverainiste,FLNKS elargi / UC-CCAT-DUS-RDO-DA-PT,FLNKS elargi / UC-CCAT-DUS-RDO-DA-PT,Independantiste FLNKS / gauche,1,5,TOURA,JEAN|PATRICK,TRUE,FALSE,TRUE,TRUE
KONG PIERRE TAO VETEA WONG,KONG PIERRE TAO VETEA WONG,"Pierre, Vétéa WONG KONG TAO","WONG KONG TAO Pierre, Vetea",Province Sud,Province Sud,Province Sud - 07 - FLNKS,Province Sud - 11 - Unis pour le Pays,exact,haute,NA,NA,0,NA,NA,2019,"Pierre, Vétéa WONG KONG TAO",Province Sud,7,2019_Province Sud_07,FLNKS,Independantiste / souverainiste,Independantiste / pro-pays,Independantiste / pro-pays,Independantiste FLNKS / gauche,1,23,WONG|KONG|TAO,PIERRE|VETEA,2026,"WONG KONG TAO Pierre, Vetea",Province Sud,11,2026_Province Sud_11,Unis pour le Pays,Independantiste / souverainiste,UNI / Palika-UPM-UNID,UNI / Palika-UPM-UNID,Independantiste UNI / Palika,2,17,WONG|KONG|TAO,PIERRE|VETEA,TRUE,FALSE,TRUE,FALSE
ATHENA HAIU POUYE,ATHENA HAIU POUYE,Athéna POUYE-HAIU,POUYE-HAIU Athena,Province Sud,Province Sud,Province Sud - 07 - FLNKS,Province Sud - 02 - Kanaky pour tous,exact,haute,NA,NA,0,NA,NA,2019,Athéna POUYE-HAIU,Province Sud,7,2019_Province Sud_07,FLNKS,Independantiste / souverainiste,Independantiste / pro-pays,Independantiste / pro-pays,Independantiste FLNKS / gauche,1,30,POUYE|HAIU,ATHENA,2026,POUYE-HAIU Athena,Province Sud,2,2026_Province Sud_02,Kanaky pour tous,Independantiste / souverainiste,FLNKS elargi / UC-CCAT-DUS-RDO-DA-PT,FLNKS elargi / UC-CCAT-DUS-RDO-DA-PT,Independantiste FLNKS / gauche,1,26,POUYE|HAIU,ATHENA,TRUE,FALSE,TRUE,TRUE
DOMINIQUE FOCHI,DOMINIQUE FOCHI,Dominique FOCHI,FOCHI Dominique,Province Sud,Province Sud,Province Sud - 07 - FLNKS,Province Sud - 02 - Kanaky pour tous,exact,haute,NA,NA,0,NA,NA,2019,Dominique FOCHI,Province Sud,7,2019_Province Sud_07,FLNKS,Independantiste / souverainiste,Independantiste / pro-pays,Independantiste / pro-pays,Independantiste FLNKS / gauche,1,31,FOCHI,DOMINIQUE,2026,FOCHI Dominique,Province Sud,2,2026_Province Sud_02,Kanaky pour tous,Independantiste / souverainiste,FLNKS elargi / UC-CCAT-DUS-RDO-DA-PT,FLNKS elargi / UC-CCAT-DUS-RDO-DA-PT,Independantiste FLNKS / gauche,1,3,FOCHI,DOMINIQUE,TRUE,FALSE,TRUE,TRUE
JOELLE MARIE VENDEGOU,JOELLE MARIE VENDEGOU,Marie-Joëlle VENDEGOU,VENDEGOU Marie-Joelle,Province Sud,Province Sud,Province Sud - 07 - FLNKS,Province Sud - 11 - Unis pour le Pays,exact,haute,NA,NA,0,NA,NA,2019,Marie-Joëlle VENDEGOU,Province Sud,7,2019_Province Sud_07,FLNKS,Independantiste / souverainiste,Independantiste / pro-pays,Independantiste / pro-pays,Independantiste FLNKS / gauche,1,34,VENDEGOU,MARIE|JOELLE,2026,VENDEGOU Marie-Joelle,Province Sud,11,2026_Province Sud_11,Unis pour le Pays,Independantiste / souverainiste,UNI / Palika-UPM-UNID,UNI / Palika-UPM-UNID,Independantiste UNI / Palika,2,44,VENDEGOU,MARIE|JOELLE,TRUE,FALSE,TRUE,FALSE
CINGONE ORIANE TROLUE,CINGONE ORIANE TROLUE,"Oriane, Cingone TROLUE",TROLUE Oriane Cingône,Province Sud,Province Sud,Province Sud - 07 - FLNKS,Province Sud - 02 - Kanaky pour tous,exact,haute,NA,NA,0,NA,NA,2019,"Oriane, Cingone TROLUE",Province Sud,7,2019_Province Sud_07,FLNKS,Independantiste / souverainiste,Independantiste / pro-pays,Independantiste / pro-pays,Independantiste FLNKS / gauche,1,42,TROLUE,ORIANE|CINGONE,2026,TROLUE Oriane Cingône,Province Sud,2,2026_Province Sud_02,Kanaky pour tous,Independantiste / souverainiste,FLNKS elargi / UC-CCAT-DUS-RDO-DA-PT,FLNKS elargi / UC-CCAT-DUS-RDO-DA-PT,Independantiste FLNKS / gauche,1,2,TROLUE,ORIANE|CINGONE,TRUE,FALSE,TRUE,TRUE
KERLEGUER LENAIC,KERLEGUER LENAIC,Lénaïc KERLEGUER,KERLEGUER Lénaic,Province Sud,Province Sud,Province Sud - 08 - Alliance citoyenne pour la transition,Province Sud - 01 - Un autre monde est possible,exact,haute,NA,NA,0,NA,NA,2019,Lénaïc KERLEGUER,Province Sud,8,2019_Province Sud_08,Alliance citoyenne pour la transition,A preciser,Divers / a preciser,Divers / a preciser,A preciser,8,4,KERLEGUER,LENAIC,2026,KERLEGUER Lénaic,Province Sud,1,2026_Province Sud_01,Un autre monde est possible,Oceanien / transversal,Eveil oceanien / centre non-independantiste oceanien,Eveil oceanien / centre non-independantiste oceanien,Oceanien / transversal,4,29,KERLEGUER,LENAIC,TRUE,FALSE,FALSE,FALSE
