annee,province,numero_liste,liste_id,liste_nom,liste_nom_court,camp_institutionnel,famille_politique,axe_politique,axe_politique_ordre,qualification_a_verifier,source_qualification_politique,notes_qualification,voix_2019,sieges_congres_2019,sieges_province_seulement_2019,sieges_province_total_2019,admis_repartition_2019,source_resultats_2019,groupe_assemblee_province_2019_liste,groupe_congres_2019_initial_liste,note_groupe_congres_2019,source_groupes_2019,date_constat_groupes_2026_actuels
2026,Province Sud,1,2026_Province Sud_01,UN AUTRE MONDE EST POSSIBLE !,Un autre monde est possible,Oceanien / transversal,Eveil oceanien / centre non-independantiste oceanien,Oceanien / transversal,4,FALSE,https://fr.wikipedia.org/wiki/%C3%89lections_provinciales_n%C3%A9o-cal%C3%A9doniennes_de_2026#Forces_en_pr%C3%A9sence,"Qualification d'apres le tableau des forces en presence 2026 et, pour les listes loyalistes, la composition actuelle des groupes du Congres.",NA,NA,NA,NA,NA,https://www.nouvelle-caledonie.gouv.fr/Actions-de-l-Etat/Elections/Elections-2019/Provinciales-2019/RESULTATS,NA,NA,NA,NA,2026-06-13
2026,Province Sud,2,2026_Province Sud_02,KANAKY POUR TOUS,Kanaky pour tous,Independantiste / souverainiste,FLNKS elargi / UC-CCAT-DUS-RDO-DA-PT,Independantiste FLNKS / gauche,1,FALSE,https://fr.wikipedia.org/wiki/%C3%89lections_provinciales_n%C3%A9o-cal%C3%A9doniennes_de_2026#Forces_en_pr%C3%A9sence,"Qualification d'apres le tableau des forces en presence 2026 et, pour les listes loyalistes, la composition actuelle des groupes du Congres.",NA,NA,NA,NA,NA,https://www.nouvelle-caledonie.gouv.fr/Actions-de-l-Etat/Elections/Elections-2019/Provinciales-2019/RESULTATS,NA,NA,NA,NA,2026-06-13
2026,Province Sud,3,2026_Province Sud_03,"FRANCE CALEDONIE, UNE PATRIE","France Caledonie, une patrie",Non-independantiste / droite nationale,France-Caledonie / Rassemblement national,Droite nationale anti-independantiste,7,FALSE,https://fr.wikipedia.org/wiki/%C3%89lections_provinciales_n%C3%A9o-cal%C3%A9doniennes_de_2026#Forces_en_pr%C3%A9sence,"Qualification d'apres le tableau des forces en presence 2026 et, pour les listes loyalistes, la composition actuelle des groupes du Congres.",NA,NA,NA,NA,NA,https://www.nouvelle-caledonie.gouv.fr/Actions-de-l-Etat/Elections/Elections-2019/Provinciales-2019/RESULTATS,NA,NA,NA,NA,2026-06-13
2026,Province Sud,4,2026_Province Sud_04,ALLIANCE PACIFIK ENRACINEE,Alliance Pacifik enracinee,Oceanien / transversal,Alliance Pacifik / oceanien-local,Oceanien / transversal,4,TRUE,https://fr.wikipedia.org/wiki/%C3%89lections_provinciales_n%C3%A9o-cal%C3%A9doniennes_de_2026#Forces_en_pr%C3%A9sence,"Qualification partielle: la liste est identifiee, mais le positionnement politique public reste peu documente.",NA,NA,NA,NA,NA,https://www.nouvelle-caledonie.gouv.fr/Actions-de-l-Etat/Elections/Elections-2019/Provinciales-2019/RESULTATS,NA,NA,NA,NA,2026-06-13
2026,Province Sud,5,2026_Province Sud_05,"UNE PROVINCE POUR TOUS, UN PAYS SOLIDAIRE, UN AVENIR PARTAGE",Une Province pour tous,Non-independantiste / autonomiste modere,Caledonie Ensemble / Rassemblement-LR diss.,Centre non-independantiste,5,FALSE,https://fr.wikipedia.org/wiki/%C3%89lections_provinciales_n%C3%A9o-cal%C3%A9doniennes_de_2026#Forces_en_pr%C3%A9sence,"Qualification d'apres le tableau des forces en presence 2026 et, pour les listes loyalistes, la composition actuelle des groupes du Congres.",NA,NA,NA,NA,NA,https://www.nouvelle-caledonie.gouv.fr/Actions-de-l-Etat/Elections/Elections-2019/Provinciales-2019/RESULTATS,NA,NA,NA,NA,2026-06-13
2026,Province Sud,6,2026_Province Sud_06,SOUVERAINETE KANAKY NOUVELLE-CALEDONIE,Souverainete Kanaky NC,Independantiste / souverainiste,Souverainete Kanaky NC,Independantiste FLNKS / gauche,1,FALSE,https://fr.wikipedia.org/wiki/%C3%89lections_provinciales_n%C3%A9o-cal%C3%A9doniennes_de_2026#Forces_en_pr%C3%A9sence,"Qualification d'apres le tableau des forces en presence 2026 et, pour les listes loyalistes, la composition actuelle des groupes du Congres.",NA,NA,NA,NA,NA,https://www.nouvelle-caledonie.gouv.fr/Actions-de-l-Etat/Elections/Elections-2019/Provinciales-2019/RESULTATS,NA,NA,NA,NA,2026-06-13
2026,Province Sud,7,2026_Province Sud_07,FAIRE PAYS,Faire Pays,Souverainiste / pro-pays transversal,Faire Pays / MNIS,Souverainiste / pro-pays,3,FALSE,https://fr.wikipedia.org/wiki/%C3%89lections_provinciales_n%C3%A9o-cal%C3%A9doniennes_de_2026#Forces_en_pr%C3%A9sence,"Qualification d'apres le tableau des forces en presence 2026 et, pour les listes loyalistes, la composition actuelle des groupes du Congres.",NA,NA,NA,NA,NA,https://www.nouvelle-caledonie.gouv.fr/Actions-de-l-Etat/Elections/Elections-2019/Provinciales-2019/RESULTATS,NA,NA,NA,NA,2026-06-13
2026,Province Sud,8,2026_Province Sud_08,POUR UNE CALEDONIE FRANCAISE,Pour une Caledonie francaise,Non-independantiste / droite nationale,Voix du Caillou / Rassemblement national diss.,Droite nationale anti-independantiste,7,FALSE,https://fr.wikipedia.org/wiki/%C3%89lections_provinciales_n%C3%A9o-cal%C3%A9doniennes_de_2026#Forces_en_pr%C3%A9sence,"Qualification d'apres le tableau des forces en presence 2026 et, pour les listes loyalistes, la composition actuelle des groupes du Congres.",NA,NA,NA,NA,NA,https://www.nouvelle-caledonie.gouv.fr/Actions-de-l-Etat/Elections/Elections-2019/Provinciales-2019/RESULTATS,NA,NA,NA,NA,2026-06-13
2026,Province Sud,9,2026_Province Sud_09,"NOUS, REUNIS!","Nous, reunis",Non-independantiste / autonomiste modere,Caledonie Ensemble diss.,Centre non-independantiste,5,FALSE,https://fr.wikipedia.org/wiki/%C3%89lections_provinciales_n%C3%A9o-cal%C3%A9doniennes_de_2026#Forces_en_pr%C3%A9sence,"Qualification d'apres le tableau des forces en presence 2026 et, pour les listes loyalistes, la composition actuelle des groupes du Congres.",NA,NA,NA,NA,NA,https://www.nouvelle-caledonie.gouv.fr/Actions-de-l-Etat/Elections/Elections-2019/Provinciales-2019/RESULTATS,NA,NA,NA,NA,2026-06-13
2026,Province Sud,10,2026_Province Sud_10,LES LOYALISTES ET LE RASSEMBLEMENT-FORTS ET UNIS,Les Loyalistes et Le Rassemblement,Non-independantiste / loyaliste,Les Loyalistes + Rassemblement-LR,Loyaliste droite,6,FALSE,https://fr.wikipedia.org/wiki/%C3%89lections_provinciales_n%C3%A9o-cal%C3%A9doniennes_de_2026#Forces_en_pr%C3%A9sence | https://www.congres.nc/nouvelle-composition-des-groupes-delus-au-congres/,"Qualification d'apres le tableau des forces en presence 2026 et, pour les listes loyalistes, la composition actuelle des groupes du Congres.",NA,NA,NA,NA,NA,https://www.nouvelle-caledonie.gouv.fr/Actions-de-l-Etat/Elections/Elections-2019/Provinciales-2019/RESULTATS,NA,NA,NA,NA,2026-06-13
2026,Province Sud,11,2026_Province Sud_11,UNIS POUR LE PAYS,Unis pour le Pays,Independantiste / souverainiste,UNI / Palika-UPM-UNID,Independantiste UNI / Palika,2,FALSE,https://fr.wikipedia.org/wiki/%C3%89lections_provinciales_n%C3%A9o-cal%C3%A9doniennes_de_2026#Forces_en_pr%C3%A9sence,"Qualification d'apres le tableau des forces en presence 2026 et, pour les listes loyalistes, la composition actuelle des groupes du Congres.",NA,NA,NA,NA,NA,https://www.nouvelle-caledonie.gouv.fr/Actions-de-l-Etat/Elections/Elections-2019/Provinciales-2019/RESULTATS,NA,NA,NA,NA,2026-06-13
2026,Province Sud,12,2026_Province Sud_12,UN ESPOIR POUR DEMAIN,Un espoir pour demain,Non-independantiste / autonomiste modere,Centre droit non-independantiste / nationalisme caledonien,Centre non-independantiste,5,FALSE,https://fr.wikipedia.org/wiki/%C3%89lections_provinciales_n%C3%A9o-cal%C3%A9doniennes_de_2026#Forces_en_pr%C3%A9sence,"Qualification d'apres le tableau des forces en presence 2026 et, pour les listes loyalistes, la composition actuelle des groupes du Congres.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2026-06-13
2026,Province des Iles,1,2026_Province des Iles_01,PALIKA ÎLES,Palika Iles,Independantiste / souverainiste,UNI / Palika,Independantiste UNI / Palika,2,FALSE,https://fr.wikipedia.org/wiki/%C3%89lections_provinciales_n%C3%A9o-cal%C3%A9doniennes_de_2026#Forces_en_pr%C3%A9sence,"Qualification d'apres le tableau des forces en presence 2026 et, pour les listes loyalistes, la composition actuelle des groupes du Congres.",NA,NA,NA,NA,NA,https://www.nouvelle-caledonie.gouv.fr/Actions-de-l-Etat/Elections/Elections-2019/Provinciales-2019/RESULTATS,NA,NA,NA,NA,2026-06-13
2026,Province des Iles,2,2026_Province des Iles_02,UN NOUVEAU SOUFFLE,Un nouveau souffle,Non-independantiste / loyaliste,Rassemblement-LR + Les Loyalistes,Loyaliste droite,6,FALSE,https://fr.wikipedia.org/wiki/%C3%89lections_provinciales_n%C3%A9o-cal%C3%A9doniennes_de_2026#Forces_en_pr%C3%A9sence | https://www.congres.nc/nouvelle-composition-des-groupes-delus-au-congres/,"Qualification d'apres le tableau des forces en presence 2026 et, pour les listes loyalistes, la composition actuelle des groupes du Congres.",NA,NA,NA,NA,NA,https://www.nouvelle-caledonie.gouv.fr/Actions-de-l-Etat/Elections/Elections-2019/Provinciales-2019/RESULTATS,NA,NA,NA,NA,2026-06-13
2026,Province des Iles,3,2026_Province des Iles_03,BASELAIA,Baselaia,Independantiste / souverainiste,Union caledonienne dissidente,Independantiste FLNKS / gauche,1,FALSE,https://fr.wikipedia.org/wiki/%C3%89lections_provinciales_n%C3%A9o-cal%C3%A9doniennes_de_2026#Forces_en_pr%C3%A9sence,"Qualification d'apres le tableau des forces en presence 2026 et, pour les listes loyalistes, la composition actuelle des groupes du Congres.",NA,NA,NA,NA,NA,https://www.nouvelle-caledonie.gouv.fr/Actions-de-l-Etat/Elections/Elections-2019/Provinciales-2019/RESULTATS,NA,NA,NA,NA,2026-06-13
2026,Province des Iles,4,2026_Province des Iles_04,NATION AUTOCHTONE,Nation autochtone,Independantiste / souverainiste,Dynamique autochtone,Independantiste FLNKS / gauche,1,FALSE,https://fr.wikipedia.org/wiki/%C3%89lections_provinciales_n%C3%A9o-cal%C3%A9doniennes_de_2026#Forces_en_pr%C3%A9sence,"Qualification d'apres le tableau des forces en presence 2026 et, pour les listes loyalistes, la composition actuelle des groupes du Congres.",NA,NA,NA,NA,NA,https://www.nouvelle-caledonie.gouv.fr/Actions-de-l-Etat/Elections/Elections-2019/Provinciales-2019/RESULTATS,NA,NA,NA,NA,2026-06-13
2026,Province des Iles,5,2026_Province des Iles_05,UC FLNKS ILES,UC-FLNKS Iles,Independantiste / souverainiste,UC-FLNKS,Independantiste FLNKS / gauche,1,FALSE,https://fr.wikipedia.org/wiki/%C3%89lections_provinciales_n%C3%A9o-cal%C3%A9doniennes_de_2026#Forces_en_pr%C3%A9sence,"Qualification d'apres le tableau des forces en presence 2026 et, pour les listes loyalistes, la composition actuelle des groupes du Congres.",NA,NA,NA,NA,NA,https://www.nouvelle-caledonie.gouv.fr/Actions-de-l-Etat/Elections/Elections-2019/Provinciales-2019/RESULTATS,NA,NA,NA,NA,2026-06-13
2026,Province des Iles,6,2026_Province des Iles_06,S'ENGAGER ET OEUVRER POUR LA PROSPERITE DE NOTRE PROVINCE ET LA SOUVERAINETE DE NOTRE PAYS,S'engager et oeuvrer,Independantiste / souverainiste,UPK,Independantiste FLNKS / gauche,1,FALSE,https://fr.wikipedia.org/wiki/%C3%89lections_provinciales_n%C3%A9o-cal%C3%A9doniennes_de_2026#Forces_en_pr%C3%A9sence,"Qualification d'apres le tableau des forces en presence 2026 et, pour les listes loyalistes, la composition actuelle des groupes du Congres.",NA,NA,NA,NA,NA,https://www.nouvelle-caledonie.gouv.fr/Actions-de-l-Etat/Elections/Elections-2019/Provinciales-2019/RESULTATS,NA,NA,NA,NA,2026-06-13
2026,Province des Iles,7,2026_Province des Iles_07,UNION POUR CONSTRUIRE DANS LE CONSENSUS,Union pour construire dans le consensus,Independantiste / souverainiste,Union caledonienne dissidente,Independantiste FLNKS / gauche,1,FALSE,https://fr.wikipedia.org/wiki/%C3%89lections_provinciales_n%C3%A9o-cal%C3%A9doniennes_de_2026#Forces_en_pr%C3%A9sence,"Qualification d'apres le tableau des forces en presence 2026 et, pour les listes loyalistes, la composition actuelle des groupes du Congres.",NA,NA,NA,NA,NA,https://www.nouvelle-caledonie.gouv.fr/Actions-de-l-Etat/Elections/Elections-2019/Provinciales-2019/RESULTATS,NA,NA,NA,NA,2026-06-13
