annee,province,numero_liste,liste_id,liste_nom,liste_nom_court,camp_institutionnel,famille_politique,axe_politique,axe_politique_ordre,qualification_a_verifier,source_qualification_politique,notes_qualification,voix_2019,sieges_congres_2019,sieges_province_seulement_2019,sieges_province_total_2019,admis_repartition_2019,source_resultats_2019,groupe_assemblee_province_2019_liste,groupe_congres_2019_initial_liste,note_groupe_congres_2019,source_groupes_2019,date_constat_groupes_2026_actuels
2019,Province Sud,5,2019_Province Sud_05,CALEDONIE NOUVELLE ET REUNIE,Caledonie nouvelle et reunie,A preciser,Divers / a preciser,A preciser,8,TRUE,https://www.nouvelle-caledonie.gouv.fr/Actions-de-l-Etat/Elections/Elections-2019/Provinciales-2019/RESULTATS,Qualification construite a partir de la liste 2019 et des groupes/coalitions connus pendant la mandature.,841,0,0,0,FALSE,https://www.nouvelle-caledonie.gouv.fr/Actions-de-l-Etat/Elections/Elections-2019/Provinciales-2019/RESULTATS,NA,NA,NA,NA,2026-06-13
2019,Province Sud,6,2019_Province Sud_06,L’EVEIL OCEANIEN,L'Eveil oceanien,Oceanien / transversal,Eveil oceanien / oceanien,Oceanien / transversal,4,FALSE,https://www.nouvelle-caledonie.gouv.fr/Actions-de-l-Etat/Elections/Elections-2019/Provinciales-2019/RESULTATS,Qualification construite a partir de la liste 2019 et des groupes/coalitions connus pendant la mandature.,6077,3,1,4,TRUE,https://www.nouvelle-caledonie.gouv.fr/Actions-de-l-Etat/Elections/Elections-2019/Provinciales-2019/RESULTATS,L'Eveil oceanien,Non-Inscrit,Trois elus au Congres en 2019; pas de groupe propre initial.,https://www.congres.nc/les-groupes-politiques-constitues-a-la-veille-de-linstallation-de-la-nouvelle-mandature/ | https://www.nouvelle-caledonie.gouv.fr/Actions-de-l-Etat/Elections/Elections-2019/Provinciales-2019/RESULTATS,2026-06-13
2019,Province Sud,7,2019_Province Sud_07,FLNKS,FLNKS,Independantiste / souverainiste,Independantiste / pro-pays,Independantiste FLNKS / gauche,1,FALSE,https://www.nouvelle-caledonie.gouv.fr/Actions-de-l-Etat/Elections/Elections-2019/Provinciales-2019/RESULTATS,Qualification construite a partir de la liste 2019 et des groupes/coalitions connus pendant la mandature.,11269,6,1,7,TRUE,https://www.nouvelle-caledonie.gouv.fr/Actions-de-l-Etat/Elections/Elections-2019/Provinciales-2019/RESULTATS,FLNKS,FLNKS Sud - ventilation individuelle,Liste unitaire FLNKS Sud repartie entre UC-FLNKS et Nationalistes et UNI.,https://www.congres.nc/les-groupes-politiques-constitues-a-la-veille-de-linstallation-de-la-nouvelle-mandature/ | https://www.nouvelle-caledonie.gouv.fr/Actions-de-l-Etat/Elections/Elections-2019/Provinciales-2019/RESULTATS,2026-06-13
2019,Province Sud,8,2019_Province Sud_08,ALLIANCE CITOYENNE POUR LA TRANSITION. CONSTRUIRE NOTRE PAYS EN MELANESIE - (ACT),Alliance citoyenne pour la transition,A preciser,Divers / a preciser,A preciser,8,TRUE,https://www.nouvelle-caledonie.gouv.fr/Actions-de-l-Etat/Elections/Elections-2019/Provinciales-2019/RESULTATS,Qualification construite a partir de la liste 2019 et des groupes/coalitions connus pendant la mandature.,2043,0,0,0,FALSE,https://www.nouvelle-caledonie.gouv.fr/Actions-de-l-Etat/Elections/Elections-2019/Provinciales-2019/RESULTATS,NA,NA,NA,NA,2026-06-13
2019,Province Sud,9,2019_Province Sud_09,CONSTRUIRE AUTREMENT,Construire autrement,A preciser,Divers / a preciser,A preciser,8,TRUE,https://www.nouvelle-caledonie.gouv.fr/Actions-de-l-Etat/Elections/Elections-2019/Provinciales-2019/RESULTATS,Qualification construite a partir de la liste 2019 et des groupes/coalitions connus pendant la mandature.,1852,0,0,0,FALSE,https://www.nouvelle-caledonie.gouv.fr/Actions-de-l-Etat/Elections/Elections-2019/Provinciales-2019/RESULTATS,NA,NA,NA,NA,2026-06-13
2019,Province Sud,10,2019_Province Sud_10,DESTIN COMMUN CALEDONIEN,Destin commun caledonien,A preciser,Divers / a preciser,A preciser,8,TRUE,https://www.nouvelle-caledonie.gouv.fr/Actions-de-l-Etat/Elections/Elections-2019/Provinciales-2019/RESULTATS,Qualification construite a partir de la liste 2019 et des groupes/coalitions connus pendant la mandature.,1667,0,0,0,FALSE,https://www.nouvelle-caledonie.gouv.fr/Actions-de-l-Etat/Elections/Elections-2019/Provinciales-2019/RESULTATS,NA,NA,NA,NA,2026-06-13
2019,Province Sud,11,2019_Province Sud_11,"CALEDONIENS ENSEMBLE, POUR UN AVENIR DU PAYS DANS LA PAIX, AUX COULEURS DE LA FRANCE",Caledoniens Ensemble,Non-independantiste / autonomiste modere,Caledonie Ensemble / centre non-independantiste,Centre non-independantiste,5,FALSE,https://www.nouvelle-caledonie.gouv.fr/Actions-de-l-Etat/Elections/Elections-2019/Provinciales-2019/RESULTATS,Qualification construite a partir de la liste 2019 et des groupes/coalitions connus pendant la mandature.,13122,7,2,9,TRUE,https://www.nouvelle-caledonie.gouv.fr/Actions-de-l-Etat/Elections/Elections-2019/Provinciales-2019/RESULTATS,Caledoniens Ensemble,Caledonie Ensemble,La liste obtient 7 sieges Congres; le groupe initial compte 6 membres.,https://www.congres.nc/les-groupes-politiques-constitues-a-la-veille-de-linstallation-de-la-nouvelle-mandature/ | https://www.nouvelle-caledonie.gouv.fr/Actions-de-l-Etat/Elections/Elections-2019/Provinciales-2019/RESULTATS,2026-06-13
2019,Province des Iles,1,2019_Province des Iles_01,UNITAIRE KANAKY GENERATION,Unitaire Kanaky Generation,Independantiste / souverainiste,Independantiste / pro-pays,Independantiste FLNKS / gauche,1,FALSE,https://www.nouvelle-caledonie.gouv.fr/Actions-de-l-Etat/Elections/Elections-2019/Provinciales-2019/RESULTATS,Qualification construite a partir de la liste 2019 et des groupes/coalitions connus pendant la mandature.,800,0,0,0,FALSE,https://www.nouvelle-caledonie.gouv.fr/Actions-de-l-Etat/Elections/Elections-2019/Provinciales-2019/RESULTATS,NA,NA,NA,NA,2026-06-13
2019,Province des Iles,2,2019_Province des Iles_02,UC - FLNKS,UC-FLNKS,Independantiste / souverainiste,UC-FLNKS,Independantiste FLNKS / gauche,1,FALSE,https://www.nouvelle-caledonie.gouv.fr/Actions-de-l-Etat/Elections/Elections-2019/Provinciales-2019/RESULTATS,Qualification construite a partir de la liste 2019 et des groupes/coalitions connus pendant la mandature.,5186,3,3,6,TRUE,https://www.nouvelle-caledonie.gouv.fr/Actions-de-l-Etat/Elections/Elections-2019/Provinciales-2019/RESULTATS,UC-FLNKS,UC-FLNKS et Nationalistes,NA,https://www.congres.nc/les-groupes-politiques-constitues-a-la-veille-de-linstallation-de-la-nouvelle-mandature/ | https://www.nouvelle-caledonie.gouv.fr/Actions-de-l-Etat/Elections/Elections-2019/Provinciales-2019/RESULTATS,2026-06-13
2019,Province des Iles,3,2019_Province des Iles_03,PARTI TRAVAILLISTE,Parti travailliste,Independantiste / souverainiste,Parti travailliste,Independantiste FLNKS / gauche,1,FALSE,https://www.nouvelle-caledonie.gouv.fr/Actions-de-l-Etat/Elections/Elections-2019/Provinciales-2019/RESULTATS,Qualification construite a partir de la liste 2019 et des groupes/coalitions connus pendant la mandature.,2005,1,1,2,TRUE,https://www.nouvelle-caledonie.gouv.fr/Actions-de-l-Etat/Elections/Elections-2019/Provinciales-2019/RESULTATS,Parti travailliste,Non-Inscrit,Groupe de moins de 6 elus au Congres.,https://www.congres.nc/les-groupes-politiques-constitues-a-la-veille-de-linstallation-de-la-nouvelle-mandature/ | https://www.nouvelle-caledonie.gouv.fr/Actions-de-l-Etat/Elections/Elections-2019/Provinciales-2019/RESULTATS,2026-06-13
