nom_cle_comparaison,nom_affiche_2019,nom_normalise_2019,provinces_2019,listes_2019,rangs_2019,n_apparitions_2019,camps_2019,familles_politiques_2019,composantes_politiques_2019,axes_politiques_2019,qualification_a_verifier_2019,mandat_2019_2019,groupe_congres_2019_initial_2019,groupe_assemblee_province_2019_2019,groupe_congres_2026_actuel_2019,groupe_assemblee_province_2026_actuel_2019,nom_affiche_2026,nom_normalise_2026,provinces_2026,listes_2026,rangs_2026,n_apparitions_2026,camps_2026,familles_politiques_2026,composantes_politiques_2026,axes_politiques_2026,qualification_a_verifier_2026,mandat_2019_2026,groupe_congres_2019_initial_2026,groupe_assemblee_province_2019_2026,groupe_congres_2026_actuel_2026,groupe_assemblee_province_2026_actuel_2026,statut_exact
AJAPUHNY ANDRE SANE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AJAPUHNY A André, Sané",AJAPUHNY A ANDRE SANE,Province des Iles,Province des Iles - 04 - Nation autochtone,Province des Iles:06,1,Independantiste / souverainiste,Dynamique autochtone,Dynamique autochtone,Independantiste FLNKS / gauche,FALSE,NA,NA,NA,NA,NA,nouveau_2026_exact
AJAPUHNYA EVELYNE PINANE SITRITA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SITRITA EPOUSE AJAPUHNYA EVELYNE PINANE,SITRITA AJAPUHNYA EVELYNE PINANE,Province des Iles,Province des Iles - 07 - Union pour construire dans le consensus,Province des Iles:08,1,Independantiste / souverainiste,Union caledonienne dissidente,Union caledonienne dissidente,Independantiste FLNKS / gauche,FALSE,NA,NA,NA,NA,NA,nouveau_2026_exact
AKO ANNIE EDMONDE ROKUAD TUPOUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ROKUAD Edmonde Ako Tupoue Annie,ROKUAD EDMONDE AKO TUPOUE ANNIE,Province Sud,Province Sud - 06 - Souverainete Kanaky NC,Province Sud:02,1,Independantiste / souverainiste,Souverainete Kanaky NC,Souverainete Kanaky NC,Independantiste FLNKS / gauche,FALSE,NA,NA,NA,NA,NA,nouveau_2026_exact
ALAEATE JEAN PIERRE RUEURU,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"RUEURU Jean-Pierre, Alaéate",RUEURU JEAN PIERRE ALAEATE,Province des Iles,Province des Iles - 03 - Baselaia,Province des Iles:23,1,Independantiste / souverainiste,Union caledonienne dissidente,Union caledonienne dissidente,Independantiste FLNKS / gauche,FALSE,NA,NA,NA,NA,NA,nouveau_2026_exact
ALAIN CHAZAL DOMINIQUE MICHEL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CHAZAL Dominique Alain Michel,CHAZAL DOMINIQUE ALAIN MICHEL,Province Sud,Province Sud - 06 - Souverainete Kanaky NC,Province Sud:01,1,Independantiste / souverainiste,Souverainete Kanaky NC,Souverainete Kanaky NC,Independantiste FLNKS / gauche,FALSE,NA,NA,NA,NA,NA,nouveau_2026_exact
ALAIN DESTOURS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,DESTOURS Alain,DESTOURS ALAIN,Province Sud,Province Sud - 08 - Pour une Caledonie francaise,Province Sud:19,1,Non-independantiste / droite nationale,Voix du Caillou / Rassemblement national diss.,Voix du Caillou / Rassemblement national diss.,Droite nationale anti-independantiste,FALSE,NA,NA,NA,NA,NA,nouveau_2026_exact
ALAIN FAGASIE HULIWA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,HULIWA ALAIN FAGASIE,HULIWA ALAIN FAGASIE,Province des Iles,Province des Iles - 07 - Union pour construire dans le consensus,Province des Iles:07,1,Independantiste / souverainiste,Union caledonienne dissidente,Union caledonienne dissidente,Independantiste FLNKS / gauche,FALSE,NA,NA,NA,NA,NA,nouveau_2026_exact
ALAIN LAURENT,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,LAURENT Alain,LAURENT ALAIN,Province Sud,"Province Sud - 03 - France Caledonie, une patrie",Province Sud:21,1,Non-independantiste / droite nationale,France-Caledonie / Rassemblement national,France-Caledonie / Rassemblement national,Droite nationale anti-independantiste,FALSE,NA,NA,NA,NA,NA,nouveau_2026_exact
ALBERT HNAWEONGO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,HNAWEONGO Albert,HNAWEONGO ALBERT,Province des Iles,Province des Iles - 02 - Un nouveau souffle,Province des Iles:05,1,Non-independantiste / loyaliste,Rassemblement-LR + Les Loyalistes,Loyalistes / Rassemblement - candidat non rattache par groupe actuel,Loyaliste droite,FALSE,NA,NA,NA,NA,NA,nouveau_2026_exact
ALBERT WAHOULO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,WAHOULO Albert,WAHOULO ALBERT,Province Nord,Province Nord - 03 - UC-FLNKS,Province Nord:21,1,Independantiste / souverainiste,UC-FLNKS,UC-FLNKS,Independantiste FLNKS / gauche,FALSE,NA,NA,NA,NA,NA,nouveau_2026_exact
ALETA ANNICK LOTOLOTOLUA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"LOTOLOTOLUA Annick, Aleta",LOTOLOTOLUA ANNICK ALETA,Province Sud,Province Sud - 06 - Souverainete Kanaky NC,Province Sud:12,1,Independantiste / souverainiste,Souverainete Kanaky NC,Souverainete Kanaky NC,Independantiste FLNKS / gauche,FALSE,NA,NA,NA,NA,NA,nouveau_2026_exact
ALEX TOURA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TOURA Alex,TOURA ALEX,Province Sud,Province Sud - 02 - Kanaky pour tous,Province Sud:35,1,Independantiste / souverainiste,FLNKS elargi / UC-CCAT-DUS-RDO-DA-PT,FLNKS elargi / UC-CCAT-DUS-RDO-DA-PT,Independantiste FLNKS / gauche,FALSE,NA,NA,NA,NA,NA,nouveau_2026_exact
ALEXANDRA MACKENZIE MALIA SONIA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MACKENZIE Alexandra, Malia, Sonia",MACKENZIE ALEXANDRA MALIA SONIA,Province Sud,Province Sud - 06 - Souverainete Kanaky NC,Province Sud:04,1,Independantiste / souverainiste,Souverainete Kanaky NC,Souverainete Kanaky NC,Independantiste FLNKS / gauche,FALSE,NA,NA,NA,NA,NA,nouveau_2026_exact
ALEXANDRE MACHFUL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,MACHFUL Alexandre,MACHFUL ALEXANDRE,Province Sud,"Province Sud - 09 - Nous, reunis",Province Sud:03,1,Non-independantiste / autonomiste modere,Caledonie Ensemble diss.,Caledonie Ensemble diss.,Centre non-independantiste,FALSE,NA,NA,NA,NA,NA,nouveau_2026_exact
ALEXANDRE MICHAEL TAURAATUA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TAURAATUA Michaël Alexandre,TAURAATUA MICHAEL ALEXANDRE,Province Sud,"Province Sud - 09 - Nous, reunis",Province Sud:37,1,Non-independantiste / autonomiste modere,Caledonie Ensemble diss.,Caledonie Ensemble diss.,Centre non-independantiste,FALSE,NA,NA,NA,NA,NA,nouveau_2026_exact
ALICE LAUOUVEA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,… LAUOUVEA Alice,LAUOUVEA ALICE,Province Sud,Province Sud - 04 - Alliance Pacifik enracinee,Province Sud:19,1,Oceanien / transversal,Alliance Pacifik / oceanien-local,Alliance Pacifik / oceanien-local,Oceanien / transversal,TRUE,NA,NA,NA,NA,NA,nouveau_2026_exact
ALINE DELBREIL HNYALO THUPAKO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,THUPAKO DELBREIL Aline Hnyalo,THUPAKO DELBREIL ALINE HNYALO,Province Sud,"Province Sud - 09 - Nous, reunis",Province Sud:20,1,Non-independantiste / autonomiste modere,Caledonie Ensemble diss.,Caledonie Ensemble diss.,Centre non-independantiste,FALSE,NA,NA,NA,NA,NA,nouveau_2026_exact
ALINYLS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ALINyls,ALINYLS,Province Sud,Province Sud - 04 - Alliance Pacifik enracinee,Province Sud:32,1,Oceanien / transversal,Alliance Pacifik / oceanien-local,Alliance Pacifik / oceanien-local,Oceanien / transversal,TRUE,NA,NA,NA,NA,NA,nouveau_2026_exact
ALIZEE CAGNEWA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CAGNEWA Alizée,CAGNEWA ALIZEE,Province Sud,Province Sud - 01 - Un autre monde est possible,Province Sud:26,1,Oceanien / transversal,Eveil oceanien / centre non-independantiste oceanien,Eveil oceanien / centre non-independantiste oceanien,Oceanien / transversal,FALSE,NA,NA,NA,NA,NA,nouveau_2026_exact
