nom_cle_comparaison,nom_affiche_2019,nom_normalise_2019,provinces_2019,listes_2019,rangs_2019,n_apparitions_2019,camps_2019,familles_politiques_2019,composantes_politiques_2019,axes_politiques_2019,qualification_a_verifier_2019,mandat_2019_2019,groupe_congres_2019_initial_2019,groupe_assemblee_province_2019_2019,groupe_congres_2026_actuel_2019,groupe_assemblee_province_2026_actuel_2019,nom_affiche_2026,nom_normalise_2026,provinces_2026,listes_2026,rangs_2026,n_apparitions_2026,camps_2026,familles_politiques_2026,composantes_politiques_2026,axes_politiques_2026,qualification_a_verifier_2026,mandat_2019_2026,groupe_congres_2019_initial_2026,groupe_assemblee_province_2019_2026,groupe_congres_2026_actuel_2026,groupe_assemblee_province_2026_actuel_2026,statut_exact
HIREP JOSEPH PAUL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,HIREP Paul-Joseph,HIREP PAUL JOSEPH,Province Sud,Province Sud - 12 - Un espoir pour demain,Province Sud:37,1,Non-independantiste / autonomiste modere,Centre droit non-independantiste / nationalisme caledonien,Centre droit non-independantiste / nationalisme caledonien,Centre non-independantiste,FALSE,NA,NA,NA,NA,NA,nouveau_2026_exact
HNACIPAN PIERRE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,HNACIPAN Pierre,HNACIPAN PIERRE,Province des Iles,Province des Iles - 01 - Palika Iles,Province des Iles:24,1,Independantiste / souverainiste,UNI / Palika,UNI / Palika,Independantiste UNI / Palika,FALSE,NA,NA,NA,NA,NA,nouveau_2026_exact
HNAGEJE PHILIPPE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,HNAGEJE Philippe,HNAGEJE PHILIPPE,Province Sud,Province Sud - 05 - Une Province pour tous,Province Sud:44,1,Non-independantiste / autonomiste modere,Caledonie Ensemble / Rassemblement-LR diss.,Caledonie Ensemble / Rassemblement-LR diss.,Centre non-independantiste,FALSE,NA,NA,NA,NA,NA,nouveau_2026_exact
HNAILOLO NATASHA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,HNAILOLO Natasha,HNAILOLO NATASHA,Province des Iles,Province des Iles - 06 - S'engager et oeuvrer,Province des Iles:18,1,Independantiste / souverainiste,UPK,UPK,Independantiste FLNKS / gauche,FALSE,NA,NA,NA,NA,NA,nouveau_2026_exact
HNAU RIMEL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,HNAU Rimel,HNAU RIMEL,Province des Iles,Province des Iles - 01 - Palika Iles,Province des Iles:13,1,Independantiste / souverainiste,UNI / Palika,UNI / Palika,Independantiste UNI / Palika,FALSE,NA,NA,NA,NA,NA,nouveau_2026_exact
HNAVWIA JULIA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,HNAVWIA Julia,HNAVWIA JULIA,Province des Iles,Province des Iles - 06 - S'engager et oeuvrer,Province des Iles:14,1,Independantiste / souverainiste,UPK,UPK,Independantiste FLNKS / gauche,FALSE,NA,NA,NA,NA,NA,nouveau_2026_exact
HNAWANG ZACHARIE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,HNAWANG Zacharie,HNAWANG ZACHARIE,Province Sud,"Province Sud - 09 - Nous, reunis",Province Sud:29,1,Non-independantiste / autonomiste modere,Caledonie Ensemble diss.,Caledonie Ensemble diss.,Centre non-independantiste,FALSE,NA,NA,NA,NA,NA,nouveau_2026_exact
HOLA MARVINE WENENINA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,WENENINA HOLA MARVINE,WENENINA HOLA MARVINE,Province des Iles,Province des Iles - 07 - Union pour construire dans le consensus,Province des Iles:23,1,Independantiste / souverainiste,Union caledonienne dissidente,Union caledonienne dissidente,Independantiste FLNKS / gauche,FALSE,NA,NA,NA,NA,NA,nouveau_2026_exact
HOMBOE MICHELE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,À HOMBOE Michele,A HOMBOE MICHELE,Province Sud,Province Sud - 12 - Un espoir pour demain,Province Sud:04,1,Non-independantiste / autonomiste modere,Centre droit non-independantiste / nationalisme caledonien,Centre droit non-independantiste / nationalisme caledonien,Centre non-independantiste,FALSE,NA,NA,NA,NA,NA,nouveau_2026_exact
HOMOU LOUIS PIDJOT,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,HOMOU Louis Pidjot,HOMOU LOUIS PIDJOT,Province Sud,Province Sud - 02 - Kanaky pour tous,Province Sud:37,1,Independantiste / souverainiste,FLNKS elargi / UC-CCAT-DUS-RDO-DA-PT,FLNKS elargi / UC-CCAT-DUS-RDO-DA-PT,Independantiste FLNKS / gauche,FALSE,NA,NA,NA,NA,NA,nouveau_2026_exact
HONAKOKO JADE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,HONAKOKO Jade,HONAKOKO JADE,Province Sud,Province Sud - 11 - Unis pour le Pays,Province Sud:18,1,Independantiste / souverainiste,UNI / Palika-UPM-UNID,UNI / Palika-UPM-UNID,Independantiste UNI / Palika,FALSE,NA,NA,NA,NA,NA,nouveau_2026_exact
HONIE ISABELLE SEIKO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SEIKO ISABELLE HONIE,SEIKO ISABELLE HONIE,Province des Iles,Province des Iles - 07 - Union pour construire dans le consensus,Province des Iles:18,1,Independantiste / souverainiste,Union caledonienne dissidente,Union caledonienne dissidente,Independantiste FLNKS / gauche,FALSE,NA,NA,NA,NA,NA,nouveau_2026_exact
HORNGREN MARIE MICHELLE OUENGHEOU,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"HORNGREN MARIE-MICHELLE, OUENGHEOU",HORNGREN MARIE MICHELLE OUENGHEOU,Province Sud,Province Sud - 07 - Faire Pays,Province Sud:34,1,Souverainiste / pro-pays transversal,Faire Pays / MNIS,Faire Pays / MNIS,Souverainiste / pro-pays,FALSE,NA,NA,NA,NA,NA,nouveau_2026_exact
HOUVWILI ISMAELLA RAPHAELLA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,HOUVWILI Ismaëlla Raphaella,HOUVWILI ISMAELLA RAPHAELLA,Province Nord,Province Nord - 02 - Alternative Nord pour un pays souverain,Province Nord:20,1,Independantiste / souverainiste,UPK / DUS / Parti travailliste,UPK / DUS / Parti travailliste,Independantiste FLNKS / gauche,FALSE,NA,NA,NA,NA,NA,nouveau_2026_exact
HUMUNI LAURIE LIKILIKI,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,LIKILIKI ép. HUMUNI Laurie,LIKILIKI HUMUNI LAURIE,Province Sud,Province Sud - 02 - Kanaky pour tous,Province Sud:06,1,Independantiste / souverainiste,FLNKS elargi / UC-CCAT-DUS-RDO-DA-PT,FLNKS elargi / UC-CCAT-DUS-RDO-DA-PT,Independantiste FLNKS / gauche,FALSE,NA,NA,NA,NA,NA,nouveau_2026_exact
IEKAWE JOCELYNE PHADOM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,PHADOM ép. IEKAWE Jocelyne,PHADOM IEKAWE JOCELYNE,Province Sud,Province Sud - 02 - Kanaky pour tous,Province Sud:36,1,Independantiste / souverainiste,FLNKS elargi / UC-CCAT-DUS-RDO-DA-PT,FLNKS elargi / UC-CCAT-DUS-RDO-DA-PT,Independantiste FLNKS / gauche,FALSE,NA,NA,NA,NA,NA,nouveau_2026_exact
IGNACE MONAWA OSCAR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MONAWA Ignace, Oscar",MONAWA IGNACE OSCAR,Province Sud,Province Sud - 11 - Unis pour le Pays,Province Sud:23,1,Independantiste / souverainiste,UNI / Palika-UPM-UNID,UNI / Palika-UPM-UNID,Independantiste UNI / Palika,FALSE,NA,NA,NA,NA,NA,nouveau_2026_exact
IHILY PIERRE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,IHILY Pierre,IHILY PIERRE,Province des Iles,Province des Iles - 06 - S'engager et oeuvrer,Province des Iles:07,1,Independantiste / souverainiste,UPK,UPK,Independantiste FLNKS / gauche,FALSE,NA,NA,NA,NA,NA,nouveau_2026_exact
IJONE PIERRE QAEEZE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,QAËEZE Pierre Ijoné,QAEEZE PIERRE IJONE,Province des Iles,Province des Iles - 05 - UC-FLNKS Iles,Province des Iles:15,1,Independantiste / souverainiste,UC-FLNKS,UC-FLNKS,Independantiste FLNKS / gauche,FALSE,NA,NA,NA,NA,NA,nouveau_2026_exact
INGRID POURCELOT,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,POURCELOT Ingrid,POURCELOT INGRID,Province Sud,Province Sud - 05 - Une Province pour tous,Province Sud:12,1,Non-independantiste / autonomiste modere,Caledonie Ensemble / Rassemblement-LR diss.,Caledonie Ensemble / Rassemblement-LR diss.,Centre non-independantiste,FALSE,NA,NA,NA,NA,NA,nouveau_2026_exact
INGRID PUJOL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,PUJOL Ingrid,PUJOL INGRID,Province Sud,"Province Sud - 09 - Nous, reunis",Province Sud:06,1,Non-independantiste / autonomiste modere,Caledonie Ensemble diss.,Caledonie Ensemble diss.,Centre non-independantiste,FALSE,NA,NA,NA,NA,NA,nouveau_2026_exact
INYA LUEWADIA YVETTE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"LUEWADIA Yvette, Inya",LUEWADIA YVETTE INYA,Province des Iles,Province des Iles - 04 - Nation autochtone,Province des Iles:11,1,Independantiste / souverainiste,Dynamique autochtone,Dynamique autochtone,Independantiste FLNKS / gauche,FALSE,NA,NA,NA,NA,NA,nouveau_2026_exact
IRENE SAMOUAN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SAMOUAN Irène,SAMOUAN IRENE,Province Nord,Province Nord - 04 - Faire Pays,Province Nord:28,1,Souverainiste / pro-pays transversal,Faire Pays / souverainisme en partenariat,Faire Pays / souverainisme en partenariat,Souverainiste / pro-pays,FALSE,NA,NA,NA,NA,NA,nouveau_2026_exact
ISABELLA MARIA SALIGA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SALIGA Maria Isabella,SALIGA MARIA ISABELLA,Province Sud,Province Sud - 04 - Alliance Pacifik enracinee,Province Sud:01,1,Oceanien / transversal,Alliance Pacifik / oceanien-local,Alliance Pacifik / oceanien-local,Oceanien / transversal,TRUE,NA,NA,NA,NA,NA,nouveau_2026_exact
ISABELLE MARIE VAITULUKINA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"VAITULUKINA MARIE, ISABELLE",VAITULUKINA MARIE ISABELLE,Province Sud,Province Sud - 07 - Faire Pays,Province Sud:10,1,Souverainiste / pro-pays transversal,Faire Pays / MNIS,Faire Pays / MNIS,Souverainiste / pro-pays,FALSE,NA,NA,NA,NA,NA,nouveau_2026_exact
ISABELLE RINAUDO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,RINAUDO Isabelle,RINAUDO ISABELLE,Province Sud,Province Sud - 12 - Un espoir pour demain,Province Sud:30,1,Non-independantiste / autonomiste modere,Centre droit non-independantiste / nationalisme caledonien,Centre droit non-independantiste / nationalisme caledonien,Centre non-independantiste,FALSE,NA,NA,NA,NA,NA,nouveau_2026_exact
ISABELLE TALLONNIER,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TALLONNIER Isabelle,TALLONNIER ISABELLE,Province Sud,"Province Sud - 03 - France Caledonie, une patrie",Province Sud:33,1,Non-independantiste / droite nationale,France-Caledonie / Rassemblement national,France-Caledonie / Rassemblement national,Droite nationale anti-independantiste,FALSE,NA,NA,NA,NA,NA,nouveau_2026_exact
ISSAMATRO MARIE SETHA WEA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"WEA épouse ISSAMATRO Setha, Marie",WEA ISSAMATRO SETHA MARIE,Province des Iles,Province des Iles - 03 - Baselaia,Province des Iles:14,1,Independantiste / souverainiste,Union caledonienne dissidente,Union caledonienne dissidente,Independantiste FLNKS / gauche,FALSE,NA,NA,NA,NA,NA,nouveau_2026_exact
ITHUPANE TIEOUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TIEOUE Ithupane,TIEOUE ITHUPANE,Province Sud,Province Sud - 11 - Unis pour le Pays,Province Sud:28,1,Independantiste / souverainiste,UNI / Palika-UPM-UNID,UNI / Palika-UPM-UNID,Independantiste UNI / Palika,FALSE,NA,NA,NA,UNI,FLNKS (FLNKS),nouveau_2026_exact
JACINTHE KOTEUREU,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,KOTEUREU Jacinthe,KOTEUREU JACINTHE,Province Sud,Province Sud - 04 - Alliance Pacifik enracinee,Province Sud:11,1,Oceanien / transversal,Alliance Pacifik / oceanien-local,Alliance Pacifik / oceanien-local,Oceanien / transversal,TRUE,NA,NA,NA,NA,NA,nouveau_2026_exact
JACQUELINE JOSEPHE MARIE PIDJOT,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PIDJOT JACQUELINE, MARIE-JOSEPHE",PIDJOT JACQUELINE MARIE JOSEPHE,Province Sud,Province Sud - 07 - Faire Pays,Province Sud:08,1,Souverainiste / pro-pays transversal,Faire Pays / MNIS,Faire Pays / MNIS,Souverainiste / pro-pays,FALSE,NA,NA,NA,NA,NA,nouveau_2026_exact
JACQUELINE MALIE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,MALIE Jacqueline,MALIE JACQUELINE,Province des Iles,Province des Iles - 01 - Palika Iles,Province des Iles:09,1,Independantiste / souverainiste,UNI / Palika,UNI / Palika,Independantiste UNI / Palika,FALSE,NA,NA,NA,NA,NA,nouveau_2026_exact
JACQUES KARL REMY VANWALSCAPPEL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"VANWALSCAPPEL KARL, JACQUES, REMY",VANWALSCAPPEL KARL JACQUES REMY,Province Sud,Province Sud - 07 - Faire Pays,Province Sud:39,1,Souverainiste / pro-pays transversal,Faire Pays / MNIS,Faire Pays / MNIS,Souverainiste / pro-pays,FALSE,NA,NA,NA,NA,NA,nouveau_2026_exact
JACQUES LOQUET RENE SYLVIO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,LOQUET Sylvio Jacques Rene,LOQUET SYLVIO JACQUES RENE,Province Nord,Province Nord - 04 - Faire Pays,Province Nord:03,1,Souverainiste / pro-pays transversal,Faire Pays / souverainisme en partenariat,Faire Pays / souverainisme en partenariat,Souverainiste / pro-pays,FALSE,NA,NA,NA,NA,NA,nouveau_2026_exact
JACQUES SHENE WABETE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"WABETE JACQUES, SHENE",WABETE JACQUES SHENE,Province Sud,Province Sud - 07 - Faire Pays,Province Sud:31,1,Souverainiste / pro-pays transversal,Faire Pays / MNIS,Faire Pays / MNIS,Souverainiste / pro-pays,FALSE,NA,NA,NA,NA,NA,nouveau_2026_exact
JAEL VAKAULIAFA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,VAKAULIAFA Jaël,VAKAULIAFA JAEL,Province Sud,Province Sud - 01 - Un autre monde est possible,Province Sud:41,1,Oceanien / transversal,Eveil oceanien / centre non-independantiste oceanien,Eveil oceanien / centre non-independantiste oceanien,Oceanien / transversal,FALSE,NA,NA,NA,NA,NA,nouveau_2026_exact
JAICE TUUFUI,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TUUFUI Jaice,TUUFUI JAICE,Province Sud,Province Sud - 01 - Un autre monde est possible,Province Sud:17,1,Oceanien / transversal,Eveil oceanien / centre non-independantiste oceanien,Eveil oceanien / centre non-independantiste oceanien,Oceanien / transversal,FALSE,NA,NA,NA,NA,NA,nouveau_2026_exact
JAMES WAMEJONENGO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,WAMEJONENGO James,WAMEJONENGO JAMES,Province des Iles,Province des Iles - 02 - Un nouveau souffle,Province des Iles:21,1,Non-independantiste / loyaliste,Rassemblement-LR + Les Loyalistes,Loyalistes / Rassemblement - candidat non rattache par groupe actuel,Loyaliste droite,FALSE,NA,NA,NA,NA,NA,nouveau_2026_exact
JAMET VAYANNA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,JAMET Vayanna,JAMET VAYANNA,Province Nord,Province Nord - 04 - Faire Pays,Province Nord:10,1,Souverainiste / pro-pays transversal,Faire Pays / souverainisme en partenariat,Faire Pays / souverainisme en partenariat,Souverainiste / pro-pays,FALSE,NA,NA,NA,NA,NA,nouveau_2026_exact
JEAN KARTODIMEDJO YVES,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,KARTODIMEDJO Jean-Yves,KARTODIMEDJO JEAN YVES,Province Nord,Province Nord - 02 - Alternative Nord pour un pays souverain,Province Nord:19,1,Independantiste / souverainiste,UPK / DUS / Parti travailliste,UPK / DUS / Parti travailliste,Independantiste FLNKS / gauche,FALSE,NA,NA,NA,NA,NA,nouveau_2026_exact
JEAN KELETAONA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,KELETAONA Jean,KELETAONA JEAN,Province Sud,Province Sud - 04 - Alliance Pacifik enracinee,Province Sud:38,1,Oceanien / transversal,Alliance Pacifik / oceanien-local,Alliance Pacifik / oceanien-local,Oceanien / transversal,TRUE,NA,NA,NA,NA,NA,nouveau_2026_exact
JEAN LAPACAS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,LAPACAS Jean,LAPACAS JEAN,Province Sud,Province Sud - 04 - Alliance Pacifik enracinee,Province Sud:28,1,Oceanien / transversal,Alliance Pacifik / oceanien-local,Alliance Pacifik / oceanien-local,Oceanien / transversal,TRUE,NA,NA,NA,NA,NA,nouveau_2026_exact
JEAN LOUIS NEWEDOU,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NEWEDOU Jean-Louis,NEWEDOU JEAN LOUIS,Province Sud,Province Sud - 04 - Alliance Pacifik enracinee,Province Sud:12,1,Oceanien / transversal,Alliance Pacifik / oceanien-local,Alliance Pacifik / oceanien-local,Oceanien / transversal,TRUE,NA,NA,NA,NA,NA,nouveau_2026_exact
JEAN MALO PIERRE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,MALO Jean-Pierre,MALO JEAN PIERRE,Province des Iles,Province des Iles - 03 - Baselaia,Province des Iles:13,1,Independantiste / souverainiste,Union caledonienne dissidente,Union caledonienne dissidente,Independantiste FLNKS / gauche,FALSE,NA,NA,NA,NA,NA,nouveau_2026_exact
JEAN MARC ROBERT,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ROBERT Jean-Marc,ROBERT JEAN MARC,Province Nord,Province Nord - 04 - Faire Pays,Province Nord:13,1,Souverainiste / pro-pays transversal,Faire Pays / souverainisme en partenariat,Faire Pays / souverainisme en partenariat,Souverainiste / pro-pays,FALSE,NA,NA,NA,NA,NA,nouveau_2026_exact
JEAN MARC VOUDIJO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,VOUDIJO Jean-Marc,VOUDIJO JEAN MARC,Province Nord,Province Nord - 05 - UNI,Province Nord:17,1,Independantiste / souverainiste,UNI / Palika-UPM-UNID,UNI / Palika-UPM-UNID,Independantiste UNI / Palika,FALSE,NA,NA,NA,NA,NA,nouveau_2026_exact
JEAN MICHEL WADEWI WASHETINE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"WASHETINE Jean-Michel, Wadewi",WASHETINE JEAN MICHEL WADEWI,Province des Iles,Province des Iles - 04 - Nation autochtone,Province des Iles:14,1,Independantiste / souverainiste,Dynamique autochtone,Dynamique autochtone,Independantiste FLNKS / gauche,FALSE,NA,NA,NA,NA,NA,nouveau_2026_exact
JEAN MICHEL WAITREU,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,WAITREU Jean-Michel,WAITREU JEAN MICHEL,Province des Iles,Province des Iles - 01 - Palika Iles,Province des Iles:14,1,Independantiste / souverainiste,UNI / Palika,UNI / Palika,Independantiste UNI / Palika,FALSE,NA,NA,NA,NA,NA,nouveau_2026_exact
JEAN NOEL SOLE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SOLE Jean Noel,SOLE JEAN NOEL,Province Nord,Province Nord - 02 - Alternative Nord pour un pays souverain,Province Nord:11,1,Independantiste / souverainiste,UPK / DUS / Parti travailliste,UPK / DUS / Parti travailliste,Independantiste FLNKS / gauche,FALSE,NA,NA,NA,NA,NA,nouveau_2026_exact
JEAN OBRY,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,OBRY Jean,OBRY JEAN,Province Nord,Province Nord - 01 - Agissons ensemble pour le Nord,Province Nord:22,1,Non-independantiste / loyaliste,Rassemblement-LR + Les Loyalistes,Loyalistes / Rassemblement - candidat non rattache par groupe actuel,Loyaliste droite,FALSE,NA,NA,NA,NA,NA,nouveau_2026_exact
JEAN OUABINE TREN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"OUABINE Tren, Jean",OUABINE TREN JEAN,Province des Iles,Province des Iles - 03 - Baselaia,Province des Iles:17,1,Independantiste / souverainiste,Union caledonienne dissidente,Union caledonienne dissidente,Independantiste FLNKS / gauche,FALSE,NA,NA,NA,NA,NA,nouveau_2026_exact
JEAN PASCAL SAMIN SOEGIANTO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SAMIN Jean Pascal Soegianto,SAMIN JEAN PASCAL SOEGIANTO,Province Sud,Province Sud - 06 - Souverainete Kanaky NC,Province Sud:17,1,Independantiste / souverainiste,Souverainete Kanaky NC,Souverainete Kanaky NC,Independantiste FLNKS / gauche,FALSE,NA,NA,NA,NA,NA,nouveau_2026_exact
JEAN PIERRE SELEFEN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SELEFEN Jean-Pierre,SELEFEN JEAN PIERRE,Province Sud,Province Sud - 06 - Souverainete Kanaky NC,Province Sud:05,1,Independantiste / souverainiste,Souverainete Kanaky NC,Souverainete Kanaky NC,Independantiste FLNKS / gauche,FALSE,NA,NA,NA,NA,NA,nouveau_2026_exact
JEAN POITHILI YVES,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,POITHILI Jean-Yves,POITHILI JEAN YVES,Province Nord,Province Nord - 04 - Faire Pays,Province Nord:27,1,Souverainiste / pro-pays transversal,Faire Pays / souverainisme en partenariat,Faire Pays / souverainisme en partenariat,Souverainiste / pro-pays,FALSE,NA,NA,NA,NA,NA,nouveau_2026_exact
JEAN POUYA THIERRY YVES,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,POUYA Thierry Jean-Yves,POUYA THIERRY JEAN YVES,Province Nord,Province Nord - 02 - Alternative Nord pour un pays souverain,Province Nord:05,1,Independantiste / souverainiste,UPK / DUS / Parti travailliste,UPK / DUS / Parti travailliste,Independantiste FLNKS / gauche,FALSE,NA,NA,NA,NA,NA,nouveau_2026_exact
JEANNINE WAHEA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,WAHEA Jeannine”,WAHEA JEANNINE,Province des Iles,Province des Iles - 04 - Nation autochtone,Province des Iles:07,1,Independantiste / souverainiste,Dynamique autochtone,Dynamique autochtone,Independantiste FLNKS / gauche,FALSE,NA,NA,NA,NA,NA,nouveau_2026_exact
JENNIFER PREVEL SARAH,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PREVEL Jennifer, Sarah",PREVEL JENNIFER SARAH,Province Sud,Province Sud - 08 - Pour une Caledonie francaise,Province Sud:04,1,Non-independantiste / droite nationale,Voix du Caillou / Rassemblement national diss.,Voix du Caillou / Rassemblement national diss.,Droite nationale anti-independantiste,FALSE,NA,NA,NA,NA,NA,nouveau_2026_exact
JEREMIE KATIDJO MONNIER,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,KATIDJO MONNIER Jérémie,KATIDJO MONNIER JEREMIE,Province Sud,Province Sud - 05 - Une Province pour tous,Province Sud:05,1,Non-independantiste / autonomiste modere,Caledonie Ensemble / Rassemblement-LR diss.,Caledonie Ensemble / Rassemblement-LR diss.,Centre non-independantiste,FALSE,NA,NA,NA,NA,NA,nouveau_2026_exact
JEROME PIME ZOZIMO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,PIME JEROME ZOZIMO,PIME JEROME ZOZIMO,Province des Iles,Province des Iles - 07 - Union pour construire dans le consensus,Province des Iles:19,1,Independantiste / souverainiste,Union caledonienne dissidente,Union caledonienne dissidente,Independantiste FLNKS / gauche,FALSE,NA,NA,NA,NA,NA,nouveau_2026_exact
JEROME VAKOUME,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,VAKOUME Jerome,VAKOUME JEROME,Province Sud,Province Sud - 04 - Alliance Pacifik enracinee,Province Sud:06,1,Oceanien / transversal,Alliance Pacifik / oceanien-local,Alliance Pacifik / oceanien-local,Oceanien / transversal,TRUE,NA,NA,NA,NA,NA,nouveau_2026_exact
JESSICA MARENGO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,MARENGO Jessica,MARENGO JESSICA,Province Sud,Province Sud - 01 - Un autre monde est possible,Province Sud:35,1,Oceanien / transversal,Eveil oceanien / centre non-independantiste oceanien,Eveil oceanien / centre non-independantiste oceanien,Oceanien / transversal,FALSE,NA,NA,NA,NA,NA,nouveau_2026_exact
JESSICA TEIN WENENINA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TEIN ép. WENENINA Jessica,TEIN WENENINA JESSICA,Province Nord,Province Nord - 05 - UNI,Province Nord:22,1,Independantiste / souverainiste,UNI / Palika-UPM-UNID,UNI / Palika-UPM-UNID,Independantiste UNI / Palika,FALSE,NA,NA,NA,NA,NA,nouveau_2026_exact
