nom_cle_comparaison,nom_normalise_2019,nom_affiche_2019,provinces_2019,listes_2019,rangs_2019,n_apparitions_2019,nom_normalise_2026,nom_affiche_2026,provinces_2026,listes_2026,rangs_2026,n_apparitions_2026,statut_exact
AGNES MARIC MAVOUI,NA,NA,NA,NA,NA,NA,MAVOUI MARIC AGNES,MAVOUI Maric-Agnés,Province Sud,Province Sud - 04 - ALLIANCE PACIFIK ENRACINEE,Province Sud:49,1,nouveau_2026_exact
AGOURERE FRANCOISE MARIE,NA,NA,NA,NA,NA,NA,AGOURERE MARIE FRANCOISE,AGOURERE Marie-Françoise,Province Sud,Province Sud - 04 - ALLIANCE PACIFIK ENRACINEE,Province Sud:21,1,nouveau_2026_exact
AGOURERE KAI MICHEL,NA,NA,NA,NA,NA,NA,AGOURERE MICHEL KAI,"AGOURERE Michel, Kai",Province Sud,Province Sud - 11 - UNIS POUR LE PAYS,Province Sud:33,1,nouveau_2026_exact
AIFA PATRICK PIERRE,NA,NA,NA,NA,NA,NA,AIFA PATRICK PIERRE,AÏFA Patrick Pierre,Province Sud,Province Sud - 06 - SOUVERAINETE KANAKY NOUVELLE-CALEDONIE,Province Sud:23,1,nouveau_2026_exact
AIME UVEAKOUI,NA,NA,NA,NA,NA,NA,UVEAKOUI AIME,UVEAKOUI Aimé,Province Sud,Province Sud - 04 - ALLIANCE PACIFIK ENRACINEE,Province Sud:36,1,nouveau_2026_exact
AJAPUHNY ANDRE SANE,NA,NA,NA,NA,NA,NA,AJAPUHNY A ANDRE SANE,"AJAPUHNY A André, Sané",Province des Iles,Province des Iles - 04 - NATION AUTOCHTONE,Province des Iles:06,1,nouveau_2026_exact
AJAPUHNYA EVELYNE PINANE SITRITA,NA,NA,NA,NA,NA,NA,SITRITA AJAPUHNYA EVELYNE PINANE,SITRITA EPOUSE AJAPUHNYA EVELYNE PINANE,Province des Iles,Province des Iles - 07 - UNION POUR CONSTRUIRE DANS LE CONSENSUS,Province des Iles:08,1,nouveau_2026_exact
AKO ANNIE EDMONDE ROKUAD TUPOUE,NA,NA,NA,NA,NA,NA,ROKUAD EDMONDE AKO TUPOUE ANNIE,ROKUAD Edmonde Ako Tupoue Annie,Province Sud,Province Sud - 06 - SOUVERAINETE KANAKY NOUVELLE-CALEDONIE,Province Sud:02,1,nouveau_2026_exact
ALAEATE JEAN PIERRE RUEURU,NA,NA,NA,NA,NA,NA,RUEURU JEAN PIERRE ALAEATE,"RUEURU Jean-Pierre, Alaéate",Province des Iles,Province des Iles - 03 - BASELAIA,Province des Iles:23,1,nouveau_2026_exact
ALAIN CHAZAL DOMINIQUE MICHEL,NA,NA,NA,NA,NA,NA,CHAZAL DOMINIQUE ALAIN MICHEL,CHAZAL Dominique Alain Michel,Province Sud,Province Sud - 06 - SOUVERAINETE KANAKY NOUVELLE-CALEDONIE,Province Sud:01,1,nouveau_2026_exact
ALAIN DESTOURS,NA,NA,NA,NA,NA,NA,DESTOURS ALAIN,DESTOURS Alain,Province Sud,Province Sud - 08 - POUR UNE CALEDONIE FRANCAISE,Province Sud:19,1,nouveau_2026_exact
ALAIN FAGASIE HULIWA,NA,NA,NA,NA,NA,NA,HULIWA ALAIN FAGASIE,HULIWA ALAIN FAGASIE,Province des Iles,Province des Iles - 07 - UNION POUR CONSTRUIRE DANS LE CONSENSUS,Province des Iles:07,1,nouveau_2026_exact
ALAIN LAURENT,NA,NA,NA,NA,NA,NA,LAURENT ALAIN,LAURENT Alain,Province Sud,"Province Sud - 03 - FRANCE CALEDONIE, UNE PATRIE",Province Sud:21,1,nouveau_2026_exact
ALBERT HNAWEONGO,NA,NA,NA,NA,NA,NA,HNAWEONGO ALBERT,HNAWEONGO Albert,Province des Iles,Province des Iles - 02 - UN NOUVEAU SOUFFLE,Province des Iles:05,1,nouveau_2026_exact
ALBERT WAHOULO,NA,NA,NA,NA,NA,NA,WAHOULO ALBERT,WAHOULO Albert,Province Nord,Province Nord - 03 - UC FLNKS,Province Nord:21,1,nouveau_2026_exact
