annee,scrutin,date_scrutin,source_arrete,province,numero_liste,liste_nom,couleur_bulletin,embleme,rang,nom_prenoms,sexe,page_source,source_url,nom_normalise,nom_cle_comparaison,ocr_a_verifier,liste_id
2019,provinciales_2019,2019-05-12,elections-nc.fr candidatures 2019,Province Sud,1,MOUVEMENT NEO-INDEPENDANTISTE ET SOUVERAINISTE SUD (MNIS SUD),NA,NA,15,James GAIA,M,NA,https://www.elections-nc.fr/elections-2018-2020/elections-provinciales-2019/candidatures-provinciales/candidatures-province-sud,JAMES GAIA,GAIA JAMES,FALSE,2019_Province Sud_01
2019,provinciales_2019,2019-05-12,elections-nc.fr candidatures 2019,Province Sud,1,MOUVEMENT NEO-INDEPENDANTISTE ET SOUVERAINISTE SUD (MNIS SUD),NA,NA,16,Marie-Joe OHNO,F,NA,https://www.elections-nc.fr/elections-2018-2020/elections-provinciales-2019/candidatures-provinciales/candidatures-province-sud,MARIE JOE OHNO,JOE MARIE OHNO,FALSE,2019_Province Sud_01
2019,provinciales_2019,2019-05-12,elections-nc.fr candidatures 2019,Province Sud,1,MOUVEMENT NEO-INDEPENDANTISTE ET SOUVERAINISTE SUD (MNIS SUD),NA,NA,17,Joël WELEPA,M,NA,https://www.elections-nc.fr/elections-2018-2020/elections-provinciales-2019/candidatures-provinciales/candidatures-province-sud,JOEL WELEPA,JOEL WELEPA,FALSE,2019_Province Sud_01
2019,provinciales_2019,2019-05-12,elections-nc.fr candidatures 2019,Province Sud,1,MOUVEMENT NEO-INDEPENDANTISTE ET SOUVERAINISTE SUD (MNIS SUD),NA,NA,18,Marie-Hélène WAMALO,F,NA,https://www.elections-nc.fr/elections-2018-2020/elections-provinciales-2019/candidatures-provinciales/candidatures-province-sud,MARIE HELENE WAMALO,HELENE MARIE WAMALO,FALSE,2019_Province Sud_01
2019,provinciales_2019,2019-05-12,elections-nc.fr candidatures 2019,Province Sud,1,MOUVEMENT NEO-INDEPENDANTISTE ET SOUVERAINISTE SUD (MNIS SUD),NA,NA,19,Jean-Michel HOVEUREUX,M,NA,https://www.elections-nc.fr/elections-2018-2020/elections-provinciales-2019/candidatures-provinciales/candidatures-province-sud,JEAN MICHEL HOVEUREUX,HOVEUREUX JEAN MICHEL,FALSE,2019_Province Sud_01
2019,provinciales_2019,2019-05-12,elections-nc.fr candidatures 2019,Province Sud,1,MOUVEMENT NEO-INDEPENDANTISTE ET SOUVERAINISTE SUD (MNIS SUD),NA,NA,20,Béatrice ROBELIN,F,NA,https://www.elections-nc.fr/elections-2018-2020/elections-provinciales-2019/candidatures-provinciales/candidatures-province-sud,BEATRICE ROBELIN,BEATRICE ROBELIN,FALSE,2019_Province Sud_01
2019,provinciales_2019,2019-05-12,elections-nc.fr candidatures 2019,Province Sud,1,MOUVEMENT NEO-INDEPENDANTISTE ET SOUVERAINISTE SUD (MNIS SUD),NA,NA,21,Pascal MAPERI,M,NA,https://www.elections-nc.fr/elections-2018-2020/elections-provinciales-2019/candidatures-provinciales/candidatures-province-sud,PASCAL MAPERI,MAPERI PASCAL,FALSE,2019_Province Sud_01
2019,provinciales_2019,2019-05-12,elections-nc.fr candidatures 2019,Province Sud,1,MOUVEMENT NEO-INDEPENDANTISTE ET SOUVERAINISTE SUD (MNIS SUD),NA,NA,22,Waone ENOKA,F,NA,https://www.elections-nc.fr/elections-2018-2020/elections-provinciales-2019/candidatures-provinciales/candidatures-province-sud,WAONE ENOKA,ENOKA WAONE,FALSE,2019_Province Sud_01
2019,provinciales_2019,2019-05-12,elections-nc.fr candidatures 2019,Province Sud,1,MOUVEMENT NEO-INDEPENDANTISTE ET SOUVERAINISTE SUD (MNIS SUD),NA,NA,23,Eugène VAMA,M,NA,https://www.elections-nc.fr/elections-2018-2020/elections-provinciales-2019/candidatures-provinciales/candidatures-province-sud,EUGENE VAMA,EUGENE VAMA,FALSE,2019_Province Sud_01
2019,provinciales_2019,2019-05-12,elections-nc.fr candidatures 2019,Province Sud,1,MOUVEMENT NEO-INDEPENDANTISTE ET SOUVERAINISTE SUD (MNIS SUD),NA,NA,24,Maryse WAMALO,F,NA,https://www.elections-nc.fr/elections-2018-2020/elections-provinciales-2019/candidatures-provinciales/candidatures-province-sud,MARYSE WAMALO,MARYSE WAMALO,FALSE,2019_Province Sud_01
