nom_cle_comparaison_2019,nom_cle_comparaison_2026,nom_affiche_2019,province_2019,liste_2019,rang_2019,nom_affiche_2026,province_2026,liste_2026,rang_2026,nom_clean_2019,nom_clean_2026,tokens_2019,tokens_2026,tokens_communs,nb_tokens_communs,nb_tokens_rares_communs,n_tokens_2019,n_tokens_2026,dice_tokens,lev_distance,lev_ratio,meme_province,tokens_non_prenoms_communs,a_token_non_prenom_commun
EDOUARD LEONI,EDOUARD TAVOUVAS YOAN,Edouard LEONI,Province Sud,Caledonie nouvelle et reunie,1,"TAVOUVAS Yoan, Edouard",Province Sud,"Nous, reunis",27,EDOUARD LEONI EDOUARD LEONI,EDOUARD TAVOUVAS YOAN TAVOUVAS YOAN EDOUARD,EDOUARD|LEONI,EDOUARD|TAVOUVAS|YOAN,EDOUARD,1,1,2,3,0.4,28,0.6511627906976745,TRUE,EDOUARD,TRUE
COGULET GERARD,BONNARD FRANCK GERARD,Gérard COGULET,Province Sud,Caledonie nouvelle et reunie,23,BONNARD Franck-Gérard,Province Sud,Unis pour le Pays,5,COGULET GERARD GERARD COGULET,BONNARD FRANCK GERARD BONNARD FRANCK GERARD,COGULET|GERARD,BONNARD|FRANCK|GERARD,GERARD,1,1,2,3,0.4,28,0.6511627906976745,TRUE,GERARD,TRUE
ANGELE KOTEUREU MARIE,DENIS KOTEUREU,Marie-Angèle KOTEUREU,Province Sud,Construire autrement,12,KOTEUREU Denis,Province Sud,Alliance Pacifik enracinee,16,ANGELE KOTEUREU MARIE MARIE ANGELE KOTEUREU,DENIS KOTEUREU KOTEUREU DENIS,ANGELE|KOTEUREU|MARIE,DENIS|KOTEUREU,KOTEUREU,1,1,3,2,0.4,28,0.6511627906976745,TRUE,KOTEUREU,TRUE
ANGELE KOTEUREU MARIE,JACINTHE KOTEUREU,Marie-Angèle KOTEUREU,Province Sud,Construire autrement,12,KOTEUREU Jacinthe,Province Sud,Alliance Pacifik enracinee,11,ANGELE KOTEUREU MARIE MARIE ANGELE KOTEUREU,JACINTHE KOTEUREU KOTEUREU JACINTHE,ANGELE|KOTEUREU|MARIE,JACINTHE|KOTEUREU,KOTEUREU,1,1,3,2,0.4,28,0.6511627906976745,TRUE,KOTEUREU,TRUE
DUHNARA HNASSIL,DADA DUHNARA PALENE,Hnassil DUHNARA,Province des Iles,MNIS Iles,12,DUHNARA EPOUSE PALENE DADA,Province des Iles,Union pour construire dans le consensus,6,DUHNARA HNASSIL HNASSIL DUHNARA,DADA DUHNARA PALENE DUHNARA EPOUSE PALENE DADA,DUHNARA|HNASSIL,DADA|DUHNARA|PALENE,DUHNARA,1,1,2,3,0.4,30,0.6521739130434783,TRUE,DUHNARA,TRUE
ELISABETH SORGE VUDINH,ELISABETH TAUOTAHIA,Elisabeth VUDINH née SORGE,Province Sud,Caledonie nouvelle et reunie,42,TAUOTAHIA Elisabeth,Province Sud,Souverainete Kanaky NC,20,ELISABETH SORGE VUDINH ELISABETH VUDINH NEE SORGE,ELISABETH TAUOTAHIA TAUOTAHIA ELISABETH,ELISABETH|SORGE|VUDINH,ELISABETH|TAUOTAHIA,ELISABETH,1,1,3,2,0.4,32,0.6530612244897959,TRUE,ELISABETH,TRUE
BLANCHE ENOKA NGAIOHNI,CHARLES NGAIOHNI,Blanche ENOKA née NGAIOHNI,Province des Iles,Dynamique autochtone,17,NGAIOHNI CHARLES,Province des Iles,Union pour construire dans le consensus,5,BLANCHE ENOKA NGAIOHNI BLANCHE ENOKA NEE NGAIOHNI,CHARLES NGAIOHNI NGAIOHNI CHARLES,BLANCHE|ENOKA|NGAIOHNI,CHARLES|NGAIOHNI,NGAIOHNI,1,1,3,2,0.4,32,0.6530612244897959,TRUE,NGAIOHNI,TRUE
FRANCESCA SALIGA SUMOI,MEITOGA SALIGA,Francesca SUMOI épouse SALIGA,Province Sud,Destin commun caledonien,4,SALIGA Meitoga,Province Sud,Une Province pour tous,18,FRANCESCA SALIGA SUMOI FRANCESCA SUMOI EPOUSE SALIGA,MEITOGA SALIGA SALIGA MEITOGA,FRANCESCA|SALIGA|SUMOI,MEITOGA|SALIGA,SALIGA,1,1,3,2,0.4,34,0.6538461538461539,TRUE,SALIGA,TRUE
ATHANASE NAAOUTCHOUE POINDI,NAAOUTCHOUE SYLVIANE,"Athanase, Poindi NAAOUTCHOUE",Province Nord,UNI,27,NAAOUTCHOUE Sylviane,Province Nord,UNI,8,ATHANASE NAAOUTCHOUE POINDI ATHANASE POINDI NAAOUTCHOUE,NAAOUTCHOUE SYLVIANE NAAOUTCHOUE SYLVIANE,ATHANASE|NAAOUTCHOUE|POINDI,NAAOUTCHOUE|SYLVIANE,NAAOUTCHOUE,1,1,3,2,0.4,36,0.6545454545454545,TRUE,NAAOUTCHOUE,TRUE
ALEXANDRE MARTINEZ,ALEXANDRE MICHAEL TAURAATUA,Alexandre MARTINEZ,Province Sud,Alliance citoyenne pour la transition,8,TAURAATUA Michaël Alexandre,Province Sud,"Nous, reunis",37,ALEXANDRE MARTINEZ ALEXANDRE MARTINEZ,ALEXANDRE MICHAEL TAURAATUA TAURAATUA MICHAEL ALEXANDRE,ALEXANDRE|MARTINEZ,ALEXANDRE|MICHAEL|TAURAATUA,ALEXANDRE,1,1,2,3,0.4,36,0.6545454545454545,TRUE,ALEXANDRE,TRUE
