nom_cle_comparaison_2019,nom_cle_comparaison_2026,nom_affiche_2019,province_2019,liste_2019,rang_2019,nom_affiche_2026,province_2026,liste_2026,rang_2026,nom_clean_2019,nom_clean_2026,tokens_2019,tokens_2026,tokens_communs,nb_tokens_communs,nb_tokens_rares_communs,n_tokens_2019,n_tokens_2026,dice_tokens,lev_distance,lev_ratio,meme_province,tokens_non_prenoms_communs,a_token_non_prenom_commun
GAIA HARMONIE,GAIA JEAN ROCK,Harmonie GAIA,Province Sud,MNIS Sud,14,GAIA Jean-Rock,Province Sud,Unis pour le Pays,35,GAIA HARMONIE HARMONIE GAIA,GAIA JEAN ROCK GAIA JEAN ROCK,GAIA|HARMONIE,GAIA|JEAN|ROCK,GAIA,1,1,2,3,0.4,20,0.6896551724137931,TRUE,GAIA,TRUE
ARROYO KARINE,EZZINE KARINE SARATINSKY,Karine ARROYO,Province Sud,Alliance citoyenne pour la transition,15,SARATINSKY ep EZZINE Karine,Province Sud,Unis pour le Pays,30,ARROYO KARINE KARINE ARROYO,EZZINE KARINE SARATINSKY SARATINSKY EP EZZINE KARINE,ARROYO|KARINE,EZZINE|KARINE|SARATINSKY,KARINE,1,1,2,3,0.4,36,0.6923076923076923,TRUE,KARINE,TRUE
GRAZIELLA MUNANOA,FOISNON GISELE GRAZIELLA,Graziella MUNANOA,Province Sud,L'Eveil oceanien,48,FOISNON Gisèle Graziella,Province Sud,"Nous, reunis",44,GRAZIELLA MUNANOA GRAZIELLA MUNANOA,FOISNON GISELE GRAZIELLA FOISNON GISELE GRAZIELLA,GRAZIELLA|MUNANOA,FOISNON|GISELE|GRAZIELLA,GRAZIELLA,1,1,2,3,0.4,34,0.6938775510204082,TRUE,GRAZIELLA,TRUE
GODOT PATRICK,BAI PATRICK TEIN,Patrick GODOT,Province Sud,Rassemblement national,47,TEIN BAI Patrick,Province Sud,Les Loyalistes et Le Rassemblement,42,GODOT PATRICK PATRICK GODOT,BAI PATRICK TEIN TEIN BAI PATRICK,GODOT|PATRICK,BAI|PATRICK|TEIN,PATRICK,1,1,2,3,0.4,23,0.696969696969697,TRUE,PATRICK,TRUE
GAIA HARMONIE,ALOSIO GAIA NIKITA,Harmonie GAIA,Province Sud,MNIS Sud,14,GAIA ép. ALOSIO Nikita,Province Sud,Kanaky pour tous,12,GAIA HARMONIE HARMONIE GAIA,ALOSIO GAIA NIKITA GAIA EP ALOSIO NIKITA,GAIA|HARMONIE,ALOSIO|GAIA|NIKITA,GAIA,1,1,2,3,0.4,28,0.7,TRUE,GAIA,TRUE
GAIA JAMES,ALOSIO GAIA NIKITA,James GAIA,Province Sud,MNIS Sud,15,GAIA ép. ALOSIO Nikita,Province Sud,Kanaky pour tous,12,GAIA JAMES JAMES GAIA,ALOSIO GAIA NIKITA GAIA EP ALOSIO NIKITA,GAIA|JAMES,ALOSIO|GAIA|NIKITA,GAIA,1,1,2,3,0.4,28,0.7,TRUE,GAIA,TRUE
MILLET MONIQUE,GASTALDI JANDOT MONIQUE,Monique MILLET,Province Sud,Caledoniens Ensemble,18,GASTALDI ép JANDOT Monique,Province Sud,Une Province pour tous,41,MILLET MONIQUE MONIQUE MILLET,GASTALDI JANDOT MONIQUE GASTALDI EP JANDOT MONIQUE,MILLET|MONIQUE,GASTALDI|JANDOT|MONIQUE,MONIQUE,1,1,2,3,0.4,35,0.7,TRUE,MONIQUE,TRUE
FALELAVAKI HENRIETTE WAHUZUE,HENRIETTE TENDA,Henriette WAHUZUE-FALELAVAKI,Province Sud,L'Avenir en confiance,37,TENDA Henriette,Province Sud,Kanaky pour tous,40,FALELAVAKI HENRIETTE WAHUZUE HENRIETTE WAHUZUE FALELAVAKI,HENRIETTE TENDA TENDA HENRIETTE,FALELAVAKI|HENRIETTE|WAHUZUE,HENRIETTE|TENDA,HENRIETTE,1,1,3,2,0.4,40,0.7017543859649122,TRUE,HENRIETTE,TRUE
ANTOINE NOMAI TEIN,MAGUY NOMAI,Antoine Tein NOMAI,Province Nord,Parti travailliste,31,NOMAI Maguy,Province Nord,UC-FLNKS,28,ANTOINE NOMAI TEIN ANTOINE TEIN NOMAI,MAGUY NOMAI NOMAI MAGUY,ANTOINE|NOMAI|TEIN,MAGUY|NOMAI,NOMAI,1,1,3,2,0.4,26,0.7027027027027027,TRUE,NOMAI,TRUE
CLEMENTINE GOPE WAMO,SAMUEL WAMO,Clémentine WAMO ep GOPE,Province des Iles,Palika Iles,10,WAMO Samuel,Province des Iles,Palika Iles,6,CLEMENTINE GOPE WAMO CLEMENTINE WAMO EP GOPE,SAMUEL WAMO WAMO SAMUEL,CLEMENTINE|GOPE|WAMO,SAMUEL|WAMO,WAMO,1,1,3,2,0.4,31,0.7045454545454546,TRUE,WAMO,TRUE
PEBELLIER SIMONE TOURNIER,MAEVA TOURNIER,Simone PEBELLIER épouse TOURNIER,Province Sud,Rassemblement national,44,TOURNIER Maéva,Province Sud,"Nous, reunis",38,PEBELLIER SIMONE TOURNIER SIMONE PEBELLIER EPOUSE TOURNIER,MAEVA TOURNIER TOURNIER MAEVA,PEBELLIER|SIMONE|TOURNIER,MAEVA|TOURNIER,TOURNIER,1,1,3,2,0.4,41,0.7068965517241379,TRUE,TOURNIER,TRUE
CITRE CLAUDINE,CITRE FULBERT WADEWI,Claudine CITRE,Province des Iles,Avec nous,14,"CITRE Fulbert, Wadewi",Province des Iles,Baselaia,21,CITRE CLAUDINE CLAUDINE CITRE,CITRE FULBERT WADEWI CITRE FULBERT WADEWI,CITRE|CLAUDINE,CITRE|FULBERT|WADEWI,CITRE,1,1,2,3,0.4,29,0.7073170731707317,TRUE,CITRE,TRUE
ELISA JEWINE WADROBERT,ELISA KONYI,Elisa JEWINE ép. WADROBERT,Province des Iles,Nouvelle vision des Iles,14,KONYI Elisa,Province des Iles,Palika Iles,19,ELISA JEWINE WADROBERT ELISA JEWINE EP WADROBERT,ELISA KONYI KONYI ELISA,ELISA|JEWINE|WADROBERT,ELISA|KONYI,ELISA,1,1,3,2,0.4,34,0.7083333333333334,TRUE,ELISA,TRUE
FREDERIC GOPE,GOPE SEIKO SIMONE,Frédéric GOPE,Province des Iles,MNIS Iles,2,SEIKO ép. GOPE Simone,Province des Iles,Palika Iles,23,FREDERIC GOPE FREDERIC GOPE,GOPE SEIKO SIMONE SEIKO EP GOPE SIMONE,FREDERIC|GOPE,GOPE|SEIKO|SIMONE,GOPE,1,1,2,3,0.4,27,0.7105263157894737,TRUE,GOPE,TRUE
MIRIAM VERDUGER,LYSIANE MIRIAM SASTRODIHARDJO,Miriam VERDUGER,Province Sud,Alliance citoyenne pour la transition,7,"SASTRODIHARDJO Lysiane, Miriam",Province Sud,Souverainete Kanaky NC,18,MIRIAM VERDUGER MIRIAM VERDUGER,LYSIANE MIRIAM SASTRODIHARDJO SASTRODIHARDJO LYSIANE MIRIAM,MIRIAM|VERDUGER,LYSIANE|MIRIAM|SASTRODIHARDJO,MIRIAM,1,1,2,3,0.4,42,0.711864406779661,TRUE,MIRIAM,TRUE
ELISABETH SORGE VUDINH,FERDINAND SORGE,Elisabeth VUDINH née SORGE,Province Sud,Caledonie nouvelle et reunie,42,SORGE Ferdinand,Province Sud,Un espoir pour demain,35,ELISABETH SORGE VUDINH ELISABETH VUDINH NEE SORGE,FERDINAND SORGE SORGE FERDINAND,ELISABETH|SORGE|VUDINH,FERDINAND|SORGE,SORGE,1,1,3,2,0.4,35,0.7142857142857143,TRUE,SORGE,TRUE
MAITUKU MALIA SAVEA,FRANCK MAITUKU,Malia SAVEA née MAITUKU,Province Sud,L'Eveil oceanien,50,MAITUKU Franck,Province Sud,Un autre monde est possible,32,MAITUKU MALIA SAVEA MALIA SAVEA NEE MAITUKU,FRANCK MAITUKU MAITUKU FRANCK,MAITUKU|MALIA|SAVEA,FRANCK|MAITUKU,MAITUKU,1,1,3,2,0.4,31,0.7209302325581395,TRUE,MAITUKU,TRUE
AGOURERE DIACOMA NICOLE,HAEWENG NICOLE,Nicole DIACOMA épouse AGOURERE,Province Sud,Parti travailliste et forces progressistes,42,HAEWENG NICOLE,Province Sud,Faire Pays,20,AGOURERE DIACOMA NICOLE NICOLE DIACOMA EPOUSE AGOURERE,HAEWENG NICOLE HAEWENG NICOLE,AGOURERE|DIACOMA|NICOLE,HAEWENG|NICOLE,NICOLE,1,1,3,2,0.4,39,0.7222222222222222,TRUE,NICOLE,TRUE
KURTOVITCH LINDA,CHARLINE KASSIRAN LINDA,Linda KURTOVITCH,Province Sud,Construire autrement,18,"KASSIRAN Charline, Linda",Province Sud,Pour une Caledonie francaise,12,KURTOVITCH LINDA LINDA KURTOVITCH,CHARLINE KASSIRAN LINDA KASSIRAN CHARLINE LINDA,KURTOVITCH|LINDA,CHARLINE|KASSIRAN|LINDA,LINDA,1,1,2,3,0.4,34,0.723404255319149,TRUE,LINDA,TRUE
JULIA VAISALA,EMILLIENNE JULIA OUNEI,Julia VAISALA,Province Sud,L'Eveil oceanien,16,"OUNEI Emillienne, Julia",Province Sud,Souverainete Kanaky NC,16,JULIA VAISALA JULIA VAISALA,EMILLIENNE JULIA OUNEI OUNEI EMILLIENNE JULIA,JULIA|VAISALA,EMILLIENNE|JULIA|OUNEI,JULIA,1,1,2,3,0.4,33,0.7333333333333333,TRUE,JULIA,TRUE
ANGE HOMBOE MARIE,FREDERIC HOMBOE,Marie-Ange HOMBOE,Province Sud,Construire autrement,24,HOMBOE Frédéric,Province Sud,Un espoir pour demain,21,ANGE HOMBOE MARIE MARIE ANGE HOMBOE,FREDERIC HOMBOE HOMBOE FREDERIC,ANGE|HOMBOE|MARIE,FREDERIC|HOMBOE,HOMBOE,1,1,3,2,0.4,26,0.7428571428571429,TRUE,HOMBOE,TRUE
NENA SYLVIO,HENRI JOVIAL NENA,Sylvio NENA,Province des Iles,Parti travailliste,21,"NENA Henri, Jovial",Province des Iles,Baselaia,11,NENA SYLVIO SYLVIO NENA,HENRI JOVIAL NENA NENA HENRI JOVIAL,NENA|SYLVIO,HENRI|JOVIAL|NENA,NENA,1,1,2,3,0.4,26,0.7428571428571429,TRUE,NENA,TRUE
JONATHAN LAURENT,GATUHAU LAURENT,Jonathan LAURENT,Province Sud,Rassemblement national,25,GATUHAU Laurent,Province Sud,Alliance Pacifik enracinee,8,JONATHAN LAURENT JONATHAN LAURENT,GATUHAU LAURENT GATUHAU LAURENT,JONATHAN|LAURENT,GATUHAU|LAURENT,LAURENT,1,0,2,2,0.5,10,0.30303030303030304,TRUE,LAURENT,TRUE
JONATHAN LAURENT,CHATENAY LAURENT,Jonathan LAURENT,Province Sud,Rassemblement national,25,CHATENAY LAURENT,Province Sud,Faire Pays,5,JONATHAN LAURENT JONATHAN LAURENT,CHATENAY LAURENT CHATENAY LAURENT,JONATHAN|LAURENT,CHATENAY|LAURENT,LAURENT,1,0,2,2,0.5,12,0.36363636363636365,TRUE,LAURENT,TRUE
JONATHAN LAURENT,DINCLAUX LAURENT,Jonathan LAURENT,Province Sud,Rassemblement national,25,DINCLAUX Laurent,Province Sud,Kanaky pour tous,19,JONATHAN LAURENT JONATHAN LAURENT,DINCLAUX LAURENT DINCLAUX LAURENT,JONATHAN|LAURENT,DINCLAUX|LAURENT,LAURENT,1,0,2,2,0.5,14,0.42424242424242425,TRUE,LAURENT,TRUE
DEVILLERS MARC,DEVILLERS VANESSA,Marc DEVILLERS,Province Nord,Caledoniens Ensemble Nord,21,DEVILLERS Vanessa,Province Nord,Faire Pays,2,DEVILLERS MARC MARC DEVILLERS,DEVILLERS VANESSA DEVILLERS VANESSA,DEVILLERS|MARC,DEVILLERS|VANESSA,DEVILLERS,1,0,2,2,0.5,15,0.42857142857142855,TRUE,DEVILLERS,TRUE
CHRISTIAN COLLOT,CHRISTIAN TEIN,Christian COLLOT,Province Sud,Alliance citoyenne pour la transition,20,TEIN Christian,Province Sud,Kanaky pour tous,47,CHRISTIAN COLLOT CHRISTIAN COLLOT,CHRISTIAN TEIN TEIN CHRISTIAN,CHRISTIAN|COLLOT,CHRISTIAN|TEIN,CHRISTIAN,1,0,2,2,0.5,15,0.45454545454545453,TRUE,CHRISTIAN,TRUE
CHRISTIAN TAMASO,CHRISTIAN TEIN,Christian TAMASO,Province Sud,Parti travailliste et forces progressistes,21,TEIN Christian,Province Sud,Kanaky pour tous,47,CHRISTIAN TAMASO CHRISTIAN TAMASO,CHRISTIAN TEIN TEIN CHRISTIAN,CHRISTIAN|TAMASO,CHRISTIAN|TEIN,CHRISTIAN,1,0,2,2,0.5,15,0.45454545454545453,TRUE,CHRISTIAN,TRUE
DEVILLERS MAUDE,DEVILLERS VANESSA,Maude DEVILLERS,Province Nord,Caledoniens Ensemble Nord,28,DEVILLERS Vanessa,Province Nord,Faire Pays,2,DEVILLERS MAUDE MAUDE DEVILLERS,DEVILLERS VANESSA DEVILLERS VANESSA,DEVILLERS|MAUDE,DEVILLERS|VANESSA,DEVILLERS,1,0,2,2,0.5,16,0.45714285714285713,TRUE,DEVILLERS,TRUE
GOMES PHILIPPE,LEME PHILIPPE,Philippe GOMES,Province Sud,Caledoniens Ensemble,1,LEME Philippe,Province Sud,"Nous, reunis",43,GOMES PHILIPPE PHILIPPE GOMES,LEME PHILIPPE LEME PHILIPPE,GOMES|PHILIPPE,LEME|PHILIPPE,PHILIPPE,1,0,2,2,0.5,14,0.4827586206896552,TRUE,PHILIPPE,TRUE
HELENE IEKAWE,HELENE WENEGUEI,Hélène IEKAWE,Province Sud,Caledoniens Ensemble,14,WENEGUEI Hélène,Province Sud,Un autre monde est possible,43,HELENE IEKAWE HELENE IEKAWE,HELENE WENEGUEI WENEGUEI HELENE,HELENE|IEKAWE,HELENE|WENEGUEI,HELENE,1,0,2,2,0.5,15,0.4838709677419355,TRUE,HELENE,TRUE
JONATHAN LAURENT,BARBIER LAURENT,Jonathan LAURENT,Province Sud,Rassemblement national,25,BARBIER Laurent,Province Sud,"France Caledonie, une patrie",32,JONATHAN LAURENT JONATHAN LAURENT,BARBIER LAURENT BARBIER LAURENT,JONATHAN|LAURENT,BARBIER|LAURENT,LAURENT,1,0,2,2,0.5,16,0.48484848484848486,TRUE,LAURENT,TRUE
JONATHAN LAURENT,EDO LAURENT,Jonathan LAURENT,Province Sud,Rassemblement national,25,EDO Laurent,Province Sud,Pour une Caledonie francaise,11,JONATHAN LAURENT JONATHAN LAURENT,EDO LAURENT EDO LAURENT,JONATHAN|LAURENT,EDO|LAURENT,LAURENT,1,0,2,2,0.5,16,0.48484848484848486,TRUE,LAURENT,TRUE
BLAISE PHILIPPE,LEMAITRE PHILIPPE,Philippe BLAISE,Province Sud,L'Avenir en confiance,6,LEMAITRE Philippe,Province Sud,Pour une Caledonie francaise,5,BLAISE PHILIPPE PHILIPPE BLAISE,LEMAITRE PHILIPPE LEMAITRE PHILIPPE,BLAISE|PHILIPPE,LEMAITRE|PHILIPPE,PHILIPPE,1,0,2,2,0.5,17,0.4857142857142857,TRUE,PHILIPPE,TRUE
DEVILLERS VALERIE,HERBERT VALERIE,Valérie DEVILLERS,Province Sud,Construire autrement,40,HERBERT Valérie,Province Sud,Pour une Caledonie francaise,50,DEVILLERS VALERIE VALERIE DEVILLERS,HERBERT VALERIE HERBERT VALERIE,DEVILLERS|VALERIE,HERBERT|VALERIE,VALERIE,1,0,2,2,0.5,17,0.4857142857142857,TRUE,VALERIE,TRUE
DOMINIQUE DURAND,DOMINIQUE NEWLAND,Dominique DURAND,Province Sud,Rassemblement national,30,NEWLAND Dominique,Province Sud,Les Loyalistes et Le Rassemblement,45,DOMINIQUE DURAND DOMINIQUE DURAND,DOMINIQUE NEWLAND NEWLAND DOMINIQUE,DOMINIQUE|DURAND,DOMINIQUE|NEWLAND,DOMINIQUE,1,0,2,2,0.5,18,0.5142857142857142,TRUE,DOMINIQUE,TRUE
LARRY MARTIN,LOUECKHOTE MARTIN,Larry MARTIN,Province Sud,Construire autrement,9,LOUECKHOTE Martin,Province Sud,Les Loyalistes et Le Rassemblement,38,LARRY MARTIN LARRY MARTIN,LOUECKHOTE MARTIN LOUECKHOTE MARTIN,LARRY|MARTIN,LOUECKHOTE|MARTIN,MARTIN,1,0,2,2,0.5,18,0.5142857142857142,TRUE,MARTIN,TRUE
BLAISE PHILIPPE,DESEIGNE PHILIPPE,Philippe BLAISE,Province Sud,L'Avenir en confiance,6,DESEIGNE Philippe,Province Sud,Unis pour le Pays,25,BLAISE PHILIPPE PHILIPPE BLAISE,DESEIGNE PHILIPPE DESEIGNE PHILIPPE,BLAISE|PHILIPPE,DESEIGNE|PHILIPPE,PHILIPPE,1,0,2,2,0.5,18,0.5142857142857142,TRUE,PHILIPPE,TRUE
JACQUELINE VOUDJO,JACQUELINE MALIE,Jacqueline VOUDJO,Province des Iles,MNIS Iles,21,MALIE Jacqueline,Province des Iles,Palika Iles,9,JACQUELINE VOUDJO JACQUELINE VOUDJO,JACQUELINE MALIE MALIE JACQUELINE,JACQUELINE|VOUDJO,JACQUELINE|MALIE,JACQUELINE,1,0,2,2,0.5,18,0.5142857142857142,TRUE,JACQUELINE,TRUE
BLAISE PHILIPPE,HNAGEJE PHILIPPE,Philippe BLAISE,Province Sud,L'Avenir en confiance,6,HNAGEJE Philippe,Province Sud,Une Province pour tous,44,BLAISE PHILIPPE PHILIPPE BLAISE,HNAGEJE PHILIPPE HNAGEJE PHILIPPE,BLAISE|PHILIPPE,HNAGEJE|PHILIPPE,PHILIPPE,1,0,2,2,0.5,17,0.5151515151515151,TRUE,PHILIPPE,TRUE
BLAISE PHILIPPE,LEME PHILIPPE,Philippe BLAISE,Province Sud,L'Avenir en confiance,6,LEME Philippe,Province Sud,"Nous, reunis",43,BLAISE PHILIPPE PHILIPPE BLAISE,LEME PHILIPPE LEME PHILIPPE,BLAISE|PHILIPPE,LEME|PHILIPPE,PHILIPPE,1,0,2,2,0.5,16,0.5161290322580645,TRUE,PHILIPPE,TRUE
HENRI ZEGOU,HENIN HENRI,Henri ZEGOU,Province Sud,Rassemblement national,49,HENIN Henri,Province Sud,Pour une Caledonie francaise,41,HENRI ZEGOU HENRI ZEGOU,HENIN HENRI HENIN HENRI,HENRI|ZEGOU,HENIN|HENRI,HENRI,1,0,2,2,0.5,12,0.5217391304347826,TRUE,HENRI,TRUE
DOMINIQUE LASSARD,DOMINIQUE NEWLAND,Dominique LASSARD,Province Sud,Alliance citoyenne pour la transition,31,NEWLAND Dominique,Province Sud,Les Loyalistes et Le Rassemblement,45,DOMINIQUE LASSARD DOMINIQUE LASSARD,DOMINIQUE NEWLAND NEWLAND DOMINIQUE,DOMINIQUE|LASSARD,DOMINIQUE|NEWLAND,DOMINIQUE,1,0,2,2,0.5,19,0.5428571428571428,TRUE,DOMINIQUE,TRUE
MARTINEZ PHILIPPE,DESEIGNE PHILIPPE,Philippe MARTINEZ,Province Sud,Rassemblement national,31,DESEIGNE Philippe,Province Sud,Unis pour le Pays,25,MARTINEZ PHILIPPE PHILIPPE MARTINEZ,DESEIGNE PHILIPPE DESEIGNE PHILIPPE,MARTINEZ|PHILIPPE,DESEIGNE|PHILIPPE,PHILIPPE,1,0,2,2,0.5,19,0.5428571428571428,TRUE,PHILIPPE,TRUE
MARTINEZ PHILIPPE,LEMAITRE PHILIPPE,Philippe MARTINEZ,Province Sud,Rassemblement national,31,LEMAITRE Philippe,Province Sud,Pour une Caledonie francaise,5,MARTINEZ PHILIPPE PHILIPPE MARTINEZ,LEMAITRE PHILIPPE LEMAITRE PHILIPPE,MARTINEZ|PHILIPPE,LEMAITRE|PHILIPPE,PHILIPPE,1,0,2,2,0.5,19,0.5428571428571428,TRUE,PHILIPPE,TRUE
MICHEL PHILIPPE,LEMAITRE PHILIPPE,Philippe MICHEL,Province Sud,Caledoniens Ensemble,7,LEMAITRE Philippe,Province Sud,Pour une Caledonie francaise,5,MICHEL PHILIPPE PHILIPPE MICHEL,LEMAITRE PHILIPPE LEMAITRE PHILIPPE,MICHEL|PHILIPPE,LEMAITRE|PHILIPPE,PHILIPPE,1,0,2,2,0.5,19,0.5428571428571428,TRUE,PHILIPPE,TRUE
CHRISTIAN TAMASO,CHRISTIAN KAATEU,Christian TAMASO,Province Sud,Parti travailliste et forces progressistes,21,KAATEU Christian,Province Sud,Unis pour le Pays,29,CHRISTIAN TAMASO CHRISTIAN TAMASO,CHRISTIAN KAATEU KAATEU CHRISTIAN,CHRISTIAN|TAMASO,CHRISTIAN|KAATEU,CHRISTIAN,1,0,2,2,0.5,18,0.5454545454545454,TRUE,CHRISTIAN,TRUE
JONATHAN LAURENT,ALAIN LAURENT,Jonathan LAURENT,Province Sud,Rassemblement national,25,LAURENT Alain,Province Sud,"France Caledonie, une patrie",21,JONATHAN LAURENT JONATHAN LAURENT,ALAIN LAURENT LAURENT ALAIN,JONATHAN|LAURENT,ALAIN|LAURENT,LAURENT,1,0,2,2,0.5,18,0.5454545454545454,TRUE,LAURENT,TRUE
BALET BERNARD,BASQUIN BERNARD,Bernard BALET,Province Sud,Construire autrement,23,BASQUIN Bernard,Province Sud,"Nous, reunis",35,BALET BERNARD BERNARD BALET,BASQUIN BERNARD BASQUIN BERNARD,BALET|BERNARD,BASQUIN|BERNARD,BERNARD,1,0,2,2,0.5,17,0.5483870967741935,TRUE,BERNARD,TRUE
GASSER ISABELLE,GOTA ISABELLE,Isabelle GASSER,Province Sud,Construire autrement,26,GOTA Isabelle,Province Sud,"France Caledonie, une patrie",49,GASSER ISABELLE ISABELLE GASSER,GOTA ISABELLE GOTA ISABELLE,GASSER|ISABELLE,GOTA|ISABELLE,ISABELLE,1,0,2,2,0.5,17,0.5483870967741935,TRUE,ISABELLE,TRUE
GOMES PHILIPPE,GAZEAU PHILIPPE,Philippe GOMES,Province Sud,Caledoniens Ensemble,1,GAZEAU Philippe,Province Sud,Un espoir pour demain,45,GOMES PHILIPPE PHILIPPE GOMES,GAZEAU PHILIPPE GAZEAU PHILIPPE,GOMES|PHILIPPE,GAZEAU|PHILIPPE,PHILIPPE,1,0,2,2,0.5,17,0.5483870967741935,TRUE,PHILIPPE,TRUE
MICHEL PHILIPPE,LEME PHILIPPE,Philippe MICHEL,Province Sud,Caledoniens Ensemble,7,LEME Philippe,Province Sud,"Nous, reunis",43,MICHEL PHILIPPE PHILIPPE MICHEL,LEME PHILIPPE LEME PHILIPPE,MICHEL|PHILIPPE,LEME|PHILIPPE,PHILIPPE,1,0,2,2,0.5,17,0.5483870967741935,TRUE,PHILIPPE,TRUE
HELENE IEKAWE,HELENE NAPOREA,Hélène IEKAWE,Province Sud,Caledoniens Ensemble,14,NAPOREA Hélène,Province Sud,Souverainete Kanaky NC,32,HELENE IEKAWE HELENE IEKAWE,HELENE NAPOREA NAPOREA HELENE,HELENE|IEKAWE,HELENE|NAPOREA,HELENE,1,0,2,2,0.5,16,0.5517241379310345,TRUE,HELENE,TRUE
LAURENT WELEPA,ALAIN LAURENT,Laurent WELEPA,Province Sud,MNIS Sud,13,LAURENT Alain,Province Sud,"France Caledonie, une patrie",21,LAURENT WELEPA LAURENT WELEPA,ALAIN LAURENT LAURENT ALAIN,LAURENT|WELEPA,ALAIN|LAURENT,LAURENT,1,0,2,2,0.5,16,0.5517241379310345,TRUE,LAURENT,TRUE
LAURENT WELEPA,EDO LAURENT,Laurent WELEPA,Province Sud,MNIS Sud,13,EDO Laurent,Province Sud,Pour une Caledonie francaise,11,LAURENT WELEPA LAURENT WELEPA,EDO LAURENT EDO LAURENT,LAURENT|WELEPA,EDO|LAURENT,LAURENT,1,0,2,2,0.5,16,0.5517241379310345,TRUE,LAURENT,TRUE
KOUATHE ROBERT,KAKUE ROBERT,Robert KOUATHE,Province Sud,Caledonie nouvelle et reunie,47,KAKUE ROBERT,Province Sud,Faire Pays,1,KOUATHE ROBERT ROBERT KOUATHE,KAKUE ROBERT KAKUE ROBERT,KOUATHE|ROBERT,KAKUE|ROBERT,ROBERT,1,0,2,2,0.5,16,0.5517241379310345,TRUE,ROBERT,TRUE
ALAIN HOUDAN,ALAIN LAURENT,Alain HOUDAN,Province Sud,Alliance citoyenne pour la transition,36,LAURENT Alain,Province Sud,"France Caledonie, une patrie",21,ALAIN HOUDAN ALAIN HOUDAN,ALAIN LAURENT LAURENT ALAIN,ALAIN|HOUDAN,ALAIN|LAURENT,ALAIN,1,0,2,2,0.5,15,0.5555555555555556,TRUE,ALAIN,TRUE
HELENE IEKAWE,HELENE KALOKO,Hélène IEKAWE,Province Sud,Caledoniens Ensemble,14,KALOKO Hélène,Province Sud,Alliance Pacifik enracinee,33,HELENE IEKAWE HELENE IEKAWE,HELENE KALOKO KALOKO HELENE,HELENE|IEKAWE,HELENE|KALOKO,HELENE,1,0,2,2,0.5,15,0.5555555555555556,TRUE,HELENE,TRUE
LARRY MARTIN,MARTIN TUTURU,Larry MARTIN,Province Sud,Construire autrement,9,TUTURU Martin,Province Sud,Un autre monde est possible,27,LARRY MARTIN LARRY MARTIN,MARTIN TUTURU TUTURU MARTIN,LARRY|MARTIN,MARTIN|TUTURU,MARTIN,1,0,2,2,0.5,15,0.5555555555555556,TRUE,MARTIN,TRUE
LAURENT PAITA,ALAIN LAURENT,Laurent PAÏTA,Province Sud,Parti travailliste et forces progressistes,9,LAURENT Alain,Province Sud,"France Caledonie, une patrie",21,LAURENT PAITA LAURENT PAITA,ALAIN LAURENT LAURENT ALAIN,LAURENT|PAITA,ALAIN|LAURENT,LAURENT,1,0,2,2,0.5,15,0.5555555555555556,TRUE,LAURENT,TRUE
LAURENT PAITA,EDO LAURENT,Laurent PAÏTA,Province Sud,Parti travailliste et forces progressistes,9,EDO Laurent,Province Sud,Pour une Caledonie francaise,11,LAURENT PAITA LAURENT PAITA,EDO LAURENT EDO LAURENT,LAURENT|PAITA,EDO|LAURENT,LAURENT,1,0,2,2,0.5,15,0.5555555555555556,TRUE,LAURENT,TRUE
LAIGLE MONDY,LAIGLE MIGUEL,Mondy LAIGLE,Province Sud,Caledoniens Ensemble,26,LAIGLE Miguel,Province Sud,Un espoir pour demain,43,LAIGLE MONDY MONDY LAIGLE,LAIGLE MIGUEL LAIGLE MIGUEL,LAIGLE|MONDY,LAIGLE|MIGUEL,LAIGLE,1,0,2,2,0.5,15,0.5555555555555556,TRUE,LAIGLE,TRUE
SONIA STUART,SONIA TOLUAFE,Sonia STUART,Province Sud,Caledonie nouvelle et reunie,26,TOLUAFE Sonia,Province Sud,Un autre monde est possible,37,SONIA STUART SONIA STUART,SONIA TOLUAFE TOLUAFE SONIA,SONIA|STUART,SONIA|TOLUAFE,SONIA,1,0,2,2,0.5,15,0.5555555555555556,TRUE,SONIA,TRUE
SONIA TEIN,SONIA TOLUAFE,Sonia TEIN,Province Sud,Caledonie nouvelle et reunie,30,TOLUAFE Sonia,Province Sud,Un autre monde est possible,37,SONIA TEIN SONIA TEIN,SONIA TOLUAFE TOLUAFE SONIA,SONIA|TEIN,SONIA|TOLUAFE,SONIA,1,0,2,2,0.5,15,0.5555555555555556,TRUE,SONIA,TRUE
ROBERT YVES,PIMBE ROBERT,Yves ROBERT,Province Nord,MNIS Nord,16,PIMBE Robert,Province Nord,Faire Pays,29,ROBERT YVES YVES ROBERT,PIMBE ROBERT PIMBE ROBERT,ROBERT|YVES,PIMBE|ROBERT,ROBERT,1,0,2,2,0.5,14,0.56,TRUE,ROBERT,TRUE
JACQUELINE VOUDJO,DRAWILO JACQUELINE,Jacqueline VOUDJO,Province des Iles,MNIS Iles,21,DRAWILO Jacqueline,Province des Iles,Palika Iles,21,JACQUELINE VOUDJO JACQUELINE VOUDJO,DRAWILO JACQUELINE DRAWILO JACQUELINE,JACQUELINE|VOUDJO,DRAWILO|JACQUELINE,JACQUELINE,1,0,2,2,0.5,21,0.5675675675675675,TRUE,JACQUELINE,TRUE
