nom_cle_comparaison_2019,nom_affiche_2019,provinces_2019,listes_2019,nom_cle_comparaison_2026,nom_affiche_2026,provinces_2026,listes_2026,nb_tokens_communs,dice_tokens,jw_distance,statut
CEDRICK WAHEA,Cedrick WAHEA,Province des Iles,Province des Iles - 05 - DYNAMIQUE AUTOCHTONE,CEDRICK ILAN WAHEA,"WAHEA Cedrick, Ilan",Province des Iles,Province des Iles - 04 - NATION AUTOCHTONE,2,0.8,0.09401709401709406,rapprochement_tokens_a_verifier
MAIAU SEFA SUZANNE,Suzanne MAIAU-SEFA,Province Sud,Province Sud - 03 - L’AVENIR EN CONFIANCE,MAIAU SUZANNE,MAIAU Suzanne,Province Sud,Province Sud - 08 - POUR UNE CALEDONIE FRANCAISE,2,0.8,0.09401709401709406,rapprochement_tokens_a_verifier
AUCHER RACHELLE,Rachelle AUCHER,Province Sud,Province Sud - 07 - FLNKS,AUCHER HONAKOKO RACHELLE,HONAKOKO ép. AUCHER Rachelle,Province Sud,Province Sud - 02 - KANAKY POUR TOUS,2,0.8,0.09500000000000006,rapprochement_tokens_a_verifier
ATINOUA PATRICE,Patrice ATINOUA,Province Sud,Province Sud - 10 - DESTIN COMMUN CALEDONIEN,ATINOUA MARTIAL PATRICE,"ATINOUA PATRICE, MARTIAL",Province Sud,Province Sud - 07 - FAIRE PAYS,2,0.8,0.09623188405797109,rapprochement_tokens_a_verifier
EUGENE VAMA,Eugène VAMA,Province Sud,Province Sud - 01 - MOUVEMENT NEO-INDEPENDANTISTE ET SOUVERAINISTE SUD (MNIS SUD),EUGENE KARL VAMA,VAMA Eugène Karl,Province Sud,Province Sud - 06 - SOUVERAINETE KANAKY NOUVELLE-CALEDONIE,2,0.8,0.09886363636363638,rapprochement_tokens_a_verifier
FORREST MICKAEL,Mickaël FORREST,Province des Iles,Province des Iles - 02 - UC - FLNKS,FORREST JOSEPH MICKAEL,FORREST Mickael Joseph,Province des Iles,Province des Iles - 05 - UC FLNKS ILES,2,0.8,0.10363636363636371,rapprochement_tokens_a_verifier
CHARLES KICONE WASSAUMI,"Charles, Kicone WASSAUMI",Province des Iles,Province des Iles - 04 - AVEC NOUS,CHARLES WASSAUMI,WASSAUMI Charles,Province des Iles,Province des Iles - 06 - S'ENGAGER ET OEUVRER POUR LA PROSPERITE DE NOTRE,2,0.8,0.10461956521739135,rapprochement_tokens_a_verifier
ANNIE QAEZE,Annie QAEZE,Province Sud,"Province Sud - 11 - CALEDONIENS ENSEMBLE, POUR UN AVENIR DU PAYS DANS LA PAIX, AUX COULEURS DE LA FRANCE",ANNIE JINEZI QAEZE,QAEZE Jinézi Annie,Province Sud,"Province Sud - 05 - UNE PROVINCE POUR TOUS, UN PAYS SOLIDAIRE UN AVENIR",2,0.8,0.11414141414141411,rapprochement_tokens_a_verifier
CARYL NORMANDON,Caryl NORMANDON,Province Nord,Province Nord - 02 - AGISSONS POUR LE NORD,CARYL EDOUARD NORMANDON,À NORMANDON Caryl Edouard,Province Nord,Province Nord - 01 - AGISSONS ENSEMBLE POUR LE NORD,2,0.8,0.11623188405797102,rapprochement_tokens_a_verifier
DAVID SIMIJANE YEIWIE,"David, Simijane YEIWIE",Province des Iles,Province des Iles - 07 - MOUVEMENT NEO-INDEPENDANTISTE ET SOUVERAINISTE ILES (MNIS ILES),DAVID YEIWIE,YEIWIE David,Province des Iles,Province des Iles - 01 - PALIKA ÎLES,2,0.8,0.13571428571428576,rapprochement_tokens_a_verifier
JOAN MAPOU,Joan MAPOU,Province Sud,Province Sud - 03 - L’AVENIR EN CONFIANCE,15 JOAN MAPOU,© 15 MAPOU Joan,Province Sud,Province Sud - 01 - UN AUTRE MONDE EST POSSIBLE !,2,0.8,0.16025641025641035,rapprochement_tokens_a_verifier
GASTON YARIK,Gaston YARIK,Province Nord,Province Nord - 04 - PARTI TRAVAILLISTE « OSONS LE CHANGEMENT »,13 GASTON YARIK,13 YARIK Gaston,Province Nord,Province Nord - 02 - ALTERNATIVE NORD POUR UN PAYS SOUVERAIN,2,0.8,0.16388888888888897,rapprochement_tokens_a_verifier
APANGOU GOROMIDO JOSEPH,"Joseph,Apangou GOROMIDO",Province Nord,Province Nord - 01 - UNION NATIONALE POUR L'INDEPENDANCE (UNI),GOROMIDO JOSEPH,GOROMIDO Joseph,Province Nord,Province Nord - 05 - UNION NATIONALE POUR L'INDEPENDANCE (UNI),2,0.8,0.20483091787439622,rapprochement_tokens_a_verifier
HUE REINE VENDEGOU,Reine VENDEGOU - HUE,Province des Iles,Province des Iles - 02 - UC - FLNKS,REINE VENDEGOU,VENDEGOU Reine,Province des Iles,Province des Iles - 05 - UC FLNKS ILES,2,0.8,0.2050264550264551,rapprochement_tokens_a_verifier
LIONEL PAAGALUA,Lionel PAAGALUA,Province Sud,Province Sud - 03 - L’AVENIR EN CONFIANCE,CLAUDE LIONEL PAAGALUA,PAAGALUA Lionel Claude,Province Sud,Province Sud - 10 - LES LOYALISTES ET LE RASSEMBLEMENT-FORTS ET UNIS,2,0.8,0.22828282828282842,rapprochement_tokens_a_verifier
