election,tour,code_departement,code_commune,commune,commune_norm,code_bv,bureau_nom,bloc,camp_institutionnel,inscrits,votants,abstentions,exprimes,blancs,nuls,voix_bloc,longitude,latitude,geo_source,nb_options,options,pct_exprimes,pct_inscrits
legislatives_2022,1,988,98803,Bourail,BOURAIL,0004,École Les Lys d’Eau,independantiste,independantiste,1076,468,608,455,8,5,29,165.49748641875,-21.5730483252455,etablissements_publics_nc,2,Mouvement neo-independantiste et souverainiste | Union caledonienne,6.37,2.7
legislatives_2022,1,988,98803,Bourail,BOURAIL,0004,École Les Lys d’Eau,loyaliste,anti_independantiste,1076,468,608,455,8,5,400,165.49748641875,-21.5730483252455,etablissements_publics_nc,4,Debout la France | Generations NC | Rassemblement - LR | Rassemblement national,87.91,37.17
legislatives_2022,1,988,98803,Bourail,BOURAIL,0005,École Louise Michel,autre,neutre,983,414,569,402,5,7,11,165.497379452405,-21.57045570157,etablissements_publics_nc,3,Construire autrement | Sans etiquette,2.74,1.12
legislatives_2022,1,988,98803,Bourail,BOURAIL,0005,École Louise Michel,independantiste,independantiste,983,414,569,402,5,7,38,165.497379452405,-21.57045570157,etablissements_publics_nc,2,Mouvement neo-independantiste et souverainiste | Union caledonienne,9.45,3.87
legislatives_2022,1,988,98803,Bourail,BOURAIL,0005,École Louise Michel,loyaliste,anti_independantiste,983,414,569,402,5,7,353,165.497379452405,-21.57045570157,etablissements_publics_nc,4,Debout la France | Generations NC | Rassemblement - LR | Rassemblement national,87.81,35.91
legislatives_2022,1,988,98804,Canala,CANALA,0001,Mairie,autre,neutre,424,156,268,156,0,0,2,165.96392757417755,-21.522084905801098,tribus_villages_nc,3,Construire autrement | Sans etiquette,1.28,0.47
legislatives_2022,1,988,98804,Canala,CANALA,0001,Mairie,independantiste,independantiste,424,156,268,156,0,0,146,165.96392757417755,-21.522084905801098,tribus_villages_nc,2,Mouvement neo-independantiste et souverainiste | Union caledonienne,93.59,34.43
legislatives_2022,1,988,98804,Canala,CANALA,0001,Mairie,loyaliste,anti_independantiste,424,156,268,156,0,0,8,165.96392757417755,-21.522084905801098,tribus_villages_nc,4,Debout la France | Generations NC | Rassemblement - LR | Rassemblement national,5.13,1.89
legislatives_2022,1,988,98804,Canala,CANALA,0002,Nakéty,autre,neutre,502,212,290,212,0,0,4,166.04631481753384,-21.54222544058342,tribus_villages_nc,3,Construire autrement | Sans etiquette,1.89,0.8
legislatives_2022,1,988,98804,Canala,CANALA,0002,Nakéty,independantiste,independantiste,502,212,290,212,0,0,207,166.04631481753384,-21.54222544058342,tribus_villages_nc,2,Mouvement neo-independantiste et souverainiste | Union caledonienne,97.64,41.24
legislatives_2022,1,988,98804,Canala,CANALA,0002,Nakéty,loyaliste,anti_independantiste,502,212,290,212,0,0,1,166.04631481753384,-21.54222544058342,tribus_villages_nc,4,Debout la France | Generations NC | Rassemblement - LR | Rassemblement national,0.47,0.2
legislatives_2022,1,988,98804,Canala,CANALA,0003,Nanon,autre,neutre,463,213,250,208,3,2,1,165.88480729759476,-21.546697208816735,tribus_villages_nc,3,Construire autrement | Sans etiquette,0.48,0.22
legislatives_2022,1,988,98804,Canala,CANALA,0003,Nanon,independantiste,independantiste,463,213,250,208,3,2,199,165.88480729759476,-21.546697208816735,tribus_villages_nc,2,Mouvement neo-independantiste et souverainiste | Union caledonienne,95.67,42.98
legislatives_2022,1,988,98804,Canala,CANALA,0003,Nanon,loyaliste,anti_independantiste,463,213,250,208,3,2,8,165.88480729759476,-21.546697208816735,tribus_villages_nc,4,Debout la France | Generations NC | Rassemblement - LR | Rassemblement national,3.85,1.73
legislatives_2022,1,988,98804,Canala,CANALA,0004,Méhoué,autre,neutre,803,299,504,294,1,4,9,165.9494172177474,-21.51958486452521,tribus_villages_nc,3,Construire autrement | Sans etiquette,3.06,1.12
legislatives_2022,1,988,98804,Canala,CANALA,0004,Méhoué,independantiste,independantiste,803,299,504,294,1,4,273,165.9494172177474,-21.51958486452521,tribus_villages_nc,2,Mouvement neo-independantiste et souverainiste | Union caledonienne,92.86,34
legislatives_2022,1,988,98804,Canala,CANALA,0004,Méhoué,loyaliste,anti_independantiste,803,299,504,294,1,4,12,165.9494172177474,-21.51958486452521,tribus_villages_nc,4,Debout la France | Generations NC | Rassemblement - LR | Rassemblement national,4.08,1.49
legislatives_2022,1,988,98804,Canala,CANALA,0005,Gélima,autre,neutre,741,328,413,328,0,0,4,165.98151543430086,-21.534392845846163,tribus_villages_nc,3,Construire autrement | Sans etiquette,1.22,0.54
legislatives_2022,1,988,98804,Canala,CANALA,0005,Gélima,independantiste,independantiste,741,328,413,328,0,0,312,165.98151543430086,-21.534392845846163,tribus_villages_nc,2,Mouvement neo-independantiste et souverainiste | Union caledonienne,95.12,42.11
legislatives_2022,1,988,98804,Canala,CANALA,0005,Gélima,loyaliste,anti_independantiste,741,328,413,328,0,0,12,165.98151543430086,-21.534392845846163,tribus_villages_nc,4,Debout la France | Generations NC | Rassemblement - LR | Rassemblement national,3.66,1.62
legislatives_2022,1,988,98804,Canala,CANALA,0006,Mérénémé,autre,neutre,315,123,192,119,1,3,2,165.92818615112122,-21.514857403632252,tribus_villages_nc,3,Construire autrement | Sans etiquette,1.68,0.63
legislatives_2022,1,988,98804,Canala,CANALA,0006,Mérénémé,independantiste,independantiste,315,123,192,119,1,3,115,165.92818615112122,-21.514857403632252,tribus_villages_nc,2,Mouvement neo-independantiste et souverainiste | Union caledonienne,96.64,36.51
legislatives_2022,1,988,98804,Canala,CANALA,0006,Mérénémé,loyaliste,anti_independantiste,315,123,192,119,1,3,2,165.92818615112122,-21.514857403632252,tribus_villages_nc,4,Debout la France | Generations NC | Rassemblement - LR | Rassemblement national,1.68,0.63
legislatives_2022,1,988,98804,Canala,CANALA,0007,Tenda Koumendi,autre,neutre,341,135,206,133,0,2,4,166.03563428874068,-21.545648677139223,tribus_villages_nc,3,Construire autrement | Sans etiquette,3.01,1.17
legislatives_2022,1,988,98804,Canala,CANALA,0007,Tenda Koumendi,independantiste,independantiste,341,135,206,133,0,2,124,166.03563428874068,-21.545648677139223,tribus_villages_nc,2,Mouvement neo-independantiste et souverainiste | Union caledonienne,93.23,36.36
legislatives_2022,1,988,98804,Canala,CANALA,0007,Tenda Koumendi,loyaliste,anti_independantiste,341,135,206,133,0,2,5,166.03563428874068,-21.545648677139223,tribus_villages_nc,4,Debout la France | Generations NC | Rassemblement - LR | Rassemblement national,3.76,1.47
legislatives_2022,1,988,98805,Dumbéa,DUMBEA,0001,Hôtel de Ville 1,autre,neutre,1120,495,625,482,12,1,22,166.457501065839,-22.1675460417822,etablissements_publics_nc,3,Construire autrement | Sans etiquette,4.56,1.96
legislatives_2022,1,988,98805,Dumbéa,DUMBEA,0001,Hôtel de Ville 1,independantiste,independantiste,1120,495,625,482,12,1,27,166.457501065839,-22.1675460417822,etablissements_publics_nc,2,Mouvement neo-independantiste et souverainiste | Union caledonienne,5.6,2.41
legislatives_2022,1,988,98805,Dumbéa,DUMBEA,0001,Hôtel de Ville 1,loyaliste,anti_independantiste,1120,495,625,482,12,1,433,166.457501065839,-22.1675460417822,etablissements_publics_nc,4,Debout la France | Generations NC | Rassemblement - LR | Rassemblement national,89.83,38.66
