election,tour,province_code,province,code_departement,code_commune,commune,commune_norm,code_bv,bureau_nom,inscrits,votants,abstentions,exprimes,blancs,nuls,type_resultat,option,numero_liste,nuance,voix,pct_exprimes,pct_inscrits,longitude,latitude,geo_source,iris_codgeo,iris_libgeo,option_norm,bloc,camp_institutionnel,parti,libelle,source,notes
legislatives_2022,1,,,988,98805,Dumbéa,DUMBEA,0026,,882,409,473,399,8,2,candidat,Joannes ITITIATY,,DIV,1,0.25,0.11,166.437530865088,-22.1944939226253,arrete_manual_etablissements,510,Dumbéa/mer Ouest,JOANNES ITITIATY,autre,neutre,SE,Sans etiquette,wikipedia_legislatives_2022,DIV
legislatives_2022,1,,,988,98806,Farino,FARINO,0001,Mairie,668,369,299,356,8,5,candidat,Alain DESCOMBELS,,RN,13,3.65,1.95,165.77595416144513,-21.666848976720875,tribus_villages_nc,601,Farino,ALAIN DESCOMBELS,loyaliste,anti_independantiste,RN,Rassemblement national,wikipedia_legislatives_2022,RN
legislatives_2022,1,,,988,98807,Hienghène,HIENGHENE,0002,Tendo,219,88,131,87,0,1,candidat,Michèle HOMBOE,,DVC,2,2.3,0.91,164.8162801367713,-20.71273259336387,tribus_villages_nc,704,Tiendanite Ouayaguette,MICHELE HOMBOE,autre,neutre,CA,Construire autrement,wikipedia_legislatives_2022,DVC
legislatives_2022,1,,,988,98807,Hienghène,HIENGHENE,0003,Bas-Coulna,115,47,68,46,1,0,candidat,Muneiko HAOCAS,,REG,5,10.87,4.35,164.78261362354763,-20.687835024386533,tribus_villages_nc,704,Tiendanite Ouayaguette,MUNEIKO HAOCAS,independantiste,independantiste,MNIS,Mouvement neo-independantiste et souverainiste,wikipedia_legislatives_2022,REG
legislatives_2022,1,,,988,98807,Hienghène,HIENGHENE,0004,Haut-Coulna,101,55,46,55,0,0,candidat,Manuel MILLAR,,DIV,0,0,0,164.7358564404401,-20.63480876362534,tribus_villages_nc,704,Tiendanite Ouayaguette,MANUEL MILLAR,autre,neutre,SE,Sans etiquette,wikipedia_legislatives_2022,DIV
legislatives_2022,1,,,988,98807,Hienghène,HIENGHENE,0005,Ouayaguette,190,88,102,86,1,1,candidat,Alain DESCOMBELS,,RN,0,0,0,164.6835205195477,-20.659220188803257,tribus_villages_nc,704,Tiendanite Ouayaguette,ALAIN DESCOMBELS,loyaliste,anti_independantiste,RN,Rassemblement national,wikipedia_legislatives_2022,RN
legislatives_2022,1,,,988,98807,Hienghène,HIENGHENE,0007,Oué-Hawa,72,25,47,24,0,1,candidat,Alain DESCOMBELS,,RN,0,0,0,165.03458545186362,-20.765966185987494,tribus_villages_nc,704,Tiendanite Ouayaguette,ALAIN DESCOMBELS,loyaliste,anti_independantiste,RN,Rassemblement national,wikipedia_legislatives_2022,RN
legislatives_2022,1,,,988,98808,Houailou,HOUAILOU,0002,Warai,661,153,508,144,9,0,candidat,Joannes ITITIATY,,DIV,0,0,0,165.76989808558005,-21.33124821435679,tribus_villages_nc,807,Boréaré - Coula - Karagreu,JOANNES ITITIATY,autre,neutre,SE,Sans etiquette,wikipedia_legislatives_2022,DIV
legislatives_2022,1,,,988,98808,Houailou,HOUAILOU,0003,Bâ,379,92,287,90,1,1,candidat,Manuel MILLAR,,DIV,0,0,0,165.55842620966266,-21.19827944865936,tribus_villages_nc,803,Warai,MANUEL MILLAR,autre,neutre,SE,Sans etiquette,wikipedia_legislatives_2022,DIV
legislatives_2022,1,,,988,98808,Houailou,HOUAILOU,0005,Poro,575,119,456,117,0,2,candidat,Nicolas METZDORF,,ENS,13,11.11,2.26,165.70953015747588,-21.30262511634177,tribus_villages_nc,801,Houailou village,NICOLAS METZDORF,loyaliste,anti_independantiste,GNC,Generations NC,wikipedia_legislatives_2022,GNC dans Union loyaliste - Ensemble
legislatives_2022,1,,,988,98808,Houailou,HOUAILOU,0005,Poro,575,119,456,117,0,2,candidat,Alain DESCOMBELS,,RN,1,0.85,0.17,165.70953015747588,-21.30262511634177,tribus_villages_nc,801,Houailou village,ALAIN DESCOMBELS,loyaliste,anti_independantiste,RN,Rassemblement national,wikipedia_legislatives_2022,RN
legislatives_2022,1,,,988,98809,Ile des Pins,ILEDESPINS,0002,Bâtiment communal Point Information,801,239,562,236,3,0,candidat,Antoine GIL,,DVD,0,0,0,167.495819,-22.66517,tidygeocoder_osm,901,Vao,ANTOINE GIL,loyaliste,anti_independantiste,MCF,Mouvement des citoyens francais,wikipedia_legislatives_2022,DVD
legislatives_2022,1,,,988,98809,Ile des Pins,ILEDESPINS,0002,Bâtiment communal Point Information,801,239,562,236,3,0,candidat,Guy-Olivier CUENOT,,RN,0,0,0,167.495819,-22.66517,tidygeocoder_osm,901,Vao,GUY OLIVIER CUENOT,loyaliste,anti_independantiste,RN,Rassemblement national,wikipedia_legislatives_2022,RN
legislatives_2022,1,,,988,98810,Kaala-Gomen,KAALAGOMEN,0001,Mairie,541,127,414,123,2,2,candidat,Véronique PAGAND,,DSV,0,0,0,164.397185345977,-20.6671314843025,etablissements_publics_nc,1001,Kaala Gomen village et littoral,VERONIQUE PAGAND,loyaliste,anti_independantiste,DLF,Debout la France,wikipedia_legislatives_2022,DSV
legislatives_2022,1,,,988,98810,Kaala-Gomen,KAALAGOMEN,0006,Ouaco,214,64,150,64,0,0,candidat,Véronique PAGAND,,DSV,0,0,0,164.471215971078,-20.8375035625753,etablissements_publics_nc,1001,Kaala Gomen village et littoral,VERONIQUE PAGAND,loyaliste,anti_independantiste,DLF,Debout la France,wikipedia_legislatives_2022,DSV
legislatives_2022,1,,,988,98810,Kaala-Gomen,KAALAGOMEN,0006,Ouaco,214,64,150,64,0,0,candidat,Alain DESCOMBELS,,RN,1,1.56,0.47,164.471215971078,-20.8375035625753,etablissements_publics_nc,1001,Kaala Gomen village et littoral,ALAIN DESCOMBELS,loyaliste,anti_independantiste,RN,Rassemblement national,wikipedia_legislatives_2022,RN
legislatives_2022,1,,,988,98811,Koné,KONE,0002,Poindah,169,64,105,59,3,2,candidat,Muneiko HAOCAS,,REG,2,3.39,1.18,164.964442641559,-21.0372102738018,etablissements_publics_nc,1107,Poindah - Noelly - Néami - Netchaot,MUNEIKO HAOCAS,independantiste,independantiste,MNIS,Mouvement neo-independantiste et souverainiste,wikipedia_legislatives_2022,REG
legislatives_2022,1,,,988,98811,Koné,KONE,0005,Atéou,129,55,74,55,0,0,candidat,Alain DESCOMBELS,,RN,0,0,0,164.90654574925,-20.9500343540188,etablissements_publics_nc,1107,Poindah - Noelly - Néami - Netchaot,ALAIN DESCOMBELS,loyaliste,anti_independantiste,RN,Rassemblement national,wikipedia_legislatives_2022,RN
legislatives_2022,1,,,988,98811,Koné,KONE,0009,École primaire Les Cigales,743,206,537,203,2,1,candidat,Alain DESCOMBELS,,RN,6,2.96,0.81,164.8701529762,-21.0521518022935,etablissements_publics_nc,1101,Koné village,ALAIN DESCOMBELS,loyaliste,anti_independantiste,RN,Rassemblement national,wikipedia_legislatives_2022,RN
