election,tour,code_departement,code_commune,commune,commune_norm,code_bv,inscrits,votants,abstentions,exprimes,blancs,nuls,numero_panneau,nuance,nom,prenom,sexe,candidat,candidature,voix,pct_inscrits,pct_exprimes,elu,bureau_nom,bureau_nom_norm,match_score,etablissement_nom,etablissement_adresse,etablissement_theme1,etablissement_theme2,etablissement_theme3,longitude,latitude,geo_source,iris_id,iris_codgeo,iris_libgeo
legislatives_2022,1,988,98802,Boulouparis,BOULOUPARI,0001,952,386,566,378,3,5,8,REG,REIGNIER,Gérard,M,Gérard REIGNIER,,57,5.99,15.08,,Mairie,MAIRIE,0.98,Mairie de Boulouparis,,ADMINISTRATION ET ORGANISME,Administrations des collectivités,Administration de la commune de Boulouparis,166.047711423762,-21.8654175541592,etablissements_publics_nc,88,201,Boulouparis village
legislatives_2022,1,988,98802,Boulouparis,BOULOUPARI,0004,751,333,418,320,13,0,2,DIV,MILLAR,Manuel,M,Manuel MILLAR,,2,0.27,0.62,,Centre culturel,CENTRE CULTUREL,0.833,Centre Socioculturel,,CULTUREL ET SOCIO EDUCATIF,Equipements socio-éducatifs et socio-culturels,Foyer socio culturel,166.049037015845,-21.8654352350015,etablissements_publics_nc,88,201,Boulouparis village
legislatives_2022,1,988,98802,Boulouparis,BOULOUPARI,0004,751,333,418,320,13,0,9,REG,HAOCAS,Muneiko,F,Muneiko HAOCAS,,4,0.53,1.25,,Centre culturel,CENTRE CULTUREL,0.833,Centre Socioculturel,,CULTUREL ET SOCIO EDUCATIF,Equipements socio-éducatifs et socio-culturels,Foyer socio culturel,166.049037015845,-21.8654352350015,etablissements_publics_nc,88,201,Boulouparis village
legislatives_2022,1,988,98803,Bourail,BOURAIL,0003,997,465,532,458,5,2,7,DSV,PAGAND,Véronique,F,Véronique PAGAND,,8,0.8,1.75,,Colisée,COLISEE,0.93,Le Colisée - Salle de spectacle,,CULTUREL ET SOCIO EDUCATIF,Equipements culturels,Salle de concert,165.49385205691,-21.5656940047007,etablissements_publics_nc,125,301,Bourail village
legislatives_2022,1,988,98803,Bourail,BOURAIL,0004,1076,468,608,455,8,5,4,RN,DESCOMBELS,Alain,M,Alain DESCOMBELS,,32,2.97,7.03,,École Les Lys d’Eau,ECOLE LYS D EAU,0.85,Ecole primaire Les Lys d'Eau,,ENSEIGNEMENT ET FORMATION,Enseignement du premier degré,Ecole primaire,165.49748641875,-21.5730483252455,etablissements_publics_nc,125,301,Bourail village
legislatives_2022,1,988,98803,Bourail,BOURAIL,0005,983,414,569,402,5,7,3,ENS,METZDORF,Nicolas,M,Nicolas METZDORF,,197,20.04,49,,École Louise Michel,ECOLE LOUISE MICHEL,0.859,Ecole primaire Louise Michel,,ENSEIGNEMENT ET FORMATION,Enseignement du premier degré,Ecole primaire,165.497379452405,-21.57045570157,etablissements_publics_nc,125,301,Bourail village
legislatives_2022,1,988,98803,Bourail,BOURAIL,0005,983,414,569,402,5,7,4,RN,DESCOMBELS,Alain,M,Alain DESCOMBELS,,13,1.32,3.23,,École Louise Michel,ECOLE LOUISE MICHEL,0.859,Ecole primaire Louise Michel,,ENSEIGNEMENT ET FORMATION,Enseignement du premier degré,Ecole primaire,165.497379452405,-21.57045570157,etablissements_publics_nc,125,301,Bourail village
legislatives_2022,1,988,98804,Canala,CANALA,0002,502,212,290,212,0,0,3,ENS,METZDORF,Nicolas,M,Nicolas METZDORF,,0,0,0,,Nakéty,NAKETY,1,Nakéty,Canala,LIEU_DIT_NC,TRIBU,Nèkètè,166.04631481753384,-21.54222544058342,tribus_villages_nc,137,403,Gélima - Nakéty
legislatives_2022,1,988,98804,Canala,CANALA,0004,803,299,504,294,1,4,5,LR,SANTA,Thierry,M,Thierry SANTA,,4,0.5,1.36,,Méhoué,MEHOUE,1,Méhoué,Canala,LIEU_DIT_NC,TRIBU,Mèèwéé,165.9494172177474,-21.51958486452521,tribus_villages_nc,136,401,Canala village
legislatives_2022,1,988,98804,Canala,CANALA,0007,341,135,206,133,0,2,2,DIV,MILLAR,Manuel,M,Manuel MILLAR,,0,0,0,,Tenda Koumendi,TENDA KOUMENDI,1,Tenda,Canala,LIEU_DIT_NC,TRIBU,Tèda Nèxinyi,166.03563428874068,-21.545648677139223,tribus_villages_nc,137,403,Gélima - Nakéty
