election,tour,province_code,province,code_departement,code_commune,commune,commune_norm,code_bv,inscrits,votants,abstentions,exprimes,blancs,nuls,numero_panneau,nuance,nom,prenom,sexe,candidat,candidature,voix,pct_inscrits,pct_exprimes,elu,bureau_nom,bureau_nom_norm,match_score,etablissement_nom,etablissement_adresse,etablissement_theme1,etablissement_theme2,etablissement_theme3,longitude,latitude,geo_source,iris_id,iris_codgeo,iris_libgeo
municipales_2020,1,,,988,98801,Belep,BELEP,0001,944,659,285,656,1,2,1,LNC,MOILOU,Jean-Baptiste,M,Jean-Baptiste MOILOU,DAU AR POUR TOUS,330,34.96,50.3,,Mairie,MAIRIE,0.7,Waala,Belep,LIEU_DIT_NC,VILLE,,163.6480110596638,-19.71203277091468,tribus_villages_nc,3,101,Bélep
municipales_2020,1,,,988,98801,Belep,BELEP,0001,944,659,285,656,1,2,2,LNC,WAHOULO,Albert,M,Albert WAHOULO,BELEP : IDENTITE ET DESTIN PARTAGE,326,34.53,49.7,,Mairie,MAIRIE,0.7,Waala,Belep,LIEU_DIT_NC,VILLE,,163.6480110596638,-19.71203277091468,tribus_villages_nc,3,101,Bélep
municipales_2020,1,,,988,98802,Boulouparis,BOULOUPARI,0001,1721,1241,480,1218,12,11,1,LNC,THEVEDIN,Roger,M,Roger THEVEDIN,FA MURU BEREPWARI,174,10.11,14.29,,Mairie,MAIRIE,0.98,Mairie de Boulouparis,,ADMINISTRATION ET ORGANISME,Administrations des collectivités,Administration de la commune de Boulouparis,166.047711423762,-21.8654175541592,etablissements_publics_nc,88,201,Boulouparis village
municipales_2020,1,,,988,98802,Boulouparis,BOULOUPARI,0001,1721,1241,480,1218,12,11,2,LNC,VITTORI,Pascal,M,Pascal VITTORI,BOULOUPARIS POUR VOUS,620,36.03,50.9,,Mairie,MAIRIE,0.98,Mairie de Boulouparis,,ADMINISTRATION ET ORGANISME,Administrations des collectivités,Administration de la commune de Boulouparis,166.047711423762,-21.8654175541592,etablissements_publics_nc,88,201,Boulouparis village
municipales_2020,1,,,988,98802,Boulouparis,BOULOUPARI,0001,1721,1241,480,1218,12,11,3,LNC,SIRET,Jérôme,M,Jérôme SIRET,ENSEMBLE DEVELOPPONS BOULOUPARIS,424,24.64,34.81,,Mairie,MAIRIE,0.98,Mairie de Boulouparis,,ADMINISTRATION ET ORGANISME,Administrations des collectivités,Administration de la commune de Boulouparis,166.047711423762,-21.8654175541592,etablissements_publics_nc,88,201,Boulouparis village
municipales_2020,1,,,988,98802,Boulouparis,BOULOUPARI,0002,1422,969,453,947,15,7,1,LNC,THEVEDIN,Roger,M,Roger THEVEDIN,FA MURU BEREPWARI,72,5.06,7.6,,Centre Culturel,CENTRE CULTUREL,0.833,Centre Socioculturel,,CULTUREL ET SOCIO EDUCATIF,Equipements socio-éducatifs et socio-culturels,Foyer socio culturel,166.049037015845,-21.8654352350015,etablissements_publics_nc,88,201,Boulouparis village
municipales_2020,1,,,988,98802,Boulouparis,BOULOUPARI,0002,1422,969,453,947,15,7,2,LNC,VITTORI,Pascal,M,Pascal VITTORI,BOULOUPARIS POUR VOUS,561,39.45,59.24,,Centre Culturel,CENTRE CULTUREL,0.833,Centre Socioculturel,,CULTUREL ET SOCIO EDUCATIF,Equipements socio-éducatifs et socio-culturels,Foyer socio culturel,166.049037015845,-21.8654352350015,etablissements_publics_nc,88,201,Boulouparis village
municipales_2020,1,,,988,98802,Boulouparis,BOULOUPARI,0002,1422,969,453,947,15,7,3,LNC,SIRET,Jérôme,M,Jérôme SIRET,ENSEMBLE DEVELOPPONS BOULOUPARIS,314,22.08,33.16,,Centre Culturel,CENTRE CULTUREL,0.833,Centre Socioculturel,,CULTUREL ET SOCIO EDUCATIF,Equipements socio-éducatifs et socio-culturels,Foyer socio culturel,166.049037015845,-21.8654352350015,etablissements_publics_nc,88,201,Boulouparis village
municipales_2020,1,,,988,98803,Bourail,BOURAIL,0001,710,433,277,416,11,6,1,LDIV,JEAN,Alima,F,Alima JEAN,ENSEMBLE POUR BOURAIL,31,4.37,7.45,,Mairie,MAIRIE,0.98,Mairie de Bourail,,ADMINISTRATION ET ORGANISME,Administrations des collectivités,Administration de la commune de Bourail,165.497503614793,-21.5680444203004,etablissements_publics_nc,125,301,Bourail village
municipales_2020,1,,,988,98803,Bourail,BOURAIL,0001,710,433,277,416,11,6,2,LDIV,ROBELIN,Patrick,M,Patrick ROBELIN,BOURAIL EN ACCORD,207,29.15,49.76,,Mairie,MAIRIE,0.98,Mairie de Bourail,,ADMINISTRATION ET ORGANISME,Administrations des collectivités,Administration de la commune de Bourail,165.497503614793,-21.5680444203004,etablissements_publics_nc,125,301,Bourail village
