election,tour,province,code_departement,code_commune,commune,commune_norm,code_bv,inscrits,votants,abstentions,exprimes,blancs,nuls,bureau_nom,bureau_nom_norm,match_score,etablissement_nom,etablissement_adresse,etablissement_theme1,etablissement_theme2,etablissement_theme3,longitude,latitude,geo_source,iris_id,iris_codgeo,iris_libgeo
referendum_2020,,Province des Iles,988,,Lifou,LIFOU,0029,579,537,42,534,0,3,Lieu de vote délocalisé n°3,LIEU DE VOTE DELOCALISE N 3,,,,,,,,,,,,
referendum_2020,,Province des Iles,988,98815,Maré,MARE,0002,521,277,244,274,0,3,Hnawayatche,HNAWAYATCHE,1,Hnawayatche,Maré,LIEU_DIT_NC,TRIBU,Hnawayaca,167.85931527784155,-21.444202132872793,tribus_villages_nc,17,1501,Guahma
referendum_2020,,Province des Iles,988,98815,Maré,MARE,0003,290,186,104,186,0,0,Tenane,TENANE,1,Tenan,Maré,LIEU_DIT_NC,TRIBU,,167.89430877263374,-21.40460074703544,tribus_villages_nc,17,1501,Guahma
referendum_2020,,Province des Iles,988,98815,Maré,MARE,0005,353,238,115,234,2,2,Tawainedre,TAWAINEDRE,1,Taweinedr,Maré,LIEU_DIT_NC,TRIBU,,168.08527860190287,-21.502551487309265,tribus_villages_nc,19,1503,Tadine Pénélo
referendum_2020,,Province des Iles,988,98815,Maré,MARE,0006,567,402,165,400,0,2,Penelo,PENELO,1,Penelo,Maré,LIEU_DIT_NC,TRIBU,,168.08945780342214,-21.571088655754444,tribus_villages_nc,19,1503,Tadine Pénélo
referendum_2020,,Province des Iles,988,98815,Maré,MARE,0007,488,333,155,333,0,0,Wabao,WABAO,1,Wabao,Maré,LIEU_DIT_NC,TRIBU,Wabawo,167.93937201549338,-21.60210597985789,tribus_villages_nc,19,1503,Tadine Pénélo
referendum_2020,,Province des Iles,988,98815,Maré,MARE,0009,217,131,86,128,0,3,Ménaku,MENAKU,1,Menaku,Maré,LIEU_DIT_NC,TRIBU,,167.96911686605617,-21.444234250592025,tribus_villages_nc,17,1501,Guahma
referendum_2020,,Province des Iles,988,98815,Maré,MARE,0011,234,140,94,139,0,1,Roh,ROH,0.95,Ro,Maré,LIEU_DIT_NC,TRIBU,,167.86202487687797,-21.39242632802858,tribus_villages_nc,17,1501,Guahma
referendum_2020,,Province Sud,988,98816,Moindou,MOINDOU,0001,789,734,55,718,7,9,Mairie,MAIRIE,0.7,MOINDOU,Moindou,LIEU_DIT_NC,VILLE,Mére Mwêro,165.67695619871748,-21.69271000327087,tribus_villages_nc,20,1601,Moindou
referendum_2020,,Province Sud,988,98817,Mont-Dore,MONTDORE,0002,489,420,69,414,2,4,Groupe scolaire Hélène CHANIEL,GROUPE SCOLAIRE HELENE CHANIEL,1,Groupe scolaire Hélène Chaniel,105 RUE HELENE CHANIEL,ENSEIGNEMENT ET FORMATION,Enseignement du premier degré,Groupe scolaire,166.485528594387,-22.2217711398288,etablissements_publics_nc,23,1703,Pont des Fran‡ais
referendum_2020,,Province Sud,988,98817,Mont-Dore,MONTDORE,0005,1069,905,164,895,6,4,École La Rizière 1,ECOLE RIZIERE,0.734,Ecole primaire La Rizière,89 RUE DU VIEUX PONT,ENSEIGNEMENT ET FORMATION,Enseignement du premier degré,Ecole élémentaire,166.573975497183,-22.2332233282141,etablissements_publics_nc,30,1710,La Coulée Nord
referendum_2020,,Province Sud,988,98817,Mont-Dore,MONTDORE,0008,821,727,94,713,10,4,Groupe scolaire de Boulari 1,GROUPE SCOLAIRE BOULARI,1,Groupe scolaire de Boulari,154 RUE ANTOINE GRISCELLI,ENSEIGNEMENT ET FORMATION,Enseignement du premier degré,Groupe scolaire,166.520855451452,-22.2274992832452,etablissements_publics_nc,27,1707,Boulari
referendum_2020,,Province Sud,988,98817,Mont-Dore,MONTDORE,0018,812,697,115,694,3,0,Groupe scolaire de Boulari 3,GROUPE SCOLAIRE BOULARI,1,Groupe scolaire de Boulari,154 RUE ANTOINE GRISCELLI,ENSEIGNEMENT ET FORMATION,Enseignement du premier degré,Groupe scolaire,166.520855451452,-22.2274992832452,etablissements_publics_nc,27,1707,Boulari
referendum_2020,,Province Sud,988,98817,Mont-Dore,MONTDORE,0019,605,522,83,501,10,11,Groupe scolaire de Saint-Michel 2,GROUPE SCOLAIRE SAINT MICHEL,0.824,Groupe scolaire de Saint-Joseph de Cluny,367 RUE CHARLES FRANCOIS BEAUTEMPS BEAUPRE,ENSEIGNEMENT ET FORMATION,Enseignement du premier degré,Groupe scolaire,166.499920849353,-22.2240498676639,etablissements_publics_nc,24,1704,La Conception
referendum_2020,,Province Sud,988,98817,Mont-Dore,MONTDORE,0021,622,515,107,498,11,6,École La Rizière 3,ECOLE RIZIERE,0.734,Ecole primaire La Rizière,89 RUE DU VIEUX PONT,ENSEIGNEMENT ET FORMATION,Enseignement du premier degré,Ecole élémentaire,166.573975497183,-22.2332233282141,etablissements_publics_nc,30,1710,La Coulée Nord
