commune_norm,election,tour,province_code,province,type_resultat,option,nuance,commune,voix,exprimes,inscrits,pct_exprimes,pct_inscrits,rang
VOH,legislatives_2024,1,,,candidat,Luther VOUDJO,REG,Voh,29,1714,2478,1.69,1.17,5
VOH,legislatives_2024,2,,,candidat,Emmanuel TJIBAOU,REG,Voh,1507,1946,2478,77.44,60.82,1
VOH,legislatives_2024,2,,,candidat,Alcide PONGA,DVD,Voh,439,1946,2478,22.56,17.72,2
VOH,municipales_2020,1,,,liste,BOATATE KOLEKOLE,LNC,Voh,756,1555,2417,48.62,31.28,1
VOH,municipales_2020,1,,,liste,ENSEMBLE VOOK,LNC,Voh,408,1555,2417,26.24,16.88,2
VOH,municipales_2020,1,,,liste,"AVEC VOUS POUR LE RENOU""VOH""",LNC,Voh,251,1555,2417,16.14,10.38,3
VOH,municipales_2020,1,,,liste,POUR UNE COMMUNE PLUS CITOYENNE,LNC,Voh,140,1555,2417,9,5.79,4
VOH,municipales_2026,1,,,liste,Joel BOATATE KOLEKOLE UNION NATIONALE POUR L'INDEPENDANCE,,Voh,641,1554,2494,41.25,25.7,1
VOH,municipales_2026,1,,,liste,David POITHILY UC ET NATIONALISTES,,Voh,412,1554,2494,26.51,16.52,2
VOH,municipales_2026,1,,,liste,Emmanuel LOUISY-GABRIEL RENOUVOH,,Voh,354,1554,2494,22.78,14.19,3
VOH,municipales_2026,1,,,liste,Thierry POUYA SOUVERAINETE CALEDONIENNE,,Voh,147,1554,2494,9.46,5.89,4
VOH,municipales_2026,2,,,liste,Joel BOATATE KOLEKOLEUNION NATIONALE POUR L'INDEPENDANCE,,Voh,696,1698,2494,40.99,27.91,1
VOH,municipales_2026,2,,,liste,David POITHILYUC ET NATIONALISTES,,Voh,606,1698,2494,35.69,24.3,2
VOH,municipales_2026,2,,,liste,Emmanuel LOUISY-GABRIELRENOUVOH,,Voh,396,1698,2494,23.32,15.88,3
VOH,provinciales_2019,,PN,Province Nord,liste,PN_liste_01,,Voh,789,1535,2270,51.4,34.76,1
VOH,provinciales_2019,,PN,Province Nord,liste,PN_liste_06,,Voh,286,1535,2270,18.63,12.6,2
VOH,provinciales_2019,,PN,Province Nord,liste,PN_liste_02,,Voh,203,1535,2270,13.22,8.94,3
VOH,provinciales_2019,,PN,Province Nord,liste,PN_liste_03,,Voh,141,1535,2270,9.19,6.21,4
VOH,provinciales_2019,,PN,Province Nord,liste,PN_liste_04,,Voh,62,1535,2270,4.04,2.73,5
VOH,referendum_2018,,,,choix,oui,,VOH,1357,1978,2312,68.6,58.69,1
VOH,referendum_2018,,,,choix,non,,VOH,621,1978,2312,31.4,26.86,2
VOH,referendum_2020,,,Province Nord,choix,oui,,Voh,1481,2069,2355,71.58,62.89,1
VOH,referendum_2020,,,Province Nord,choix,non,,Voh,588,2069,2355,28.42,24.97,2
VOH,referendum_2021,,,Province Nord,choix,non,,Voh,505,532,2362,94.92,21.38,1
VOH,referendum_2021,,,Province Nord,choix,oui,,Voh,27,532,2362,5.08,1.14,2
YATE,legislatives_2022,1,,,candidat,Gérard REIGNIER,REG,Yaté,524,621,1802,84.38,29.08,1
YATE,legislatives_2022,1,,,candidat,Muneiko HAOCAS,REG,Yaté,44,621,1802,7.09,2.44,2
YATE,legislatives_2022,1,,,candidat,Nicolas METZDORF,ENS,Yaté,20,621,1802,3.22,1.11,3
YATE,legislatives_2022,1,,,candidat,Thierry SANTA,LR,Yaté,20,621,1802,3.22,1.11,4
YATE,legislatives_2022,1,,,candidat,Michèle HOMBOE,DVC,Yaté,5,621,1802,0.81,0.28,5
YATE,legislatives_2022,2,,,candidat,Gérard REIGNIER,REG,Yaté,920,967,1797,95.14,51.2,1
YATE,legislatives_2022,2,,,candidat,Nicolas METZDORF,ENS,Yaté,47,967,1797,4.86,2.62,2
YATE,legislatives_2024,1,,,candidat,Emmanuel TJIBAOU,REG,Yaté,955,1074,1833,88.92,52.1,1
YATE,legislatives_2024,1,,,candidat,Milakulo TUKUMULI,DVG,Yaté,56,1074,1833,5.21,3.06,2
