election,tour,province,code_departement,code_commune,commune,commune_norm,code_bv,inscrits,votants,abstentions,exprimes,blancs,nuls,bureau_nom,bureau_nom_norm,match_score,etablissement_nom,etablissement_adresse,etablissement_theme1,etablissement_theme2,etablissement_theme3,longitude,latitude,geo_source,iris_id,iris_codgeo,iris_libgeo,choix,voix,pct_exprimes,pct_inscrits
referendum_2018,,,988,,BELEP,BELEP,0002,130,118,12,116,0,2,Lieu de vote délocalisé de Bélep à Nouméa,LIEU DE VOTE DELOCALISE DE BELEP A NOUMEA,,,,,,,,,,,,,oui,109,93.97,83.85
referendum_2018,,,988,98805,DUMBEA,DUMBEA,0003,640,502,138,494,4,4,Hôtel de ville 3,MAIRIE,0.93,Mairie du Nord de Dumbéa,777 ROUTE TERRITORIALE N°1,ADMINISTRATION ET ORGANISME,Administrations des collectivités,Administration de la commune de Dumbéa,166.457501065839,-22.1675460417822,etablissements_publics_nc,149,512,Plaine de Koé,oui,155,31.38,24.22
referendum_2018,,,988,98805,DUMBEA,DUMBEA,0010,1094,897,197,883,6,8,Centre culturel de Dumbéa 3,CENTRE CULTUREL DUMBEA,1,Centre culturel de Dumbéa,56 AVENUE D'AUTEUIL,CULTUREL ET SOCIO EDUCATIF,Equipements culturels,Centre culturel maison culturelle et centre d'art,166.474126141924,-22.2081759337081,etablissements_publics_nc,140,503,Koutio Secal,oui,214,24.24,19.56
referendum_2018,,,988,98805,DUMBEA,DUMBEA,0011,273,249,24,246,1,2,Ecole primaire Gustave Clain 1,ECOLE PRIMAIRE GUSTAVE CLAIN,0.897,Ecole élémentaire Gustave Clain,49 RUE JACQUES MONOD,ENSEIGNEMENT ET FORMATION,Enseignement du premier degré,Ecole élémentaire,166.460870510376,-22.2089353285944,etablissements_publics_nc,141,504,Koutio érudits,oui,6,2.44,2.2
referendum_2018,,,988,98807,HIENGHENE,HIENGHENE,0008,94,87,7,87,0,0,Tiendanite,TIENDANITE,1,Tiendanite,Hienghène,LIEU_DIT_NC,TRIBU,Tândanit,164.8988687236624,-20.75818441571426,tribus_villages_nc,156,704,Tiendanite Ouayaguette,oui,87,100,92.55
referendum_2018,,,988,98811,KONE,KONE,0009,640,560,80,550,5,5,École primaire Les Cigales,ECOLE PRIMAIRE CIGALES,0.88,Ecole publique Les Cigales,12 RUE DES ABEILLES,ENSEIGNEMENT ET FORMATION,Enseignement du premier degré,Ecole primaire,164.8701529762,-21.0521518022935,etablissements_publics_nc,4,1101,Koné village,oui,313,56.91,48.91
referendum_2018,,,988,98811,KONE,KONE,0011,495,421,74,410,5,6,École Téari,ECOLE TEARI,0.636,Déchetterie,5135 AVENUE DU LAPITA,TRANSPORT ET DECHET,Gestion des déchets,Installation de stockage des déchets,164.82630681362,-21.0553442775238,etablissements_publics_nc,4,1101,Koné village,oui,173,42.2,34.95
referendum_2018,,,988,98814,LIFOU,LIFOU,0004,312,189,123,184,3,2,Jozip,JOZIP,1,Jozip,Lifou,LIEU_DIT_NC,TRIBU,,167.34721888788647,-20.940435542649407,tribus_villages_nc,15,1402,Lössi,oui,139,75.54,44.55
referendum_2018,,,988,98809,ILE DES PINS,ILEDESPINS,0001,906,724,182,706,7,11,Mairie 1,MAIRIE,,,,,,,167.495819,-22.66517,tidygeocoder_osm,161,901,Vao,oui,447,63.31,49.34
referendum_2018,,,988,98815,MARE,MARE,0005,393,209,184,206,0,3,Tawainedre,TAWAINEDRE,1,Taweinedr,Maré,LIEU_DIT_NC,TRIBU,,168.08527860190287,-21.502551487309265,tribus_villages_nc,19,1503,Tadine Pénélo,oui,163,79.13,41.48
referendum_2018,,,988,98815,MARE,MARE,0009,216,91,125,89,0,2,Ménaku,MENAKU,1,Menaku,Maré,LIEU_DIT_NC,TRIBU,,167.96911686605617,-21.444234250592025,tribus_villages_nc,17,1501,Guahma,oui,64,71.91,29.63
referendum_2018,,,988,98817,MONT-DORE,MONTDORE,0012,651,538,113,516,0,22,Groupe scolaire Saint-Michel 1,GROUPE SCOLAIRE SAINT MICHEL,0.824,Groupe scolaire de Saint-Joseph de Cluny,367 RUE CHARLES FRANCOIS BEAUTEMPS BEAUPRE,ENSEIGNEMENT ET FORMATION,Enseignement du premier degré,Groupe scolaire,166.499920849353,-22.2240498676639,etablissements_publics_nc,24,1704,La Conception,oui,155,30.04,23.81
referendum_2018,,,988,98817,MONT-DORE,MONTDORE,0020,521,431,90,427,2,2,Groupe scolaire de Plum,GROUPE SCOLAIRE PLUM,0.86,Groupe scolaire de Yahoué,264 RUE DES OPUI,ENSEIGNEMENT ET FORMATION,Enseignement du premier degré,Groupe scolaire,166.489906860567,-22.2084828348965,etablissements_publics_nc,22,1702,Yahoué Sud,oui,84,19.67,16.12
referendum_2018,,,988,98817,MONT-DORE,MONTDORE,0024,527,424,103,420,3,1,Mairie 2,MAIRIE,0.98,Mairie du Mont-Dore,4468 AVENUE DES DEUX BAIES,ADMINISTRATION ET ORGANISME,Administrations des collectivités,Administration de la commune de Mont-Dore,166.523259425452,-22.2297495527098,etablissements_publics_nc,27,1707,Boulari,oui,63,15,11.95
referendum_2018,,,988,98818,NOUMEA,NOUMEA,0012,757,654,103,644,6,4,École Ernest RISBEC 1,ECOLE ERNEST RISBEC,0.859,Ecole Ernest RISBEC,19 RUE DU COMMANDANT RIVIERE,ENSEIGNEMENT ET FORMATION,Enseignement du premier degré,Ecole primaire,166.451704940929,-22.2838445188063,etablissements_publics_nc,44,1808,Trianon,oui,52,8.07,6.87
referendum_2018,,,988,98818,NOUMEA,NOUMEA,0015,732,634,98,622,6,6,École les CAPUCINES,ECOLE CAPUCINES,0.8,Ecole LES CAPUCINES,41 RUE TARAGNAT,ENSEIGNEMENT ET FORMATION,Enseignement du premier degré,Groupe scolaire,166.457228804171,-22.2753677119578,etablissements_publics_nc,49,1813,Vallée des Colons Sud Ouest,oui,49,7.88,6.69
referendum_2018,,,988,98818,NOUMEA,NOUMEA,0020,778,691,87,683,5,3,École Antoinette CHARBONNEAUX,ECOLE ANTOINETTE CHARBONNEAUX,0.879,Ecole Antoinette CHARBONNEAUX,1 RUE ANDRE ROLLY,ENSEIGNEMENT ET FORMATION,Enseignement du premier degré,Ecole élémentaire,166.46666463723,-22.273716213111,etablissements_publics_nc,52,1816,Magenta Tours,oui,24,3.51,3.08
referendum_2018,,,988,98818,NOUMEA,NOUMEA,0027,975,708,267,696,6,6,École Céline TEYSSANDIER de LAUBAREDE,ECOLE CELINE TEYSSANDIER LAUBAREDE,0.933,Ecole primaire Céline TEYSSANDIER DE LAUBAREDE,29 ROUTE DES DEUX VALLEES - RUE JACQUES BARRAU,ENSEIGNEMENT ET FORMATION,Enseignement du premier degré,Ecole primaire,166.445705500987,-22.2640017751327,etablissements_publics_nc,60,1824,Vallée du Tir,oui,269,38.65,27.59
referendum_2018,,,988,98818,NOUMEA,NOUMEA,0028,1183,759,424,744,11,4,École Gustave MOUCHET 1,ECOLE GUSTAVE MOUCHET,0.874,Ecole Gustave MOUCHET,8 RUE DES FRERES CHARPENTIER,ENSEIGNEMENT ET FORMATION,Enseignement du premier degré,Ecole primaire,166.454414703061,-22.2504501881193,etablissements_publics_nc,64,1828,Portes de Fer - Nord,oui,458,61.56,38.72
referendum_2018,,,988,98818,NOUMEA,NOUMEA,0034,948,765,183,745,13,7,École les ROSES,ECOLE ROSES,0.633,Ecole FILANTE,8 RUE MARCELLIN LACABANNE,ENSEIGNEMENT ET FORMATION,Enseignement du premier degré,Autre structure scolaire,166.443135087106,-22.2929071476207,etablissements_publics_nc,42,1806,Motor Pool - Receiving,oui,188,25.23,19.83
referendum_2018,,,988,98818,NOUMEA,NOUMEA,0036,886,735,151,709,14,12,École Jacques TROUILLOT,ECOLE JACQUES TROUILLOT,0.886,Ecole Jacques TROUILLOT,15 RUE NOELAT,ENSEIGNEMENT ET FORMATION,Enseignement du premier degré,Ecole primaire,166.471000599479,-22.2283599819501,etablissements_publics_nc,74,1838,Riviére Salée Nord Est,oui,206,29.06,23.25
referendum_2018,,,988,98820,OUVEA,OUVEA,0005,718,346,372,340,3,3,Wénéki,WENEKI,1,Weneki,Ouvéa,LIEU_DIT_NC,TRIBU,,166.61213110267843,-20.44626073917101,tribus_villages_nc,85,2001,Saint Joseph Gossanah Takedji,oui,303,89.12,42.2
referendum_2018,,,988,98821,PAITA,PAITA,0007,739,621,118,604,5,12,École Vi Vete,ECOLE VI VETE,0.669,Ecole maternelle Vi-Vete,,ENSEIGNEMENT ET FORMATION,Enseignement du premier degré,Ecole pré-élémentaire,166.356291724406,-22.134484419519,etablissements_publics_nc,91,2101,Paita centre,oui,112,18.54,15.16
referendum_2018,,,988,98822,POINDIMIE,POINDIMIE,0001,1112,938,174,924,7,7,Mairie,MAIRIE,0.7,POINDIMIE,Poindimié,LIEU_DIT_NC,VILLE,Pwêêdi Wiimiâ,165.33315827223544,-20.938215187057807,tribus_villages_nc,102,2201,Poindimié village,oui,509,55.09,45.77
referendum_2018,,,988,98822,POINDIMIE,POINDIMIE,0004,481,428,53,422,2,4,Amoa,AMOA,0.667,Paama,Poindimié,LIEU_DIT_NC,TRIBU,Na ara pô,165.39810099674145,-20.94109090560688,tribus_villages_nc,104,2204,Tibarama - Bayes - Ouindo - Ometteux - Napoém,oui,359,85.07,74.64
referendum_2018,,,988,98823,PONERIHOUEN,PONERIHOUEN,0002,446,384,62,378,4,2,Monéo,MONEO,1,Monéo,Ponérihouen,LIEU_DIT_NC,TRIBU,Kwéaa,165.47846310724432,-21.150451617013218,tribus_villages_nc,106,2302,Ponérihouen village,oui,314,83.07,70.4
