election,tour,province,code_departement,code_commune,commune,commune_norm,code_bv,inscrits,votants,abstentions,exprimes,blancs,nuls,bureau_nom,bureau_nom_norm,match_score,etablissement_nom,etablissement_adresse,etablissement_theme1,etablissement_theme2,etablissement_theme3,longitude,latitude,geo_source,iris_id,iris_codgeo,iris_libgeo
referendum_2018,,,988,,BELEP,BELEP,0002,130,118,12,116,0,2,Lieu de vote délocalisé de Bélep à Nouméa,LIEU DE VOTE DELOCALISE DE BELEP A NOUMEA,,,,,,,,,,,,
referendum_2018,,,988,98805,DUMBEA,DUMBEA,0003,640,502,138,494,4,4,Hôtel de ville 3,MAIRIE,0.93,Mairie du Nord de Dumbéa,777 ROUTE TERRITORIALE N°1,ADMINISTRATION ET ORGANISME,Administrations des collectivités,Administration de la commune de Dumbéa,166.457501065839,-22.1675460417822,etablissements_publics_nc,149,512,Plaine de Koé
referendum_2018,,,988,98805,DUMBEA,DUMBEA,0010,1094,897,197,883,6,8,Centre culturel de Dumbéa 3,CENTRE CULTUREL DUMBEA,1,Centre culturel de Dumbéa,56 AVENUE D'AUTEUIL,CULTUREL ET SOCIO EDUCATIF,Equipements culturels,Centre culturel maison culturelle et centre d'art,166.474126141924,-22.2081759337081,etablissements_publics_nc,140,503,Koutio Secal
referendum_2018,,,988,98805,DUMBEA,DUMBEA,0011,273,249,24,246,1,2,Ecole primaire Gustave Clain 1,ECOLE PRIMAIRE GUSTAVE CLAIN,0.897,Ecole élémentaire Gustave Clain,49 RUE JACQUES MONOD,ENSEIGNEMENT ET FORMATION,Enseignement du premier degré,Ecole élémentaire,166.460870510376,-22.2089353285944,etablissements_publics_nc,141,504,Koutio érudits
referendum_2018,,,988,98807,HIENGHENE,HIENGHENE,0008,94,87,7,87,0,0,Tiendanite,TIENDANITE,1,Tiendanite,Hienghène,LIEU_DIT_NC,TRIBU,Tândanit,164.8988687236624,-20.75818441571426,tribus_villages_nc,156,704,Tiendanite Ouayaguette
referendum_2018,,,988,98811,KONE,KONE,0009,640,560,80,550,5,5,École primaire Les Cigales,ECOLE PRIMAIRE CIGALES,0.88,Ecole publique Les Cigales,12 RUE DES ABEILLES,ENSEIGNEMENT ET FORMATION,Enseignement du premier degré,Ecole primaire,164.8701529762,-21.0521518022935,etablissements_publics_nc,4,1101,Koné village
referendum_2018,,,988,98811,KONE,KONE,0011,495,421,74,410,5,6,École Téari,ECOLE TEARI,0.636,Déchetterie,5135 AVENUE DU LAPITA,TRANSPORT ET DECHET,Gestion des déchets,Installation de stockage des déchets,164.82630681362,-21.0553442775238,etablissements_publics_nc,4,1101,Koné village
referendum_2018,,,988,98814,LIFOU,LIFOU,0004,312,189,123,184,3,2,Jozip,JOZIP,1,Jozip,Lifou,LIEU_DIT_NC,TRIBU,,167.34721888788647,-20.940435542649407,tribus_villages_nc,15,1402,Lössi
referendum_2018,,,988,98809,ILE DES PINS,ILEDESPINS,0001,906,724,182,706,7,11,Mairie 1,MAIRIE,,,,,,,167.495819,-22.66517,tidygeocoder_osm,161,901,Vao
referendum_2018,,,988,98815,MARE,MARE,0005,393,209,184,206,0,3,Tawainedre,TAWAINEDRE,1,Taweinedr,Maré,LIEU_DIT_NC,TRIBU,,168.08527860190287,-21.502551487309265,tribus_villages_nc,19,1503,Tadine Pénélo
referendum_2018,,,988,98815,MARE,MARE,0009,216,91,125,89,0,2,Ménaku,MENAKU,1,Menaku,Maré,LIEU_DIT_NC,TRIBU,,167.96911686605617,-21.444234250592025,tribus_villages_nc,17,1501,Guahma
