election,tour,province_code,province,code_departement,code_commune,commune,commune_norm,code_bv,inscrits,votants,abstentions,exprimes,blancs,nuls,bureau_nom,bureau_nom_norm,match_score,etablissement_nom,etablissement_adresse,etablissement_theme1,etablissement_theme2,etablissement_theme3,longitude,latitude,geo_source,iris_id,iris_codgeo,iris_libgeo
municipales_2020,1,,,988,98801,Belep,BELEP,0001,944,659,285,656,1,2,Mairie,MAIRIE,0.7,Waala,Belep,LIEU_DIT_NC,VILLE,,163.6480110596638,-19.71203277091468,tribus_villages_nc,3,101,Bélep
municipales_2020,1,,,988,98802,Boulouparis,BOULOUPARI,0001,1721,1241,480,1218,12,11,Mairie,MAIRIE,0.98,Mairie de Boulouparis,,ADMINISTRATION ET ORGANISME,Administrations des collectivités,Administration de la commune de Boulouparis,166.047711423762,-21.8654175541592,etablissements_publics_nc,88,201,Boulouparis village
municipales_2020,1,,,988,98802,Boulouparis,BOULOUPARI,0002,1422,969,453,947,15,7,Centre Culturel,CENTRE CULTUREL,0.833,Centre Socioculturel,,CULTUREL ET SOCIO EDUCATIF,Equipements socio-éducatifs et socio-culturels,Foyer socio culturel,166.049037015845,-21.8654352350015,etablissements_publics_nc,88,201,Boulouparis village
municipales_2020,1,,,988,98803,Bourail,BOURAIL,0001,710,433,277,416,11,6,Mairie,MAIRIE,0.98,Mairie de Bourail,,ADMINISTRATION ET ORGANISME,Administrations des collectivités,Administration de la commune de Bourail,165.497503614793,-21.5680444203004,etablissements_publics_nc,125,301,Bourail village
municipales_2020,1,,,988,98803,Bourail,BOURAIL,0002,838,388,450,377,8,3,Pothé,POTHE,0.93,Ecole de Pothé,,ENSEIGNEMENT ET FORMATION,Enseignement du premier degré,Ecole pré-élémentaire,165.491900847299,-21.4547330481005,etablissements_publics_nc,128,305,Ny
municipales_2020,1,,,988,98803,Bourail,BOURAIL,0003,968,627,341,606,12,9,Colisée,COLISEE,0.93,Le Colisée - Salle de spectacle,,CULTUREL ET SOCIO EDUCATIF,Equipements culturels,Salle de concert,165.49385205691,-21.5656940047007,etablissements_publics_nc,125,301,Bourail village
municipales_2020,1,,,988,98803,Bourail,BOURAIL,0004,1034,626,408,598,16,12,École Les Lys d’Eau,ECOLE LYS D EAU,0.85,Ecole primaire Les Lys d'Eau,,ENSEIGNEMENT ET FORMATION,Enseignement du premier degré,Ecole primaire,165.49748641875,-21.5730483252455,etablissements_publics_nc,125,301,Bourail village
municipales_2020,1,,,988,98803,Bourail,BOURAIL,0005,951,567,384,546,16,5,École Louise Michel,ECOLE LOUISE MICHEL,0.859,Ecole primaire Louise Michel,,ENSEIGNEMENT ET FORMATION,Enseignement du premier degré,Ecole primaire,165.497379452405,-21.57045570157,etablissements_publics_nc,125,301,Bourail village
municipales_2020,1,,,988,98804,Canala,CANALA,0001,387,265,122,263,1,1,Mairie,MAIRIE,0.7,CANALA,Canala,LIEU_DIT_NC,VILLE,Xârâcùù,165.96392757417755,-21.522084905801098,tribus_villages_nc,136,401,Canala village
municipales_2020,1,,,988,98804,Canala,CANALA,0002,819,515,304,508,4,3,Nakéty,NAKETY,1,Nakéty,Canala,LIEU_DIT_NC,TRIBU,Nèkètè,166.04631481753384,-21.54222544058342,tribus_villages_nc,137,403,Gélima - Nakéty
municipales_2020,1,,,988,98804,Canala,CANALA,0003,461,318,143,308,4,6,Nanon,NANON,0.95,Nanon-Kénérou,Canala,LIEU_DIT_NC,TRIBU,Nèno - Kénéru,165.88480729759476,-21.546697208816735,tribus_villages_nc,136,401,Canala village
municipales_2020,1,,,988,98804,Canala,CANALA,0004,808,567,241,561,2,4,Méhoué,MEHOUE,1,Méhoué,Canala,LIEU_DIT_NC,TRIBU,Mèèwéé,165.9494172177474,-21.51958486452521,tribus_villages_nc,136,401,Canala village
municipales_2020,1,,,988,98804,Canala,CANALA,0005,729,489,240,487,1,1,Gélima,GELIMA,1,Gélima,Canala,LIEU_DIT_NC,TRIBU,Jari Mwâ,165.98151543430086,-21.534392845846163,tribus_villages_nc,137,403,Gélima - Nakéty
