election,tour,province_code,province,commune_norm,commune,nb_bureaux,nb_bureaux_geolocalises,inscrits,votants,abstentions,exprimes,blancs,nuls,pct_participation,pct_abstention,pct_exprimes_votants
legislatives_2022,1,,,PONERIHOUEN,Ponérihouen,7,7,2689,1148,1541,1133,6,9,42.69,57.31,98.69
legislatives_2022,2,,,PONERIHOUEN,Ponérihouen,7,7,2689,1649,1040,1634,7,8,61.32,38.68,99.09
legislatives_2024,1,,,PONERIHOUEN,Ponérihouen,7,7,2720,1071,1649,1053,6,12,39.38,60.62,98.32
legislatives_2024,2,,,PONERIHOUEN,Ponérihouen,7,7,2721,1814,907,1798,7,9,66.67,33.33,99.12
municipales_2020,1,,,PONERIHOUEN,Ponérihouen,7,7,2675,1858,817,1810,17,31,69.46,30.54,97.42
municipales_2026,1,,,PONERIHOUEN,Ponérihouen,7,7,2695,1751,944,1714,27,10,64.97,35.03,97.89
municipales_2026,2,,,PONERIHOUEN,Ponérihouen,7,7,2695,2013,682,1982,21,10,74.69,25.31,98.46
provinciales_2019,,PN,Province Nord,PONERIHOUEN,Ponérihouen,7,7,2605,1742,863,1718,15,9,66.87,33.13,98.62
referendum_2018,,,,PONERIHOUEN,PONERIHOUEN,7,7,2596,2238,358,2204,14,20,86.21,13.79,98.48
referendum_2020,,,Province Nord,PONERIHOUEN,Ponérihouen,7,7,2671,2371,300,2347,10,14,88.77,11.23,98.99
referendum_2021,,,Province Nord,PONERIHOUEN,Ponérihouen,7,7,2675,161,2514,153,3,5,6.02,93.98,95.03
legislatives_2022,1,,,POUEBO,Pouébo,5,5,2405,585,1820,582,1,2,24.32,75.68,99.49
legislatives_2022,2,,,POUEBO,Pouébo,5,5,2405,1074,1331,1071,1,2,44.66,55.34,99.72
legislatives_2024,1,,,POUEBO,Pouébo,5,5,2427,1520,907,1504,4,12,62.63,37.37,98.95
legislatives_2024,2,,,POUEBO,Pouébo,5,5,2427,1814,613,1805,4,5,74.74,25.26,99.5
municipales_2020,1,,,POUEBO,Pouébo,5,5,2400,1291,1109,1272,7,12,53.79,46.21,98.53
municipales_2026,1,,,POUEBO,Pouébo,5,5,2414,1362,1052,1340,7,15,56.42,43.58,98.38
municipales_2026,2,,,POUEBO,Pouébo,5,5,2414,1529,885,1515,6,8,63.34,36.66,99.08
provinciales_2019,,PN,Province Nord,POUEBO,Pouébo,5,5,2301,1276,1025,1261,6,9,55.45,44.55,98.82
referendum_2018,,,,POUEBO,POUEBO,5,5,2335,1888,447,1877,1,10,80.86,19.14,99.42
referendum_2020,,,Province Nord,POUEBO,Pouébo,5,5,2392,2024,368,2010,1,13,84.62,15.38,99.31
referendum_2021,,,Province Nord,POUEBO,Pouébo,5,5,2386,34,2352,33,0,1,1.42,98.58,97.06
legislatives_2022,1,,,POUEMBOUT,Pouembout,3,3,1821,626,1195,613,10,3,34.38,65.62,97.92
legislatives_2022,2,,,POUEMBOUT,Pouembout,3,3,1821,954,867,933,15,6,52.39,47.61,97.8
legislatives_2024,1,,,POUEMBOUT,Pouembout,2,2,1908,1324,584,1293,20,11,69.39,30.61,97.66
legislatives_2024,2,,,POUEMBOUT,Pouembout,2,2,1908,1474,434,1449,20,5,77.25,22.75,98.3
municipales_2020,1,,,POUEMBOUT,Pouembout,3,3,1711,1160,551,1110,26,24,67.8,32.2,95.69
municipales_2026,1,,,POUEMBOUT,Pouembout,2,2,2005,1274,731,1254,14,6,63.54,36.46,98.43
municipales_2026,2,,,POUEMBOUT,Pouembout,2,2,2005,1396,609,1377,14,5,69.63,30.37,98.64
provinciales_2019,,PN,Province Nord,POUEMBOUT,Pouembout,3,3,1387,976,411,954,17,5,70.37,29.63,97.75
referendum_2018,,,,POUEMBOUT,POUEMBOUT,3,3,1383,1218,165,1195,10,13,88.07,11.93,98.11
referendum_2020,,,Province Nord,POUEMBOUT,Pouembout,3,3,1482,1325,157,1310,8,7,89.41,10.59,98.87
referendum_2021,,,Province Nord,POUEMBOUT,Pouembout,3,3,1545,732,813,709,8,15,47.38,52.62,96.86
legislatives_2022,1,,,POUM,Poum,3,3,1492,415,1077,411,3,1,27.82,72.18,99.04
legislatives_2022,2,,,POUM,Poum,3,3,1492,706,786,704,2,0,47.32,52.68,99.72
legislatives_2024,1,,,POUM,Poum,3,3,1533,984,549,964,9,11,64.19,35.81,97.97
legislatives_2024,2,,,POUM,Poum,3,3,1533,1170,363,1163,4,3,76.32,23.68,99.4
municipales_2020,1,,,POUM,Poum,3,3,1452,1014,438,1010,2,2,69.83,30.17,99.61
municipales_2026,1,,,POUM,Poum,3,3,1541,1241,300,1235,5,1,80.53,19.47,99.52
municipales_2026,2,,,POUM,Poum,3,3,1541,1332,209,1321,3,8,86.44,13.56,99.17
provinciales_2019,,PN,Province Nord,POUM,Poum,3,3,1381,918,463,911,2,5,66.47,33.53,99.24
referendum_2018,,,,POUM,POUM,3,3,1366,1152,214,1133,10,9,84.33,15.67,98.35
referendum_2020,,,Province Nord,POUM,Poum,3,3,1422,1259,163,1252,3,4,88.54,11.46,99.44
referendum_2021,,,Province Nord,POUM,Poum,3,3,1438,109,1329,106,3,0,7.58,92.42,97.25
legislatives_2022,1,,,POYA,Poya,6,6,2547,1097,1450,1075,11,11,43.07,56.93,97.99
legislatives_2022,2,,,POYA,Poya,6,6,2547,1505,1042,1478,20,7,59.09,40.91,98.21
legislatives_2024,1,,,POYA,Poya,6,6,2593,1877,716,1849,16,12,72.39,27.61,98.51
legislatives_2024,2,,,POYA,Poya,6,6,2597,2095,502,2077,13,5,80.67,19.33,99.14
municipales_2020,1,,,POYA,Poya,6,6,2486,1622,864,1570,29,23,65.25,34.75,96.79
municipales_2026,1,,,POYA,Poya,6,6,2597,1796,801,1764,27,5,69.16,30.84,98.22
