election,tour,province_code,province,commune_norm,commune,nb_bureaux,nb_bureaux_geolocalises,inscrits,votants,abstentions,exprimes,blancs,nuls,pct_participation,pct_abstention,pct_exprimes_votants
municipales_2026,2,,,POYA,Poya,6,6,2597,1931,666,1886,29,16,74.36,25.64,97.67
provinciales_2019,,PN,Province Nord,POYA,Poya Nord,5,5,2078,1392,686,1358,22,12,66.99,33.01,97.56
provinciales_2019,,PS,Province Sud,POYA,Poya Sud,1,1,164,133,31,131,2,0,81.1,18.9,98.5
referendum_2018,,,,POYA,POYA,6,6,2242,1950,292,1929,7,14,86.98,13.02,98.92
referendum_2020,,,Province Nord,POYA,Poya Nord,5,5,2176,1948,228,1933,4,11,89.52,10.48,99.23
referendum_2020,,,Province Sud,POYA,Poya Sud,1,1,189,173,16,173,0,0,91.53,8.47,100
referendum_2021,,,Province Nord,POYA,Poya Nord,5,5,2216,604,1612,577,10,17,27.26,72.74,95.53
referendum_2021,,,Province Sud,POYA,Poya Sud,1,1,197,171,26,171,0,0,86.8,13.2,100
legislatives_2022,1,,,SARRAMEA,Sarraméa,1,1,528,176,352,168,4,4,33.33,66.67,95.45
legislatives_2022,2,,,SARRAMEA,Sarraméa,1,1,528,270,258,265,3,2,51.14,48.86,98.15
legislatives_2024,1,,,SARRAMEA,Sarraméa,1,1,532,347,185,340,2,5,65.23,34.77,97.98
legislatives_2024,2,,,SARRAMEA,Sarraméa,1,1,532,421,111,416,3,2,79.14,20.86,98.81
municipales_2020,1,,,SARRAMEA,Sarraméa,1,1,529,399,130,387,5,7,75.43,24.57,96.99
municipales_2026,1,,,SARRAMEA,Sarraméa,1,1,541,401,140,393,4,4,74.12,25.88,98
provinciales_2019,,PS,Province Sud,SARRAMEA,Sarraméa,1,1,502,365,137,358,5,2,72.71,27.29,98.08
referendum_2018,,,,SARRAMEA,SARRAMEA,1,1,506,472,34,465,4,3,93.28,6.72,98.52
referendum_2020,,,Province Sud,SARRAMEA,Sarraméa,1,1,510,477,33,472,2,3,93.53,6.47,98.95
referendum_2021,,,Province Sud,SARRAMEA,Sarraméa,1,1,518,85,433,78,3,4,16.41,83.59,91.76
legislatives_2022,1,,,THIO,Thio,4,4,2231,557,1674,552,1,4,24.97,75.03,99.1
legislatives_2022,2,,,THIO,Thio,4,4,2231,974,1257,966,5,3,43.66,56.34,99.18
legislatives_2024,1,,,THIO,Thio,4,4,2262,1257,1005,1246,1,10,55.57,44.43,99.12
legislatives_2024,2,,,THIO,Thio,4,4,2260,1596,664,1587,4,5,70.62,29.38,99.44
municipales_2020,1,,,THIO,Thio,4,4,2189,1284,905,1233,29,22,58.66,41.34,96.03
municipales_2026,1,,,THIO,Thio,4,4,2290,1483,807,1470,10,3,64.76,35.24,99.12
municipales_2026,2,,,THIO,Thio,4,4,2290,1536,754,1526,7,3,67.07,32.93,99.35
provinciales_2019,,PS,Province Sud,THIO,Thio,4,4,2091,1226,865,1206,9,11,58.63,41.37,98.37
referendum_2018,,,,THIO,THIO,4,4,2114,1805,309,1785,5,15,85.38,14.62,98.89
referendum_2020,,,Province Sud,THIO,Thio,4,4,2177,1919,258,1901,3,15,88.15,11.85,99.06
referendum_2021,,,Province Sud,THIO,Thio,4,4,2218,200,2018,194,3,3,9.02,90.98,97
legislatives_2022,1,,,TOUHO,Touho,4,4,2008,654,1354,646,1,7,32.57,67.43,98.78
legislatives_2022,2,,,TOUHO,Touho,4,4,2008,908,1100,892,9,7,45.22,54.78,98.24
legislatives_2024,1,,,TOUHO,Touho,4,4,2027,1350,677,1336,9,5,66.6,33.4,98.96
legislatives_2024,2,,,TOUHO,Touho,4,4,2027,1553,474,1538,11,4,76.62,23.38,99.03
municipales_2020,1,,,TOUHO,Touho,4,4,1962,1192,770,1145,19,28,60.75,39.25,96.06
municipales_2026,1,,,TOUHO,Touho,4,4,2008,1226,782,1199,13,14,61.06,38.94,97.8
provinciales_2019,,PN,Province Nord,TOUHO,Touho,4,4,1894,1238,656,1216,16,6,65.36,34.64,98.22
referendum_2018,,,,TOUHO,TOUHO,4,4,1889,1612,277,1598,5,9,85.34,14.66,99.13
referendum_2020,,,Province Nord,TOUHO,Touho,4,4,1933,1681,252,1666,6,9,86.96,13.04,99.11
referendum_2021,,,Province Nord,TOUHO,Touho,4,4,1953,191,1762,185,4,2,9.78,90.22,96.86
legislatives_2022,1,,,VOH,Voh,7,7,2456,795,1661,781,10,4,32.37,67.63,98.24
legislatives_2022,2,,,VOH,Voh,7,7,2455,1304,1151,1290,9,5,53.12,46.88,98.93
legislatives_2024,1,,,VOH,Voh,7,7,2478,1746,732,1714,21,11,70.46,29.54,98.17
legislatives_2024,2,,,VOH,Voh,7,7,2478,1966,512,1946,11,9,79.34,20.66,98.98
municipales_2020,1,,,VOH,Voh,7,7,2417,1582,835,1555,19,8,65.45,34.55,98.29
municipales_2026,1,,,VOH,Voh,8,8,2494,1595,899,1554,26,15,63.95,36.05,97.43
municipales_2026,2,,,VOH,Voh,8,8,2494,1729,765,1698,16,15,69.33,30.67,98.21
provinciales_2019,,PN,Province Nord,VOH,Voh,5,5,2270,1566,704,1535,25,6,68.99,31.01,98.02
referendum_2018,,,,VOH,VOH,3,3,2312,2027,285,1978,19,30,87.67,12.33,97.58
referendum_2020,,,Province Nord,VOH,Voh,7,7,2355,2110,245,2069,21,20,89.6,10.4,98.06
referendum_2021,,,Province Nord,VOH,Voh,7,7,2362,559,1803,532,9,18,23.67,76.33,95.17
legislatives_2022,1,,,YATE,Yaté,4,4,1802,622,1180,621,1,0,34.52,65.48,99.84
legislatives_2022,2,,,YATE,Yaté,4,4,1797,973,824,967,2,4,54.15,45.85,99.38
legislatives_2024,1,,,YATE,Yaté,4,4,1833,1081,752,1074,3,4,58.97,41.03,99.35
legislatives_2024,2,,,YATE,Yaté,4,4,1833,1405,428,1401,3,1,76.65,23.35,99.72
municipales_2020,1,,,YATE,Yaté,4,4,1763,1300,463,1290,2,8,73.74,26.26,99.23
municipales_2026,1,,,YATE,Yaté,4,4,1830,1366,464,1357,4,5,74.64,25.36,99.34
provinciales_2019,,PS,Province Sud,YATE,Yaté,4,4,1704,1203,501,1193,4,6,70.6,29.4,99.17
referendum_2018,,,,YATE,YATE,4,4,1721,1547,174,1538,1,8,89.89,10.11,99.42
referendum_2020,,,Province Sud,YATE,Yaté,4,4,1760,1621,139,1615,2,4,92.1,7.9,99.63
referendum_2021,,,Province Sud,YATE,Yaté,4,4,1778,101,1677,96,2,3,5.68,94.32,95.05
