election,tour,province_code,province,code_departement,code_commune,commune,commune_norm,code_bv,inscrits,votants,abstentions,exprimes,blancs,nuls,numero_panneau,nuance,nom,prenom,sexe,candidat,candidature,voix,pct_inscrits,pct_exprimes,elu,bureau_nom,bureau_nom_norm,match_score,etablissement_nom,etablissement_adresse,etablissement_theme1,etablissement_theme2,etablissement_theme3,longitude,latitude,geo_source,iris_id,iris_codgeo,iris_libgeo
municipales_2026,1,,,988,98802,Bouloupari,BOULOUPARI,0004,767,473,294,460,9,4,2,,,,,,"Roger Philippe THEVEDIN Construire ensemble, Berepwari",102,13.3,22.17,,Centre culturel,CENTRE CULTUREL,0.833,Centre Socioculturel,,CULTUREL ET SOCIO EDUCATIF,Equipements socio-éducatifs et socio-culturels,Foyer socio culturel,166.049037015845,-21.8654352350015,etablissements_publics_nc,88,201,Boulouparis village
municipales_2026,1,,,988,98802,Bouloupari,BOULOUPARI,0004,767,473,294,460,9,4,3,,,,,,Pascal VITTORI Boulouparis pour vous,222,28.94,48.26,,Centre culturel,CENTRE CULTUREL,0.833,Centre Socioculturel,,CULTUREL ET SOCIO EDUCATIF,Equipements socio-éducatifs et socio-culturels,Foyer socio culturel,166.049037015845,-21.8654352350015,etablissements_publics_nc,88,201,Boulouparis village
municipales_2026,1,,,988,98803,Bourail,BOURAIL,0001,1003,581,422,568,6,7,1,LDIV,,,,,Jean-Paul ROBELIN Ambition Bourail,126,12.56,22.18,,Mairie,MAIRIE,0.98,Mairie de Bourail,,ADMINISTRATION ET ORGANISME,Administrations des collectivités,Administration de la commune de Bourail,165.497503614793,-21.5680444203004,etablissements_publics_nc,125,301,Bourail village
municipales_2026,1,,,988,98803,Bourail,BOURAIL,0001,1003,581,422,568,6,7,2,LDVD,,,,,Levay ROY BOURAIL DEMAIN,229,22.83,40.32,,Mairie,MAIRIE,0.98,Mairie de Bourail,,ADMINISTRATION ET ORGANISME,Administrations des collectivités,Administration de la commune de Bourail,165.497503614793,-21.5680444203004,etablissements_publics_nc,125,301,Bourail village
municipales_2026,1,,,988,98803,Bourail,BOURAIL,0001,1003,581,422,568,6,7,3,LDVC,,,,,Patrick ROBELIN Bourail en accord,213,21.24,37.5,,Mairie,MAIRIE,0.98,Mairie de Bourail,,ADMINISTRATION ET ORGANISME,Administrations des collectivités,Administration de la commune de Bourail,165.497503614793,-21.5680444203004,etablissements_publics_nc,125,301,Bourail village
municipales_2026,1,,,988,98803,Bourail,BOURAIL,0002,897,548,349,539,4,5,1,LDIV,,,,,Jean-Paul ROBELIN Ambition Bourail,54,6.02,10.02,,Pothé,POTHE,0.93,Ecole de Pothé,,ENSEIGNEMENT ET FORMATION,Enseignement du premier degré,Ecole pré-élémentaire,165.491900847299,-21.4547330481005,etablissements_publics_nc,128,305,Ny
municipales_2026,1,,,988,98803,Bourail,BOURAIL,0002,897,548,349,539,4,5,2,LDVD,,,,,Levay ROY BOURAIL DEMAIN,67,7.47,12.43,,Pothé,POTHE,0.93,Ecole de Pothé,,ENSEIGNEMENT ET FORMATION,Enseignement du premier degré,Ecole pré-élémentaire,165.491900847299,-21.4547330481005,etablissements_publics_nc,128,305,Ny
municipales_2026,1,,,988,98803,Bourail,BOURAIL,0002,897,548,349,539,4,5,3,LDVC,,,,,Patrick ROBELIN Bourail en accord,418,46.6,77.55,,Pothé,POTHE,0.93,Ecole de Pothé,,ENSEIGNEMENT ET FORMATION,Enseignement du premier degré,Ecole pré-élémentaire,165.491900847299,-21.4547330481005,etablissements_publics_nc,128,305,Ny
municipales_2026,1,,,988,98803,Bourail,BOURAIL,0003,1029,690,339,659,20,11,1,LDIV,,,,,Jean-Paul ROBELIN Ambition Bourail,213,20.7,32.32,,Colisée,COLISEE,0.93,Le Colisée - Salle de spectacle,,CULTUREL ET SOCIO EDUCATIF,Equipements culturels,Salle de concert,165.49385205691,-21.5656940047007,etablissements_publics_nc,125,301,Bourail village
municipales_2026,1,,,988,98803,Bourail,BOURAIL,0003,1029,690,339,659,20,11,2,LDVD,,,,,Levay ROY BOURAIL DEMAIN,257,24.98,39,,Colisée,COLISEE,0.93,Le Colisée - Salle de spectacle,,CULTUREL ET SOCIO EDUCATIF,Equipements culturels,Salle de concert,165.49385205691,-21.5656940047007,etablissements_publics_nc,125,301,Bourail village
municipales_2026,1,,,988,98803,Bourail,BOURAIL,0003,1029,690,339,659,20,11,3,LDVC,,,,,Patrick ROBELIN Bourail en accord,189,18.37,28.68,,Colisée,COLISEE,0.93,Le Colisée - Salle de spectacle,,CULTUREL ET SOCIO EDUCATIF,Equipements culturels,Salle de concert,165.49385205691,-21.5656940047007,etablissements_publics_nc,125,301,Bourail village
municipales_2026,1,,,988,98803,Bourail,BOURAIL,0004,951,626,325,610,13,3,1,LDIV,,,,,Jean-Paul ROBELIN Ambition Bourail,138,14.51,22.62,,École Les Lys d’Eau,ECOLE LYS D EAU,0.85,Ecole primaire Les Lys d'Eau,,ENSEIGNEMENT ET FORMATION,Enseignement du premier degré,Ecole primaire,165.49748641875,-21.5730483252455,etablissements_publics_nc,125,301,Bourail village
municipales_2026,1,,,988,98803,Bourail,BOURAIL,0004,951,626,325,610,13,3,2,LDVD,,,,,Levay ROY BOURAIL DEMAIN,281,29.55,46.07,,École Les Lys d’Eau,ECOLE LYS D EAU,0.85,Ecole primaire Les Lys d'Eau,,ENSEIGNEMENT ET FORMATION,Enseignement du premier degré,Ecole primaire,165.49748641875,-21.5730483252455,etablissements_publics_nc,125,301,Bourail village
municipales_2026,1,,,988,98803,Bourail,BOURAIL,0004,951,626,325,610,13,3,3,LDVC,,,,,Patrick ROBELIN Bourail en accord,191,20.08,31.31,,École Les Lys d’Eau,ECOLE LYS D EAU,0.85,Ecole primaire Les Lys d'Eau,,ENSEIGNEMENT ET FORMATION,Enseignement du premier degré,Ecole primaire,165.49748641875,-21.5730483252455,etablissements_publics_nc,125,301,Bourail village
municipales_2026,1,,,988,98803,Bourail,BOURAIL,0005,1000,677,323,657,14,6,1,LDIV,,,,,Jean-Paul ROBELIN Ambition Bourail,197,19.7,29.98,,École Louise Michel,ECOLE LOUISE MICHEL,0.859,Ecole primaire Louise Michel,,ENSEIGNEMENT ET FORMATION,Enseignement du premier degré,Ecole primaire,165.497379452405,-21.57045570157,etablissements_publics_nc,125,301,Bourail village
municipales_2026,1,,,988,98803,Bourail,BOURAIL,0005,1000,677,323,657,14,6,2,LDVD,,,,,Levay ROY BOURAIL DEMAIN,267,26.7,40.64,,École Louise Michel,ECOLE LOUISE MICHEL,0.859,Ecole primaire Louise Michel,,ENSEIGNEMENT ET FORMATION,Enseignement du premier degré,Ecole primaire,165.497379452405,-21.57045570157,etablissements_publics_nc,125,301,Bourail village
municipales_2026,1,,,988,98803,Bourail,BOURAIL,0005,1000,677,323,657,14,6,3,LDVC,,,,,Patrick ROBELIN Bourail en accord,193,19.3,29.38,,École Louise Michel,ECOLE LOUISE MICHEL,0.859,Ecole primaire Louise Michel,,ENSEIGNEMENT ET FORMATION,Enseignement du premier degré,Ecole primaire,165.497379452405,-21.57045570157,etablissements_publics_nc,125,301,Bourail village
municipales_2026,1,,,988,98804,Canala,CANALA,0001,412,291,121,287,2,2,1,LDIV,,,,,Jean Michel MAYET MURU XORU,60,14.56,20.91,,Mairie,MAIRIE,0.7,CANALA,Canala,LIEU_DIT_NC,VILLE,Xârâcùù,165.96392757417755,-21.522084905801098,tribus_villages_nc,136,401,Canala village
municipales_2026,1,,,988,98804,Canala,CANALA,0001,412,291,121,287,2,2,2,LREG,,,,,Caril BERONON XWAMAABWI ADOPOO,83,20.15,28.92,,Mairie,MAIRIE,0.7,CANALA,Canala,LIEU_DIT_NC,VILLE,Xârâcùù,165.96392757417755,-21.522084905801098,tribus_villages_nc,136,401,Canala village
municipales_2026,1,,,988,98804,Canala,CANALA,0001,412,291,121,287,2,2,3,LREG,,,,,Gilbert TYUIENON TEPE AEE CE KANAKY DAAWANI,113,27.43,39.37,,Mairie,MAIRIE,0.7,CANALA,Canala,LIEU_DIT_NC,VILLE,Xârâcùù,165.96392757417755,-21.522084905801098,tribus_villages_nc,136,401,Canala village
municipales_2026,1,,,988,98804,Canala,CANALA,0001,412,291,121,287,2,2,4,LREG,,,,,Raymond - Freddy TYUIENON UNI XARACUU ARE,31,7.52,10.8,,Mairie,MAIRIE,0.7,CANALA,Canala,LIEU_DIT_NC,VILLE,Xârâcùù,165.96392757417755,-21.522084905801098,tribus_villages_nc,136,401,Canala village
municipales_2026,1,,,988,98804,Canala,CANALA,0002,507,345,162,342,1,2,1,LDIV,,,,,Jean Michel MAYET MURU XORU,34,6.71,9.94,,Nakéty,NAKETY,1,Nakéty,Canala,LIEU_DIT_NC,TRIBU,Nèkètè,166.04631481753384,-21.54222544058342,tribus_villages_nc,137,403,Gélima - Nakéty
municipales_2026,1,,,988,98804,Canala,CANALA,0002,507,345,162,342,1,2,2,LREG,,,,,Caril BERONON XWAMAABWI ADOPOO,118,23.27,34.5,,Nakéty,NAKETY,1,Nakéty,Canala,LIEU_DIT_NC,TRIBU,Nèkètè,166.04631481753384,-21.54222544058342,tribus_villages_nc,137,403,Gélima - Nakéty
municipales_2026,1,,,988,98804,Canala,CANALA,0002,507,345,162,342,1,2,3,LREG,,,,,Gilbert TYUIENON TEPE AEE CE KANAKY DAAWANI,119,23.47,34.8,,Nakéty,NAKETY,1,Nakéty,Canala,LIEU_DIT_NC,TRIBU,Nèkètè,166.04631481753384,-21.54222544058342,tribus_villages_nc,137,403,Gélima - Nakéty
municipales_2026,1,,,988,98804,Canala,CANALA,0002,507,345,162,342,1,2,4,LREG,,,,,Raymond - Freddy TYUIENON UNI XARACUU ARE,71,14,20.76,,Nakéty,NAKETY,1,Nakéty,Canala,LIEU_DIT_NC,TRIBU,Nèkètè,166.04631481753384,-21.54222544058342,tribus_villages_nc,137,403,Gélima - Nakéty
municipales_2026,1,,,988,98804,Canala,CANALA,0003,464,314,150,310,1,3,1,LDIV,,,,,Jean Michel MAYET MURU XORU,30,6.47,9.68,,Nanon,NANON,0.95,Nanon-Kénérou,Canala,LIEU_DIT_NC,TRIBU,Nèno - Kénéru,165.88480729759476,-21.546697208816735,tribus_villages_nc,136,401,Canala village
municipales_2026,1,,,988,98804,Canala,CANALA,0003,464,314,150,310,1,3,2,LREG,,,,,Caril BERONON XWAMAABWI ADOPOO,70,15.09,22.58,,Nanon,NANON,0.95,Nanon-Kénérou,Canala,LIEU_DIT_NC,TRIBU,Nèno - Kénéru,165.88480729759476,-21.546697208816735,tribus_villages_nc,136,401,Canala village
