election,tour,code_departement,code_commune,commune,commune_norm,code_bv,inscrits,votants,abstentions,exprimes,blancs,nuls,bureau_nom,bureau_nom_norm,match_score,etablissement_nom,etablissement_adresse,etablissement_theme1,etablissement_theme2,etablissement_theme3,longitude,latitude,geo_source,iris_id,iris_codgeo,iris_libgeo
legislatives_2024,1,988,98805,Dumbéa,DUMBEA,0001,1123,715,408,698,12,5,Hôtel de Ville 1,MAIRIE,0.93,Mairie du Nord de Dumbéa,777 ROUTE TERRITORIALE N°1,ADMINISTRATION ET ORGANISME,Administrations des collectivités,Administration de la commune de Dumbéa,166.457501065839,-22.1675460417822,etablissements_publics_nc,149,512,Plaine de Koé
legislatives_2024,1,988,98805,Dumbéa,DUMBEA,0002,939,587,352,571,10,6,Hôtel de ville 2,MAIRIE,0.93,Mairie du Nord de Dumbéa,777 ROUTE TERRITORIALE N°1,ADMINISTRATION ET ORGANISME,Administrations des collectivités,Administration de la commune de Dumbéa,166.457501065839,-22.1675460417822,etablissements_publics_nc,149,512,Plaine de Koé
legislatives_2024,1,988,98805,Dumbéa,DUMBEA,0003,1047,667,380,650,12,5,Hôtel de ville 3,MAIRIE,0.93,Mairie du Nord de Dumbéa,777 ROUTE TERRITORIALE N°1,ADMINISTRATION ET ORGANISME,Administrations des collectivités,Administration de la commune de Dumbéa,166.457501065839,-22.1675460417822,etablissements_publics_nc,149,512,Plaine de Koé
legislatives_2024,1,988,98805,Dumbéa,DUMBEA,0004,1041,656,385,634,18,4,Ecole primaire Mainguet 1,ECOLE PRIMAIRE MAINGUET,0.952,Ecole primaire Jack Mainguet,73 RUE JEAN FRANCOIS LAPEROUSE,ENSEIGNEMENT ET FORMATION,Enseignement du premier degré,Ecole primaire,166.474584305922,-22.2148395317313,etablissements_publics_nc,138,501,Coeur de ville urbain
legislatives_2024,1,988,98805,Dumbéa,DUMBEA,0005,656,360,296,349,6,5,Ecole primaire Mainguet 2,ECOLE PRIMAIRE MAINGUET,0.952,Ecole primaire Jack Mainguet,73 RUE JEAN FRANCOIS LAPEROUSE,ENSEIGNEMENT ET FORMATION,Enseignement du premier degré,Ecole primaire,166.474584305922,-22.2148395317313,etablissements_publics_nc,138,501,Coeur de ville urbain
legislatives_2024,1,988,98805,Dumbéa,DUMBEA,0006,987,646,341,623,16,7,Maison de la jeunesse 1,MAISON JEUNESSE,1,Maison de la jeunesse,26 AVENUE D'AUTEUIL,CULTUREL ET SOCIO EDUCATIF,Equipements culturels,Centre culturel maison culturelle et centre d'art,166.474913290828,-22.2056811434969,etablissements_publics_nc,144,507,Jacarandas II
legislatives_2024,1,988,98805,Dumbéa,DUMBEA,0007,908,575,333,567,6,2,Maison de la jeunesse 2,MAISON JEUNESSE,1,Maison de la jeunesse,26 AVENUE D'AUTEUIL,CULTUREL ET SOCIO EDUCATIF,Equipements culturels,Centre culturel maison culturelle et centre d'art,166.474913290828,-22.2056811434969,etablissements_publics_nc,144,507,Jacarandas II
legislatives_2024,1,988,98805,Dumbéa,DUMBEA,0008,880,482,398,470,7,5,Centre culturel de Dumbéa 1,CENTRE CULTUREL DUMBEA,1,Centre culturel de Dumbéa,56 AVENUE D'AUTEUIL,CULTUREL ET SOCIO EDUCATIF,Equipements culturels,Centre culturel maison culturelle et centre d'art,166.474126141924,-22.2081759337081,etablissements_publics_nc,140,503,Koutio Secal
legislatives_2024,1,988,98805,Dumbéa,DUMBEA,0009,1045,661,384,641,11,9,Centre culturel de Dumbéa 2,CENTRE CULTUREL DUMBEA,1,Centre culturel de Dumbéa,56 AVENUE D'AUTEUIL,CULTUREL ET SOCIO EDUCATIF,Equipements culturels,Centre culturel maison culturelle et centre d'art,166.474126141924,-22.2081759337081,etablissements_publics_nc,140,503,Koutio Secal
legislatives_2024,1,988,98805,Dumbéa,DUMBEA,0010,892,569,323,554,9,6,Centre culturel de Dumbéa 3,CENTRE CULTUREL DUMBEA,1,Centre culturel de Dumbéa,56 AVENUE D'AUTEUIL,CULTUREL ET SOCIO EDUCATIF,Equipements culturels,Centre culturel maison culturelle et centre d'art,166.474126141924,-22.2081759337081,etablissements_publics_nc,140,503,Koutio Secal
legislatives_2024,1,988,98805,Dumbéa,DUMBEA,0011,891,514,377,494,16,4,Ecole primaire Gustave Clain 1,ECOLE PRIMAIRE GUSTAVE CLAIN,0.897,Ecole élémentaire Gustave Clain,49 RUE JACQUES MONOD,ENSEIGNEMENT ET FORMATION,Enseignement du premier degré,Ecole élémentaire,166.460870510376,-22.2089353285944,etablissements_publics_nc,141,504,Koutio érudits
legislatives_2024,1,988,98805,Dumbéa,DUMBEA,0012,999,579,420,568,8,3,Ecole primaire Gustave Clain 2,ECOLE PRIMAIRE GUSTAVE CLAIN,0.897,Ecole élémentaire Gustave Clain,49 RUE JACQUES MONOD,ENSEIGNEMENT ET FORMATION,Enseignement du premier degré,Ecole élémentaire,166.460870510376,-22.2089353285944,etablissements_publics_nc,141,504,Koutio érudits
legislatives_2024,1,988,98805,Dumbéa,DUMBEA,0013,799,524,275,514,7,3,Ecole maternelle l'Oasis 1,ECOLE MATERNELLE L OASIS,0.729,Ecole maternelle L'Oasis,39 RUE JACQUES MONOD,ENSEIGNEMENT ET FORMATION,Enseignement du premier degré,Ecole pré-élémentaire,166.461460951246,-22.2085634346196,etablissements_publics_nc,141,504,Koutio érudits
legislatives_2024,1,988,98805,Dumbéa,DUMBEA,0014,804,507,297,498,6,3,Ecole maternelle l'Oasis 2,ECOLE MATERNELLE L OASIS,0.729,Ecole maternelle L'Oasis,39 RUE JACQUES MONOD,ENSEIGNEMENT ET FORMATION,Enseignement du premier degré,Ecole pré-élémentaire,166.461460951246,-22.2085634346196,etablissements_publics_nc,141,504,Koutio érudits
legislatives_2024,1,988,98805,Dumbéa,DUMBEA,0015,636,360,276,353,6,1,Groupe scolaire Michelle Delacharlerie-Rolly 1,GROUPE SCOLAIRE MICHELLE DELACHARLERIE ROLLY,1,Groupe scolaire Michelle Delacharlerie-Rolly,103 BOULEVARD DU RAIL CALEDONIEN,ENSEIGNEMENT ET FORMATION,Enseignement du premier degré,Groupe scolaire,166.445998676866,-22.2013803961715,etablissements_publics_nc,147,510,Dumbéa/mer Ouest
legislatives_2024,1,988,98805,Dumbéa,DUMBEA,0016,858,462,396,451,5,6,Groupe scolaire Michelle Delacharlerie-Rolly 2,GROUPE SCOLAIRE MICHELLE DELACHARLERIE ROLLY,1,Groupe scolaire Michelle Delacharlerie-Rolly,103 BOULEVARD DU RAIL CALEDONIEN,ENSEIGNEMENT ET FORMATION,Enseignement du premier degré,Groupe scolaire,166.445998676866,-22.2013803961715,etablissements_publics_nc,147,510,Dumbéa/mer Ouest
