election,tour,code_departement,code_commune,commune,commune_norm,code_bv,inscrits,votants,abstentions,exprimes,blancs,nuls,bureau_nom,bureau_nom_norm,match_score,etablissement_nom,etablissement_adresse,etablissement_theme1,etablissement_theme2,etablissement_theme3,longitude,latitude,geo_source,iris_id,iris_codgeo,iris_libgeo
legislatives_2022,1,988,98802,Boulouparis,BOULOUPARI,0001,952,386,566,378,3,5,Mairie,MAIRIE,0.98,Mairie de Boulouparis,,ADMINISTRATION ET ORGANISME,Administrations des collectivités,Administration de la commune de Boulouparis,166.047711423762,-21.8654175541592,etablissements_publics_nc,88,201,Boulouparis village
legislatives_2022,1,988,98802,Boulouparis,BOULOUPARI,0004,751,333,418,320,13,0,Centre culturel,CENTRE CULTUREL,0.833,Centre Socioculturel,,CULTUREL ET SOCIO EDUCATIF,Equipements socio-éducatifs et socio-culturels,Foyer socio culturel,166.049037015845,-21.8654352350015,etablissements_publics_nc,88,201,Boulouparis village
legislatives_2022,1,988,98803,Bourail,BOURAIL,0003,997,465,532,458,5,2,Colisée,COLISEE,0.93,Le Colisée - Salle de spectacle,,CULTUREL ET SOCIO EDUCATIF,Equipements culturels,Salle de concert,165.49385205691,-21.5656940047007,etablissements_publics_nc,125,301,Bourail village
legislatives_2022,1,988,98803,Bourail,BOURAIL,0004,1076,468,608,455,8,5,École Les Lys d’Eau,ECOLE LYS D EAU,0.85,Ecole primaire Les Lys d'Eau,,ENSEIGNEMENT ET FORMATION,Enseignement du premier degré,Ecole primaire,165.49748641875,-21.5730483252455,etablissements_publics_nc,125,301,Bourail village
legislatives_2022,1,988,98803,Bourail,BOURAIL,0005,983,414,569,402,5,7,École Louise Michel,ECOLE LOUISE MICHEL,0.859,Ecole primaire Louise Michel,,ENSEIGNEMENT ET FORMATION,Enseignement du premier degré,Ecole primaire,165.497379452405,-21.57045570157,etablissements_publics_nc,125,301,Bourail village
legislatives_2022,1,988,98804,Canala,CANALA,0002,502,212,290,212,0,0,Nakéty,NAKETY,1,Nakéty,Canala,LIEU_DIT_NC,TRIBU,Nèkètè,166.04631481753384,-21.54222544058342,tribus_villages_nc,137,403,Gélima - Nakéty
legislatives_2022,1,988,98804,Canala,CANALA,0004,803,299,504,294,1,4,Méhoué,MEHOUE,1,Méhoué,Canala,LIEU_DIT_NC,TRIBU,Mèèwéé,165.9494172177474,-21.51958486452521,tribus_villages_nc,136,401,Canala village
legislatives_2022,1,988,98804,Canala,CANALA,0007,341,135,206,133,0,2,Tenda Koumendi,TENDA KOUMENDI,1,Tenda,Canala,LIEU_DIT_NC,TRIBU,Tèda Nèxinyi,166.03563428874068,-21.545648677139223,tribus_villages_nc,137,403,Gélima - Nakéty
legislatives_2022,1,988,98805,Dumbéa,DUMBEA,0006,976,357,619,349,7,1,Maison de la jeunesse 1,MAISON JEUNESSE,1,Maison de la jeunesse,26 AVENUE D'AUTEUIL,CULTUREL ET SOCIO EDUCATIF,Equipements culturels,Centre culturel maison culturelle et centre d'art,166.474913290828,-22.2056811434969,etablissements_publics_nc,144,507,Jacarandas II
legislatives_2022,1,988,98805,Dumbéa,DUMBEA,0008,887,234,653,226,5,3,Centre culturel de Dumbéa 1,CENTRE CULTUREL DUMBEA,1,Centre culturel de Dumbéa,56 AVENUE D'AUTEUIL,CULTUREL ET SOCIO EDUCATIF,Equipements culturels,Centre culturel maison culturelle et centre d'art,166.474126141924,-22.2081759337081,etablissements_publics_nc,140,503,Koutio Secal
legislatives_2022,1,988,98805,Dumbéa,DUMBEA,0009,1031,281,750,266,12,3,Centre culturel de Dumbéa 2,CENTRE CULTUREL DUMBEA,1,Centre culturel de Dumbéa,56 AVENUE D'AUTEUIL,CULTUREL ET SOCIO EDUCATIF,Equipements culturels,Centre culturel maison culturelle et centre d'art,166.474126141924,-22.2081759337081,etablissements_publics_nc,140,503,Koutio Secal
legislatives_2022,1,988,98805,Dumbéa,DUMBEA,0016,819,186,633,179,5,2,Groupe scolaire Michelle Delacharlerie-Rolly 2,GROUPE SCOLAIRE MICHELLE DELACHARLERIE ROLLY,1,Groupe scolaire Michelle Delacharlerie-Rolly,103 BOULEVARD DU RAIL CALEDONIEN,ENSEIGNEMENT ET FORMATION,Enseignement du premier degré,Groupe scolaire,166.445998676866,-22.2013803961715,etablissements_publics_nc,147,510,Dumbéa/mer Ouest
legislatives_2022,1,988,98805,Dumbéa,DUMBEA,0020,841,355,486,349,5,1,Mairie du Nord 2,MAIRIE NORD,0.98,Mairie du Nord de Dumbéa,777 ROUTE TERRITORIALE N°1,ADMINISTRATION ET ORGANISME,Administrations des collectivités,Administration de la commune de Dumbéa,166.457501065839,-22.1675460417822,etablissements_publics_nc,149,512,Plaine de Koé
legislatives_2022,1,988,98805,Dumbéa,DUMBEA,0021,825,266,559,255,8,3,Mairie du Nord 3,MAIRIE NORD,0.98,Mairie du Nord de Dumbéa,777 ROUTE TERRITORIALE N°1,ADMINISTRATION ET ORGANISME,Administrations des collectivités,Administration de la commune de Dumbéa,166.457501065839,-22.1675460417822,etablissements_publics_nc,149,512,Plaine de Koé
legislatives_2022,1,988,98805,Dumbéa,DUMBEA,0026,882,409,473,399,8,2,,,,Groupe Scolaire Frédéric-Louis Dorbritz,39 RUE DE BRETAGNE,ENSEIGNEMENT ET FORMATION,Enseignement du premier degré,Groupe scolaire,166.437530865088,-22.1944939226253,arrete_manual_etablissements,147,510,Dumbéa/mer Ouest
legislatives_2022,1,988,98806,Farino,FARINO,0001,668,369,299,356,8,5,Mairie,MAIRIE,0.7,FARINO,Farino,LIEU_DIT_NC,VILLE,Farinö,165.77595416144513,-21.666848976720875,tribus_villages_nc,154,601,Farino
legislatives_2022,1,988,98807,Hienghène,HIENGHENE,0002,219,88,131,87,0,1,Tendo,TENDO,1,Tendo,Hienghène,LIEU_DIT_NC,TRIBU,Tnèdo,164.8162801367713,-20.71273259336387,tribus_villages_nc,156,704,Tiendanite Ouayaguette
legislatives_2022,1,988,98807,Hienghène,HIENGHENE,0003,115,47,68,46,1,0,Bas-Coulna,BAS COULNA,1,Bas-Coulna,Hienghène,LIEU_DIT_NC,TRIBU,Wan Déuc,164.78261362354763,-20.687835024386533,tribus_villages_nc,156,704,Tiendanite Ouayaguette
legislatives_2022,1,988,98807,Hienghène,HIENGHENE,0004,101,55,46,55,0,0,Haut-Coulna,HAUT COULNA,1,Haut-Coulna,Hienghène,LIEU_DIT_NC,TRIBU,Paana,164.7358564404401,-20.63480876362534,tribus_villages_nc,156,704,Tiendanite Ouayaguette
legislatives_2022,1,988,98807,Hienghène,HIENGHENE,0005,190,88,102,86,1,1,Ouayaguette,OUAYAGUETTE,1,Ouayaguette,Hienghène,LIEU_DIT_NC,TRIBU,Wébia,164.6835205195477,-20.659220188803257,tribus_villages_nc,156,704,Tiendanite Ouayaguette
legislatives_2022,1,988,98807,Hienghène,HIENGHENE,0007,72,25,47,24,0,1,Oué-Hawa,OUE HAWA,0.875,Oué-Hava,Hienghène,LIEU_DIT_NC,TRIBU,Wé Hava,165.03458545186362,-20.765966185987494,tribus_villages_nc,156,704,Tiendanite Ouayaguette
legislatives_2022,1,988,98808,Houailou,HOUAILOU,0002,661,153,508,144,9,0,Warai,WARAI,0.95,Kua,Houaïlou,LIEU_DIT_NC,TRIBU,Wa',165.76989808558005,-21.33124821435679,tribus_villages_nc,160,807,Boréaré - Coula - Karagreu
legislatives_2022,1,988,98808,Houailou,HOUAILOU,0003,379,92,287,90,1,1,Bâ,BA,1,Bâ,Houaïlou,LIEU_DIT_NC,TRIBU,Bwa,165.55842620966266,-21.19827944865936,tribus_villages_nc,158,803,Warai
legislatives_2022,1,988,98808,Houailou,HOUAILOU,0005,575,119,456,117,0,2,Poro,PORO,1,Poro,Houaïlou,LIEU_DIT_NC,LDH,Pô Ro,165.70953015747588,-21.30262511634177,tribus_villages_nc,157,801,Houailou village
legislatives_2022,1,988,98809,Ile des Pins,ILEDESPINS,0002,801,239,562,236,3,0,Bâtiment communal Point Information,BATIMENT COMMUNAL POINT INFORMATION,,,,,,,167.495819,-22.66517,tidygeocoder_osm,161,901,Vao
legislatives_2022,1,988,98810,Kaala-Gomen,KAALAGOMEN,0001,541,127,414,123,2,2,Mairie,MAIRIE,0.98,Mairie de Kaala-Gomen,804 Avenue de BWAPANU,ADMINISTRATION ET ORGANISME,Administrations des collectivités,Administration de la commune de Kaala-Gomen,164.397185345977,-20.6671314843025,etablissements_publics_nc,1,1001,Kaala Gomen village et littoral
legislatives_2022,1,988,98810,Kaala-Gomen,KAALAGOMEN,0006,214,64,150,64,0,0,Ouaco,OUACO,0.93,Ecole de Ouaco,185 Rue Victor ROFFEY,ENSEIGNEMENT ET FORMATION,Enseignement du premier degré,Ecole élémentaire,164.471215971078,-20.8375035625753,etablissements_publics_nc,1,1001,Kaala Gomen village et littoral
legislatives_2022,1,988,98811,Koné,KONE,0002,169,64,105,59,3,2,Poindah,POINDAH,0.93,Maison commune de Poindah,,CULTUREL ET SOCIO EDUCATIF,Equipements socio-éducatifs et socio-culturels,Maison de jeune et maison de quartier,164.964442641559,-21.0372102738018,etablissements_publics_nc,7,1107,Poindah - Noelly - Néami - Netchaot
legislatives_2022,1,988,98811,Koné,KONE,0005,129,55,74,55,0,0,Atéou,ATEOU,0.93,Ecole publique d'Atéou,Route de l'EGLISE d'ATEOU,ENSEIGNEMENT ET FORMATION,Enseignement du premier degré,Ecole primaire,164.90654574925,-20.9500343540188,etablissements_publics_nc,7,1107,Poindah - Noelly - Néami - Netchaot
legislatives_2022,1,988,98811,Koné,KONE,0009,743,206,537,203,2,1,École primaire Les Cigales,ECOLE PRIMAIRE CIGALES,0.88,Ecole publique Les Cigales,12 RUE DES ABEILLES,ENSEIGNEMENT ET FORMATION,Enseignement du premier degré,Ecole primaire,164.8701529762,-21.0521518022935,etablissements_publics_nc,4,1101,Koné village
legislatives_2022,1,988,98814,Lifou,LIFOU,0003,758,232,526,232,0,0,Drueulu,DRUEULU,1,Douéoulou,Lifou,LIEU_DIT_NC,TRIBU,Drueulu,167.07853761275717,-20.930242999544458,tribus_villages_nc,14,1401,Gaitcha
legislatives_2022,1,988,98814,Lifou,LIFOU,0008,615,206,409,206,0,0,Hnathalo,HNATHALO,0.75,Hnacaöm,Lifou,LIEU_DIT_NC,TRIBU,,167.20569292168463,-20.72173372554335,tribus_villages_nc,16,1403,Wet
legislatives_2022,1,988,98814,Lifou,LIFOU,0028,130,42,88,42,0,0,Lieu de vote délocalisé n°2 de Lifou à Nouméa,LIEU VOTE DELOCALISE LIFOU A NOUMEA,,Centre Culturel Ko We Kara,72 RUE AMPERE,CULTUREL ET SOCIO EDUCATIF,Equipements culturels,Centre culturel maison culturelle et centre d'art,166.456104572757,-22.2355536217178,arrete_manual_etablissements,68,1832,Zone industrielle Ducos
legislatives_2022,1,988,98815,Maré,MARE,0001,602,104,498,102,2,0,Tadine,TADINE,1,Tadine,Maré,LIEU_DIT_NC,TRIBU,Tadin,167.88122247564291,-21.54648900532693,tribus_villages_nc,19,1503,Tadine Pénélo
legislatives_2022,1,988,98815,Maré,MARE,0002,646,103,543,103,0,0,Hnawayatche,HNAWAYATCHE,1,Hnawayatche,Maré,LIEU_DIT_NC,TRIBU,Hnawayaca,167.85931527784155,-21.444202132872793,tribus_villages_nc,17,1501,Guahma
legislatives_2022,1,988,98815,Maré,MARE,0007,644,144,500,144,0,0,Wabao,WABAO,1,Wabao,Maré,LIEU_DIT_NC,TRIBU,Wabawo,167.93937201549338,-21.60210597985789,tribus_villages_nc,19,1503,Tadine Pénélo
legislatives_2022,1,988,98815,Maré,MARE,0008,782,76,706,76,0,0,Nece,NECE,1,Netché,Maré,LIEU_DIT_NC,TRIBU,Nece,167.8385405434138,-21.49048664280733,tribus_villages_nc,17,1501,Guahma
legislatives_2022,1,988,98815,Maré,MARE,0009,264,51,213,51,0,0,Ménaku,MENAKU,1,Menaku,Maré,LIEU_DIT_NC,TRIBU,,167.96911686605617,-21.444234250592025,tribus_villages_nc,17,1501,Guahma
legislatives_2022,1,988,98815,Maré,MARE,0010,357,46,311,46,0,0,Mebuet,MEBUET,1,Mebuet,Maré,LIEU_DIT_NC,TRIBU,,167.84863195183632,-21.51331947619321,tribus_villages_nc,17,1501,Guahma
legislatives_2022,1,988,98815,Maré,MARE,0011,298,22,276,22,0,0,Roh,ROH,0.95,Ro,Maré,LIEU_DIT_NC,TRIBU,,167.86202487687797,-21.39242632802858,tribus_villages_nc,17,1501,Guahma
legislatives_2022,1,988,98815,Maré,MARE,0013,660,106,554,105,1,0,La Roche,ROCHE,1,La Roche,Maré,LIEU_DIT_NC,TRIBU,,168.03155085257677,-21.471745123256497,tribus_villages_nc,18,1502,La Roche
legislatives_2022,1,988,98817,Mont-Dore,MONTDORE,0001,972,317,655,308,8,1,Mairie de BOULARI,MAIRIE BOULARI,0.727,Marina de Port Boulari,RUE DES THAZARDS,PARC ESPACE PUBLIC ET LOISIR,Espaces de loisirs,Marinas port de plaisance et port à sec,166.523722376157,-22.2317078297453,etablissements_publics_nc,,,
legislatives_2022,1,988,98817,Mont-Dore,MONTDORE,0003,950,407,543,399,7,1,École primaire Adolphe BOUTAN,ECOLE PRIMAIRE ADOLPHE BOUTAN,0.828,Ecole primaire de l'Ile-Ouen,,ENSEIGNEMENT ET FORMATION,Enseignement du premier degré,Ecole primaire,166.841440737558,-22.4256696418669,etablissements_publics_nc,35,1715,Mouirange - Grand Sud - Ile Ouen
legislatives_2022,1,988,98817,Mont-Dore,MONTDORE,0004,968,336,632,324,10,2,École primaire Louis Henri GALINIE 1,ECOLE PRIMAIRE LOUIS HENRI GALINIE,0.923,Ecole primaire Louis Henri Galinié,1133 RUE DES TROIS BANIANS,ENSEIGNEMENT ET FORMATION,Enseignement du premier degré,Ecole élémentaire,166.512755378687,-22.2163077194956,etablissements_publics_nc,25,1705,Robinson Nord
legislatives_2022,1,988,98817,Mont-Dore,MONTDORE,0005,1094,251,843,247,2,2,École La Rizière 1,ECOLE RIZIERE,0.734,Ecole primaire La Rizière,89 RUE DU VIEUX PONT,ENSEIGNEMENT ET FORMATION,Enseignement du premier degré,Ecole élémentaire,166.573975497183,-22.2332233282141,etablissements_publics_nc,30,1710,La Coulée Nord
legislatives_2022,1,988,98817,Mont-Dore,MONTDORE,0007,103,47,56,46,0,1,Ouara,OUARA,1,Ouara,Mont-Dore,LIEU_DIT_NC,TRIBU,,166.84029773306233,-22.42316008394107,tribus_villages_nc,35,1715,Mouirange - Grand Sud - Ile Ouen
