election,tour,commune_norm,commune,bloc,camp_institutionnel,nb_bureaux,nb_bureaux_geolocalises,inscrits,votants,abstentions,exprimes,voix_bloc,options,pct_exprimes,pct_inscrits
legislatives_2022,1,KOUMAC,Koumac,independantiste,independantiste,2,2,3127,1048,2079,1043,249,Mouvement neo-independantiste et souverainiste | Union caledonienne,23.87,7.96
legislatives_2022,1,KOUMAC,Koumac,loyaliste,anti_independantiste,2,2,3127,1048,2079,1043,765,Debout la France | Generations NC | Rassemblement - LR | Rassemblement national,73.35,24.46
legislatives_2022,1,LAFOA,La Foa,autre,neutre,4,4,3442,1640,1802,1592,49,Construire autrement | Sans etiquette,3.08,1.42
legislatives_2022,1,LAFOA,La Foa,independantiste,independantiste,4,4,3442,1640,1802,1592,349,Mouvement neo-independantiste et souverainiste | Union caledonienne,21.92,10.14
legislatives_2022,1,LAFOA,La Foa,loyaliste,anti_independantiste,4,4,3442,1640,1802,1592,1194,Debout la France | Generations NC | Rassemblement - LR | Rassemblement national,75,34.69
legislatives_2022,1,LIFOU,Lifou,autre,neutre,28,28,10999,3240,7759,3221,44,Construire autrement,1.37,0.4
legislatives_2022,1,LIFOU,Lifou,centriste,anti_independantiste,28,28,10999,3240,7759,3221,178,Caledonie ensemble,5.53,1.62
legislatives_2022,1,LIFOU,Lifou,independantiste,independantiste,28,28,10999,3240,7759,3221,2898,Palika,89.97,26.35
legislatives_2022,1,LIFOU,Lifou,loyaliste,anti_independantiste,28,28,10999,3240,7759,3221,101,Les Patriotes | Mouvement des citoyens francais | Rassemblement - LR | Rassemblement national | Sans etiquette droite,3.14,0.92
legislatives_2022,1,MARE,Maré,autre,neutre,14,14,6948,1279,5669,1274,22,Construire autrement,1.73,0.32
legislatives_2022,1,MARE,Maré,centriste,anti_independantiste,14,14,6948,1279,5669,1274,96,Caledonie ensemble,7.54,1.38
legislatives_2022,1,MARE,Maré,independantiste,independantiste,14,14,6948,1279,5669,1274,1052,Palika,82.57,15.14
legislatives_2022,1,MARE,Maré,loyaliste,anti_independantiste,14,14,6948,1279,5669,1274,104,Les Patriotes | Mouvement des citoyens francais | Rassemblement - LR | Rassemblement national | Sans etiquette droite,8.16,1.5
legislatives_2022,1,MOINDOU,Moindou,autre,neutre,1,1,822,366,456,353,9,Construire autrement | Sans etiquette,2.55,1.09
legislatives_2022,1,MOINDOU,Moindou,independantiste,independantiste,1,1,822,366,456,353,121,Mouvement neo-independantiste et souverainiste | Union caledonienne,34.28,14.72
legislatives_2022,1,MOINDOU,Moindou,loyaliste,anti_independantiste,1,1,822,366,456,353,223,Debout la France | Generations NC | Rassemblement - LR | Rassemblement national,63.17,27.13
legislatives_2022,1,MONTDORE,Mont-Dore,autre,neutre,25,25,22119,7424,14695,7204,317,Construire autrement | Sans etiquette,4.4,1.43
legislatives_2022,1,MONTDORE,Mont-Dore,independantiste,independantiste,25,25,22119,7424,14695,7204,1036,Mouvement neo-independantiste et souverainiste | Union caledonienne,14.38,4.68
legislatives_2022,1,MONTDORE,Mont-Dore,loyaliste,anti_independantiste,25,25,22119,7424,14695,7204,5851,Debout la France | Generations NC | Rassemblement - LR | Rassemblement national,81.22,26.45
legislatives_2022,1,NOUMEA,Nouméa,autre,neutre,56,56,72724,24367,48357,23693,1361,Construire autrement,5.74,1.87
legislatives_2022,1,NOUMEA,Nouméa,centriste,anti_independantiste,56,56,72724,24367,48357,23693,11598,Caledonie ensemble,48.95,15.95
legislatives_2022,1,NOUMEA,Nouméa,independantiste,independantiste,56,56,72724,24367,48357,23693,1543,Palika,6.51,2.12
legislatives_2022,1,NOUMEA,Nouméa,loyaliste,anti_independantiste,56,56,72724,24367,48357,23693,9191,Les Patriotes | Mouvement des citoyens francais | Rassemblement - LR | Rassemblement national | Sans etiquette droite,38.79,12.64
legislatives_2022,1,OUEGOA,Ouégoa,autre,neutre,4,4,2224,550,1674,542,5,Construire autrement | Sans etiquette,0.92,0.22
legislatives_2022,1,OUEGOA,Ouégoa,independantiste,independantiste,4,4,2224,550,1674,542,278,Mouvement neo-independantiste et souverainiste | Union caledonienne,51.29,12.5
legislatives_2022,1,OUEGOA,Ouégoa,loyaliste,anti_independantiste,4,4,2224,550,1674,542,259,Debout la France | Generations NC | Rassemblement - LR | Rassemblement national,47.79,11.65
legislatives_2022,1,OUVEA,Ouvéa,autre,neutre,7,7,4406,718,3688,710,16,Construire autrement,2.25,0.36
legislatives_2022,1,OUVEA,Ouvéa,centriste,anti_independantiste,7,7,4406,718,3688,710,51,Caledonie ensemble,7.18,1.16
legislatives_2022,1,OUVEA,Ouvéa,independantiste,independantiste,7,7,4406,718,3688,710,619,Palika,87.18,14.05
legislatives_2022,1,OUVEA,Ouvéa,loyaliste,anti_independantiste,7,7,4406,718,3688,710,24,Les Patriotes | Mouvement des citoyens francais | Rassemblement - LR | Rassemblement national | Sans etiquette droite,3.38,0.54
legislatives_2022,1,PAITA,Païta,autre,neutre,19,19,15928,5062,10866,4929,170,Construire autrement | Sans etiquette,3.45,1.07
legislatives_2022,1,PAITA,Païta,independantiste,independantiste,19,19,15928,5062,10866,4929,627,Mouvement neo-independantiste et souverainiste | Union caledonienne,12.72,3.94
legislatives_2022,1,PAITA,Païta,loyaliste,anti_independantiste,19,19,15928,5062,10866,4929,4132,Debout la France | Generations NC | Rassemblement - LR | Rassemblement national,83.83,25.94
legislatives_2022,1,POINDIMIE,Poindimié,autre,neutre,7,7,4373,1279,3094,1262,45,Construire autrement | Sans etiquette,3.57,1.03
