"scenario","variable","population_couverte","moyenne","mediane","p75","p90","part_pop_plus_15","part_pop_plus_30"
"Bureaux de vote habituels","bureaux_complets",85976,12.0432498848804,9.56340193225006,13.9774448296479,20.6774689743108,21.252782273662,3.86190088856009
"8 centres regroupés","centres_8",85976,22.7452058971719,19.6479859887719,27.2028653382368,44.7206516181986,69.9485360158784,19.6627759780783
"9 centres regroupés","centres_9",85976,19.6552999657378,17.1295911676566,24.3056974329349,32.4657675012313,60.8982850111097,12.0789953887049
