"scenario_id","scenario","source_id","source_nom","route_id","seg_guid","seg_type","seg_fonction","snap_m","along_from_deb_m","route_length_m","access_deb_m","access_fin_m"
"bureaux_complets","Bureaux de vote habituels","BV0023","Ecole Christine BOLETTI 1",1590,"{9AD8908E-6A88-4278-9AD5-D2840D887BF4}","SP","NC",47.7705896198651,133.542345216894,560.726188070181,181.312934836759,474.954432473152
"bureaux_complets","Bureaux de vote habituels","BV0024","Ecole Christine BOLETTI 2",9701,"{9180A066-8EEB-473D-8426-82995C6DF08F}","VCU","NC",27.7001141509904,0,18.8400483949459,27.7001141509904,46.5401625459362
"bureaux_complets","Bureaux de vote habituels","BV0025","Ecole Michel CACOT 1",5755,"{3E2F3451-2949-42F9-B863-9253619BC484}","VCU","NC",32.2858729448069,0,59.5383812226473,32.2858729448069,91.8242541674542
"bureaux_complets","Bureaux de vote habituels","BV0026","Ecole Michel CACOT 2",3516,"{E2C9AA08-314A-47F0-B702-794C1C50E31F}","VCU","NC",28.9164495557806,70.0118924131244,73.5211902586554,98.9283419689051,32.4257474013116
"bureaux_complets","Bureaux de vote habituels","BV0027","Ex-Ecole Céline TEYSSANDIER DE LAUBAREDE",7810,"{4673595C-C01B-44AD-A3F0-D100513B56F9}","VCU","NC",29.8473820898398,85.4074658324072,134.693001522654,115.254847922247,79.1329177800871
"bureaux_complets","Bureaux de vote habituels","BV0028","Ecole Gustave MOUCHET 1",1516,"{2C4D4E17-5E4D-46E1-889F-24DF1C42EA0D}","SP","NC",36.7638034462797,294.431213457034,343.931087066543,331.195016903314,86.2636770557884
"bureaux_complets","Bureaux de vote habituels","BV0029","Ecole Gustave MOUCHET 2",1516,"{2C4D4E17-5E4D-46E1-889F-24DF1C42EA0D}","SP","NC",39.3383179144725,244.493232182616,343.931087066543,283.831550097088,138.776172798399
"bureaux_complets","Bureaux de vote habituels","BV0030","Ecole Mathilde BROQUET 1",7372,"{64394317-CDC9-4384-9FA1-A17CC6B60C8B}","VCU","NC",22.9539546839494,36.8657398589507,139.473039707875,59.8196945429002,125.561254532873
"bureaux_complets","Bureaux de vote habituels","BV0031","Ecole Marie COURTOT 1",3469,"{85356872-E1D4-4B18-B79D-7CE2FFC08DAA}","VCU","VP",91.0592031297889,18.7936211922095,36.6363445333024,109.852824321998,108.901926470882
"bureaux_complets","Bureaux de vote habituels","BV0032","Ecole Marie COURTOT 2",7343,"{AF757F74-2848-4C99-B11A-E65F4287D58D}","VCU","VP",62.0530397916231,94.4369529489337,104.723681691342,156.489992740557,72.3397685340313
"bureaux_complets","Bureaux de vote habituels","BV0033","Ecole Robert BURCK",5643,"{15A17E81-5F90-4FDD-8468-20D5E5615AE6}","VCU","NC",39.6974096636223,78.7904395805723,137.935716025939,118.487849244195,98.842686108989
"bureaux_complets","Bureaux de vote habituels","BV0034","Ecole Les ROSES",1161,"{FACCDB01-C4E7-445D-8FF4-313C17DA3FAE}","SP","NC",25.8052732611469,247.198090770914,469.338439987606,273.003364032061,247.945622477838
"bureaux_complets","Bureaux de vote habituels","BV0035","Ecole Les OEILLETS",10244,"{2BB07A39-A5A0-4C6C-93EC-E1D58535BDDA}","VCU","NC",41.6977614388132,207.594494537568,217.673274929353,249.292255976381,51.776541830598
"bureaux_complets","Bureaux de vote habituels","BV0036","Ecole Jacques TROUILLOT",5818,"{607000B4-810F-4A16-B185-46D7EE23DE1B}","VCU","NC",10.5240668881442,39.355299792398,54.5262407519873,49.8793666805422,25.6950078477336
"bureaux_complets","Bureaux de vote habituels","BV0037","Ecole LES HIBISCUS 1",9289,"{E237E39C-7885-4FFE-B769-F4BAF6DBA86E}","VCU","NC",37.6340984129613,218.828742448505,248.242103383141,256.462840861466,67.0474593475972
"bureaux_complets","Bureaux de vote habituels","BV0038","Ecole LES HIBISCUS 2",7246,"{852B4ABE-0726-4B8B-8A2B-C8067A489A86}","VCU","NC",22.4042689219773,43.8609373866228,83.9763829118172,66.2652063086001,62.5197144471718
"bureaux_complets","Bureaux de vote habituels","BV0039","Ecole Adrienne LOMONT 1",6057,"{8F34BBC7-158B-4E2D-9750-3C6C021CEBE1}","VCU","NC",63.4005335412194,126.149355925101,126.149355925101,189.54988946632,63.4005335412195
"bureaux_complets","Bureaux de vote habituels","BV0040","Ecole Adrienne LOMONT 2",6057,"{8F34BBC7-158B-4E2D-9750-3C6C021CEBE1}","VCU","NC",24.4355974452305,126.149355925101,126.149355925101,150.584953370332,24.4355974452305
"bureaux_complets","Bureaux de vote habituels","BV0041","Ex-Ecole Gustave LODS 1",734,"{8E43A56C-08DF-4EF0-A348-3595884104A3}","SP","NC",30.2083806762743,75.6073293699337,469.918130473577,105.815710046208,424.519181779917
"bureaux_complets","Bureaux de vote habituels","BV0042","Ex-Ecole Gustave LODS 2",734,"{8E43A56C-08DF-4EF0-A348-3595884104A3}","SP","NC",34.9281405816478,103.244311414209,469.918130473577,138.172451995857,401.601959641015
"bureaux_complets","Bureaux de vote habituels","BV0043","Ecole Daniel TALON",5961,"{C43F584F-0FBE-4217-A49D-F74067065193}","VCU","NC",48.0245579982421,115.619564256069,115.619564256069,163.644122254311,48.0245579982421
"bureaux_complets","Bureaux de vote habituels","BV0044","Ecole Maurice FONROBERT",11133,"{C9E67645-FCC9-436E-A62B-43575CA14F16}","SP","NC",10.1320196610756,4.35660405472043,28.7174265162124,14.488623715796,34.4928421225675
"bureaux_complets","Bureaux de vote habituels","BV0045","Ecole Mathilde BROQUET 2",7372,"{64394317-CDC9-4384-9FA1-A17CC6B60C8B}","VCU","NC",25.912652186451,80.6182055243278,139.473039707875,106.530857710779,84.7674863699979
"bureaux_complets","Bureaux de vote habituels","BV0046","Ecole Yvonne DUPONT 2",875,"{4870AB15-79C0-4A79-B2E8-A5750302500B}","SP","NC",66.7062633894602,301.53051049149,506.01559801735,368.23677388095,271.19135091532
"bureaux_complets","Bureaux de vote habituels","BV0047","Ecole Paul BOYER 2",9648,"{D6029D48-DAD8-4EF0-82E7-ECC9979A4619}","VCU","NC",32.996071251966,44.6450173662734,119.545789012559,77.6410886182394,107.896842898252
"bureaux_complets","Bureaux de vote habituels","BV0048","Ecole Marguerite ARSAPIN",7976,"{33CC0EEA-9654-4036-8DA8-7CD450E5724F}","VCU","NC",18.8284229076826,66.7287473856573,78.4632058008396,85.5571702933399,30.5628813228648
"bureaux_complets","Bureaux de vote habituels","BV0049","Ex-Ecole Les PERVENCHES",9147,"{FC0AEDDE-C457-4F0C-984F-F1BF288DA657}","VCU","NC",48.8411157019251,0,21.4212414076092,48.8411157019251,70.2623571095343
"bureaux_complets","Bureaux de vote habituels","BV0050","Ecole Albert PERRAUD",5859,"{882DE0AE-D474-41B5-B68C-3C91FC30CF7A}","VCU","NC",26.8479569891851,140.169370806697,202.649463869801,167.017327795882,89.3280500522884
"bureaux_complets","Bureaux de vote habituels","BV0051","Ecole Michel AMIOT",9592,"{F23B285E-001B-4914-8CAF-4CE9A448C3AF}","VCU","NC",46.8773123523062,48.2130563459994,100.002779448678,95.0903686983056,98.6670354549849
"bureaux_complets","Bureaux de vote habituels","BV0052","Ecole Charles BICHON",1153,"{EF548E37-83BA-4915-B1D4-E7E06A139E01}","SP","NC",39.8508565944897,43.4331675704503,274.387800066332,83.28402416494,270.805489090371
"bureaux_complets","Bureaux de vote habituels","BV0053","Ecole Les LYS",7704,"{54CF723C-84E0-4F6C-AD3B-B30F98593C61}","VCU","NC",24.2327236304381,22.4988286341752,48.9633398372128,46.7315522646134,50.6972348334757
"bureaux_complets","Bureaux de vote habituels","BV0054","Ecole Céline TEYSSANDIER DE LAUBAREDE",3819,"{46F30CB7-7067-41D1-ADF9-A10CBBF20072}","VCU","VL",83.9738778642022,84.3117218526345,174.975602603413,168.285599716837,174.637758614981
