province;commune;num_bv;bv;inscrits;votants;abstention;nuls;blancs;exprimes;oui;non
Province des Iles;Lifou;3;Drueulu;530;384;146;5;0;379;362;17
Province des Iles;Lifou;6;Hmelek;502;306;196;7;0;299;247;52
Province des Iles;Lifou;7;Mou;435;289;146;5;1;283;214;69
Province des Iles;Lifou;8;Hnathalo;483;385;98;3;1;381;350;31
Province des Iles;Lifou;9;Hnacaöm;148;107;41;1;1;105;76;29
Province des Iles;Lifou;10;Siloam;238;186;52;2;2;182;167;15
Province des Iles;Lifou;11;Wasany;283;190;93;0;0;190;162;28
Province des Iles;Lifou;17;Huiwatrul;342;245;97;2;1;242;216;26
Province des Iles;Lifou;22;Hunëtë;156;111;45;0;0;111;104;7
Province des Iles;Lifou;24;Hnanemuhaetra;116;80;36;0;1;79;64;15
Province des Iles;Lifou;27;Lieu de vote délocalisé n°1 de Lifou à Nouméa;846;784;62;2;3;779;684;95
Province des Iles;Lifou;30;Lieu de vote délocalisé n°4;748;696;52;1;0;695;612;83
Province des Iles;Maré;4;Atha;259;188;71;0;1;187;172;15
Province des Iles;Maré;13;La Roche;551;403;148;4;0;399;360;39
Province des Iles;Maré;15;Lieu de vote délocalisé de Maré à Nouméa n°1;742;676;66;4;2;670;583;87
Province des Iles;Maré;16;Lieu de vote délocalisé de Maré à Nouméa n°2;781;713;68;0;3;710;638;72
Province Sud;Mont-Dore;3;École primaire Adolphe BOUTAN;747;684;63;6;17;661;119;542
Province Sud;Mont-Dore;6;École primaire du Vallon Dore;725;636;89;10;12;614;114;500
Province Sud;Mont-Dore;7;Ouara;101;86;15;0;0;86;79;7
Province Sud;Mont-Dore;13;École maternelle Les Fougères;419;357;62;1;0;356;94;262
Province Sud;Mont-Dore;14;École maternelle Les Dauphins;765;683;82;9;4;670;130;540
Province Sud;Mont-Dore;15;École maternelle Les Coccinelles;1071;934;137;18;5;911;279;632
Province Sud;Mont-Dore;16;École Saint-Joseph de CLUNY;1003;895;108;9;8;878;334;544
Province Sud;Mont-Dore;17;École primaire Louis Henri GALINIE 2;806;688;118;7;2;679;118;561
Province Sud;Mont-Dore;25;Groupe scolaire de Yahoué;756;648;108;3;5;640;175;465
Province Sud;Nouméa;3;École Frédéric SURLEAU;693;591;102;2;0;589;84;505
Province Sud;Nouméa;4;École Marguerite LEFRANCOIS;640;574;66;0;2;572;22;550
Province Sud;Nouméa;15;École les CAPUCINES;752;676;76;6;3;667;57;610
Province Sud;Nouméa;18;École Emily PANNE 1;772;668;104;3;2;663;72;591
Province Sud;Nouméa;19;École Emily PANNE 2;866;703;163;4;5;694;129;565
Province Sud;Nouméa;20;École Antoinette CHARBONNEAUX;771;721;50;1;2;718;31;687
Province Sud;Nouméa;27;École Céline TEYSSANDIER de LAUBAREDE;1001;790;211;6;6;778;356;422
Province Sud;Nouméa;30;École Mathilde BROQUET 1;1098;935;163;9;3;923;254;669
Province Sud;Nouméa;31;École Marie COURTOT 1;1182;1011;171;9;9;993;263;730
Province Sud;Nouméa;33;École Robert BURCK;1039;876;163;4;7;865;351;514
Province Sud;Nouméa;34;École les ROSES;942;810;132;9;7;794;255;539
Province Sud;Nouméa;38;École Mauricette DEVAMBEZ 2;1062;935;127;6;4;925;254;671
Province Sud;Nouméa;40;École Adrienne LOMONT 2;1292;1074;218;7;7;1060;280;780
Province Sud;Nouméa;42;École Gustave LODS 2;1209;996;213;8;7;981;333;648
Province Sud;Nouméa;47;École Paul BOYER 2;716;644;72;3;2;639;31;608
Province Sud;Nouméa;48;École Marguerite ARSAPIN;942;782;160;8;5;769;277;492
Province Sud;Nouméa;49;École les PERVENCHES;860;777;83;6;2;769;76;693
Province Sud;Nouméa;53;École les LYS;679;617;62;1;6;610;33;577
Province Sud;Nouméa;55;École Serge LAIGLE;932;873;59;2;6;865;30;835
Province Nord;Ouégoa;2;Bondé;832;734;98;12;1;721;708;13
Province des Iles;Ouvéa;2;Fayaoué;661;422;239;3;5;414;322;92
Province des Iles;Ouvéa;5;Wénéki;631;436;195;3;0;433;401;32
Province des Iles;Ouvéa;6;Ognahut;344;202;142;2;2;198;158;40
Province des Iles;Ouvéa;9;Lieu de vote délocalisé n°2;564;525;39;0;0;525;469;56
Province Sud;Païta;1;Dock socio-culturel 1;599;480;119;2;1;477;155;322
Province Sud;Païta;2;Dock socio-culturel 2;725;615;110;3;4;608;142;466
Province Sud;Païta;3;Dock socio-culturel 3;594;525;69;1;2;522;123;399
Province Sud;Païta;6;Mairie;767;675;92;3;0;672;373;299
Province Sud;Païta;7;École Vi Vete;771;673;98;4;6;663;154;509
