"comparaison","variable","moyenne","mediane","p75","p90","part_pop_plus_5","part_pop_plus_10","part_pop_baisse"
"8 centres - bureaux habituels","delta_8_vs_full",10.7019560122914,8.66252957371148,15.583801620344,24.7658665966919,67.1319239270127,43.8315582024679,14.6120415192511
"9 centres - bureaux habituels","delta_9_vs_full",7.61205008085737,6.32590534972856,12.3764302318703,19.9470423709747,57.247905957952,31.5424389194238,21.632462836141
"9 centres - 8 centres","delta_9_vs_8",-3.08990593143408,0,0,0,0.00333571490023386,0,16.9257957021765
