PopGIS3 - Nouvelle Calédonie; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Référentiel géographique : iris; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Code;Libellé;Répartition en 6 cat. de la CSP (Agri, artis, cadre, prof int, employé, ouvrier) - agriculteurs-pêcheurs;Répartition en 6 cat. de la CSP (Agri, artis, cadre, prof int, employé, ouvrier) - d'artisans-commerçants;Répartition en 6 cat. de la CSP (Agri, artis, cadre, prof int, employé, ouvrier) - cadres;Répartition en 6 cat. de la CSP (Agri, artis, cadre, prof int, employé, ouvrier) - professions intermédiaires;Répartition en 6 cat. de la CSP (Agri, artis, cadre, prof int, employé, ouvrier) - employés;Répartition en 6 cat. de la CSP (Agri, artis, cadre, prof int, employé, ouvrier) - ouvriers;% employés et ouvriers;% salariés du privé;% salariés du public;% CDD (Contrat à Durée Déterminée);% CDI (Contrat à Durée Indéterminée);% actifs à temps complet;% actifs à temps partiel;% travail en continu;% travail saisonnier;% mode principal de transport = marche à pied;% mode principal de transport = voiture;% mode principal de transport = transport en commun;% ménages sans véhicules;% propriétaires;% locataires;% locataires gratuit;% locataires social;% locataires privés;% logements < 40 m²;% logements < 80 m²;% logements < 120 m²;% logements > 160 m²;% ménages raccordés au réseau d'électricité;% ménages non raccordés au réseau d'électricité;% de ménages avec point d'eau courante individuelle;% ménages réfrigérateur;% ménages machine à laver;% ménages accès à internet;Taux de navetteurs sortant;Taux d'activité (15-64 ans);Taux d'emploi;Taux de chômage;% travailleurs indépendants;% pers. ne résidant pas en Nouvelle Calédonie en 2014;% pers. résidant dans une autre commune en 2014;% pers. résidant dans la même commune en 2014;% pers. seules;% couples sans enfant(s);% couples avec enfant(s);% familles monoparentales;% ménages complexes
1811;Faubourg Blanchot;6;166;273;402;317;185;37.2;52.2;28.2;16.8;63.7;89;11;94.1;5.9;20.1;76.7;5;22.2;49.7;45.3;5;4.7;40.6;16.5;37.1;31.1;15.3;99.5;0.5;99.1;98.2;94.3;78;0.1;78.8;74.3;5.7;19.6;22;5.6;72.4;32.9;24.4;26.9;9;6.8
1812;Quartier Latin - Vallée du Génie;3;155;276;388;416;219;43.6;52.7;31.6;20.2;64.1;89.5;10.5;94;6;38;55.6;7.1;33.7;31.4;66.4;2.2;4.8;61.6;31.1;45.5;17.7;5.7;99.7;0.3;99.5;99.2;90.2;74.5;0.1;80.9;75.6;6.6;15.6;24;17.6;58.5;40.9;23;20.4;9.2;6.5
1813;Vallée des Colons Sud Ouest;2;139;276;364;233;112;30.6;46.7;29.1;12;63.9;88.8;11.2;94.9;5.1;14.6;79.3;7.9;24.5;54.5;41.5;3.9;11.3;30.2;18.4;32.4;32.4;16.9;98.8;1.2;98.7;98.1;87.9;72.1;0.1;75.1;70.9;5.5;24.2;10.2;8;81.8;40.1;20.8;24.2;7.5;7.4
1814;Vallée des Colons Sud Est;1;233;356;474;251;145;27.1;44.7;29.2;11.9;62;91.4;8.6;96.9;3.1;9.4;89.4;3;15.2;61.9;35.5;2.6;4;31.5;6.2;31.8;37.3;24.7;99.1;0.9;98.7;98.6;95.8;85.2;0.1;78.3;75;4.3;26.1;13.1;5.4;81.6;27.7;29.1;26.1;8.1;8.9
1815;Magenta Ouest;0;132;199;323;197;36;26.3;42.6;37.7;16.5;63.8;90.3;9.7;94.3;5.7;10.7;88.4;2.2;13.6;56.5;40.1;3.4;12.1;28;5.3;31.8;41.2;21.7;99.2;0.8;98.5;99.2;98.7;93.1;0.1;77.9;75;3.7;19.7;15.1;8.6;76.3;38;23.4;23.5;8.8;6.3
1816;Magenta Tours;2;26;6;88;342;238;82.6;74.2;20.5;23.8;70.9;77.9;22.1;85.2;14.8;32.8;35.7;34.2;71.9;1.4;98.3;0.3;98.3;0;31.6;66.3;2;0.1;99;1;98.6;97.5;84.6;32.5;0.1;68.6;55;19.9;5.3;1.1;12.8;86.1;30.2;9.4;29.3;13;18.2
1817;Magenta Est;5;226;347;482;349;208;34.4;56.1;24.9;17.4;63.6;89.4;10.6;94.5;5.5;8.2;81.4;11.7;24.6;49;47.2;3.8;16.7;30.4;11.3;38.2;34.4;16.1;98.6;1.4;99.5;98.5;92.5;76.1;0.1;77;71.5;7.1;19;10.8;10.1;79.2;37.2;23.1;22.6;7.2;9.9
1818;Ouémo;2;120;262;285;96;50;17.9;40.1;36.3;10.6;65.9;93.1;6.9;98;2;5.9;93.7;2;11.9;55.1;40.8;4.1;7.5;33.3;5.1;27.4;42.3;25.2;99.7;0.3;100;100;98.9;90.7;0.2;82.1;80.3;2.2;23.6;17.2;4.3;78.5;31.8;29;28;6.2;4.9
1819;Haut Magenta;1;201;217;279;263;106;34.6;41.3;31;19.1;53.2;90.5;9.5;95.9;4.1;6.5;85.8;9.4;22.3;52;45.6;2.4;11.6;34;11.6;40.4;28.5;19.5;99.6;0.4;98.3;96.5;96.2;80.2;0.1;78.7;74.9;4.8;27.6;11.1;6.9;82;29.1;22.1;28.8;8.5;11.5
1820;Vallée des Colons Nord Est;3;120;181;311;228;172;39.4;54.6;27.9;18.6;63.8;91.1;8.9;95.1;4.9;12.6;77.7;11.8;22.6;50;49.1;0.9;20.9;28.3;9.6;39;28.4;23;100;0;99.8;99;96.9;76.4;0.1;76.1;69.2;9.1;17.5;8.6;6.7;84.7;30.1;20.4;26.7;11.2;11.6
1821;Vallée des Colons Nord Ouest;0;73;144;190;189;72;39.1;46;36.2;19.5;62.7;89.8;10.2;96.6;3.4;17.7;73.7;10.2;15.5;49.1;46.8;4.1;10.9;35.9;10.4;44.2;28.2;17.3;100;0;99.8;99.7;94.3;78.9;0.1;69.1;65.5;5.2;17.8;19.6;10.6;69.8;31.6;24;28.3;9;7.1
1822;Centre ville;4;122;161;297;471;211;53.9;60.3;24.6;22.3;62.6;85;15;91.5;8.5;43.7;45.5;11.7;41.6;13.2;81.9;4.8;5.3;76.7;32.2;52;10;5.9;99.7;0.3;99.6;98.1;87;64.2;0.1;76.2;68.4;10.1;15.1;18;18.6;63.4;46;21.1;15.6;8.7;8.5
1823;Nouville;2;37;53;111;248;237;70.5;70.8;22.2;46.8;46.2;75.6;24.4;87.9;12.1;13.6;36.7;50.7;73.2;11.2;70.8;17.9;64;6.9;76.4;13.7;8.6;1.4;73.6;26.4;94.9;80.1;19.3;72.4;0.1;32.8;23.4;28.6;7;12.6;25.5;61.8;62.8;9.9;12.7;3;11.6
1824;Vallée du Tir;1;57;53;116;297;238;70.2;70.3;16.7;26;61;82.2;17.8;90.3;9.7;27.9;45.9;28;48.8;29;69.1;1.9;33.1;36;46.5;28.8;15.2;9.5;99;1;98.6;95.4;81.2;44.7;0.1;74.3;59.7;19.7;13;3;12.1;84.9;30.6;16.3;23;14.3;15.8
1825;Doniambo - Montagne coupée - Montravel;0;19;8;14;73;23;70.1;46;23.4;29.2;40.1;67.9;32.1;94.2;5.8;53.9;38.8;7.6;35.4;41.8;53.2;5.1;0;53.2;27.8;36.7;29.1;6.3;100;0;98.7;97.5;89.9;58.2;0.1;63.6;46.6;26.7;30.7;2.3;16;81.8;36.7;16.5;24.1;7.6;15.2
1826;Portes de Fer - Sud;10;220;279;516;446;303;42.2;56.1;26.2;18.9;63.4;90.2;9.8;94.5;5.5;11;78.8;12.2;33.8;47.1;50.8;2.2;31.6;19.1;10.4;37.4;36.4;15.8;99.8;0.2;98.1;99.3;97;74.6;0.1;77.8;71.5;8;17.7;7.4;7;85.6;31.2;21.8;23.5;10.6;12.9
1827;Aérodrome Sud;4;93;136;307;429;347;59;65.9;22.9;24.3;64.4;88.1;11.9;94.2;5.8;14.7;65;22.2;33.9;20.4;79;0.6;62.3;16.7;21.5;49.3;23.2;6;99.6;0.4;99.8;98.4;95.3;61.3;0.2;76;66.1;13;11.2;5.8;7.8;86.4;33.3;15.2;23.6;12.4;15.5
1828;Portes de Fer - Nord;2;44;40;154;327;336;73.4;74.9;21.2;33.2;62.8;86;14;92.7;7.3;17.2;42.2;42.2;52;25.1;69.3;5.6;47;22.3;41.3;43;11.4;4.4;91.3;8.7;96.5;92.7;87.2;39.4;0.1;68.5;55.2;19.4;4;3.5;9.4;87.1;18.6;12.4;26.1;15.4;27.6
1829;PK 4;2;75;76;198;345;315;65.3;71.3;18.9;20.4;69.8;85.9;14.1;91.9;8.1;8;66.5;27.7;31;29.6;67.9;2.5;59.3;8.7;15.8;45.2;30.6;8.4;99.1;0.9;98.9;98.9;94.2;57.7;0.2;74.4;64.3;13.6;9.8;3.9;9.7;86.3;19.2;15.6;30.4;15.5;19.3
1830;Aérodrome Nord;0;58;84;152;153;78;44;54.5;31.6;21.9;64.2;90.9;9.1;93;7;12;79;11;21.1;49;49.6;1.4;40.3;9.3;5.5;25.2;50.1;19.2;98.9;1.1;83.8;99.2;98.1;77.5;0.2;71;65.3;8.1;13.9;5.4;11.3;83.3;15.3;17.5;37.5;13.2;16.4
1831;PK 6 Sud;1;76;94;139;68;94;34.3;51.1;22.2;16.7;56.6;89.2;10.8;92.6;7.4;3.9;77.6;20.1;22.2;53.7;23;23.3;0;23;14.6;25.5;28.2;31.7;77.5;22.5;96.5;79.7;78.9;75.6;0.2;77.2;67.8;12.1;26.7;6.6;7.7;85.8;16.8;33.6;32.5;6.2;10.8
1832;Zone industrielle Ducos;3;28;6;47;143;218;81.1;80.2;9.7;35.5;54.4;79.8;20.2;86.3;13.7;26.1;52.1;24.7;42;30.8;33.9;35.3;7.3;26.6;42;45.4;10.9;1.7;66.9;33.1;92.4;73.4;59.4;26.3;0.2;74.3;53.4;28.1;10.1;1.7;9;89.3;21;17.9;26.3;6.4;28.3
1833;Riviére Salée Sud;0;61;56;144;244;143;59.7;70.2;20.8;26.9;64.2;90.4;9.6;96;4;17.4;67.9;16.2;30.4;82.8;14.8;2.4;9.7;5.1;14.4;32;42.4;11.2;100;0;100;99.6;99.4;68.4;0.1;70.4;59.5;15.5;9;0.9;6.7;92.5;16;18.9;18.9;5.5;40.8
1834;PK 6 Nord;5;84;102;306;266;193;48;56.4;26.7;13.9;69.1;88.9;11.1;93.5;6.5;4.7;84.2;12.4;14.1;52.4;44.4;3.2;8.5;35.9;6.8;46.1;36.7;10.4;99.7;0.3;99.9;99.3;98.6;74.1;0.2;77.5;70.5;9;16.9;8.3;10.3;81.4;26.1;26.3;22.7;10.1;14.7
1835;Tina;0;162;203;257;115;47;20.7;38.3;32.5;7.7;63.1;91.2;8.8;97.1;2.9;3.6;96.8;1.5;4.4;87.1;10.1;2.8;0;10.1;1.8;10.1;35.1;53.1;99.8;0.2;99.3;99.1;98.9;97.2;0.2;75.8;74.2;2.1;29.2;9;3.6;87.4;11.6;31.9;43.7;4.9;7.8
1836;PK 7 Est;4;33;173;186;194;174;48.2;57.7;33.2;33.5;57.5;88;12;96.2;3.8;7.1;77.4;17.1;23.1;45.6;52.1;2.3;30.1;22;8.9;38.1;37.4;15.6;99.8;0.2;100;98.7;96.1;66.2;0.2;77.3;68.3;11.7;9;2.9;12.5;84.5;20.9;19;28.8;12.5;18.8
1837;PK 7 Ouest;3;132;162;398;325;207;43.4;58.9;24.3;14;69.2;90.1;9.9;93.1;6.9;9.7;82.5;9.1;17.3;47.3;51.2;1.5;12.1;39.1;11.5;43.7;29.3;15.5;99.6;0.4;99.8;98.9;94.8;77.1;0.2;79.3;73.2;7.7;16.8;7.1;13.1;79.7;29.2;26;24.2;10;10.6
1838;Riviére Salée Nord Est;10;95;76;211;404;419;67.7;69.4;19.4;25.7;63.1;85.9;14.1;91.9;8.1;15.8;61.5;25;35.5;51.9;43.8;4.4;38.3;5.5;11.4;26.2;44.9;17.4;99.1;0.9;97.7;98.9;94.5;60.6;0.1;67.2;54.8;18.6;11.2;1.6;7.9;90.5;16.7;16.6;28.2;8.6;29.9
1839;Normandie Sud;3;59;258;325;282;125;38.7;58.7;34.6;34.2;59.1;93.5;6.5;98.3;1.7;9.2;74.6;18.9;25;27.4;50.8;21.9;40.4;10.4;11;48.9;30.1;10;96.5;3.5;94.7;96.3;92.7;69.3;0.2;79;75.8;4;6.7;19.8;7.3;72.9;17.7;15.2;39.7;11.4;16
1840;Normandie Nord;1;40;36;143;199;170;62.6;68.4;21.1;16.6;72.8;85.1;14.9;90.5;9.5;5.8;80.9;15.7;20.4;55.6;39.7;4.7;22.8;16.9;4.5;37.1;51.6;6.8;100;0;100;98.8;97.7;71.1;0.2;71.4;62.3;12.7;10.5;3.5;13.4;83.1;18.5;12.4;38.3;12.4;18.3
1841;Riviére Salée Nord Ouest;1;47;45;161;250;177;62.7;65.8;24.1;22.8;67.1;86.6;13.4;91.6;8.4;21.8;58.6;21.3;37.4;52.4;44.4;3.2;31.9;12.5;33.5;29.9;31.6;5.1;99.6;0.4;99.4;99.1;97.9;58.6;0.2;69.9;57.9;17.3;10.1;2.5;9.4;88.1;11.3;14.4;27.6;10.8;35.9
1842;Ducos;4;58;36;109;263;314;73.6;73;14.8;20.8;67;81.9;18.1;90.2;9.8;13.7;66.6;22.5;40;45.8;40.3;13.9;25.6;14.7;23.7;45;24.8;6.5;98.5;1.5;99.5;97.7;92.2;50.2;0.1;68;54.9;19.2;12.2;1.7;7.7;90.6;18.1;16.5;31.6;10.1;23.7
1843;Logicoop;4;42;32;96;151;134;62.1;68.2;19.6;20.7;67.1;88;12;90;10;9.7;72.6;20;27.8;65.3;31.1;3.6;22.1;9;9.5;35.2;41.3;14;98.1;1.9;97.6;98.3;96.9;57.2;0.1;67.9;58.9;13.2;12.2;2.1;7.1;90.8;20.4;18.1;28.3;10.9;22.3
1844;Kaméré;2;98;45;140;455;443;75.9;74;16.5;25.1;65.3;81.1;18.9;88.8;11.2;24.4;55.9;22.7;37.9;32.3;66.2;1.5;63.5;2.7;10;44.4;39.5;6.2;98.6;1.4;98.6;98.6;95.2;44.5;0.1;69.4;54.9;20.9;9.6;0.9;6.6;92.5;10.7;10.6;39;12.3;27.4
1845;Tindu - Numbo - Koumourou;2;17;5;45;164;229;85.1;78.1;15.6;29.2;64.5;74.9;25.1;79.9;20.1;17;40.7;44.9;49.6;32.5;60;7.5;51.6;8.4;14.2;35.4;33.3;17.1;90.4;9.6;90.1;87.2;78.8;24.3;0.2;68.9;48.7;29.4;6.3;1.5;9.1;89.4;12.8;8.4;34.8;9.3;34.8
1901;Ouégoa village - Balagam - Paraoua - Tarap;53;30;3;33;68;92;57.3;46.6;20.4;23.7;43.4;77.4;22.6;82.1;17.9;36.3;65.6;0;34.9;82.2;8.7;9.1;0;8.7;34.2;20.4;25.5;20;92.7;7.3;97.1;87.6;81.5;37.1;0.2;69.3;53.2;23.1;33;1.8;6;92.2;26.2;16.7;28;7.6;21.5
1902;Pam - Tiari;10;9;0;9;8;18;48.1;40.7;18.5;24.1;35.2;70.4;29.6;74.1;25.9;50.3;51.4;1.1;40.6;94.2;2.9;2.9;0;2.9;44.9;34.8;13;7.2;76.8;23.2;91.3;85.5;58;10.1;0.3;60.1;35.3;41.3;40.7;0.9;19.2;79.8;24.6;11.6;21.7;15.9;26.1
1903;Bondé;116;15;1;22;45;94;47.4;42.3;12.6;24.6;30.4;48.5;51.5;49.5;50.5;58.7;42.5;2;53.1;98.7;1.3;0;0;1.3;45.6;32.1;17.3;5;78.6;21.4;93.4;69.8;43.1;3.1;0.3;72.8;38.2;47.6;45.1;0.2;6.1;93.7;19.5;6.6;38.1;11.3;24.5
2001;Saint Joseph Gossanah Takedji;113;13;8;39;61;39;36.6;23.4;22.3;16.1;29.7;51.3;48.7;56.8;43.2;58.8;37.2;7.1;49.8;98.9;0;1.1;0;0;47.3;34.4;14.7;3.6;88.5;11.5;69.5;81.7;50.5;12.5;0.1;54.7;45.4;17;54.2;0.4;12.3;87.2;20.4;10.4;32.6;10;26.5
2002;Fayaoué;67;64;33;86;132;154;53.4;45.1;25.6;27.2;43.5;67;33;72.9;27.1;66.8;33.5;2;57.3;91.7;4.2;4.2;0;4.2;41.8;33.6;20.2;4.3;90.9;9.1;90.7;81.5;55;20.2;0.1;67.7;43.5;35.7;29.3;1.5;12.6;85.9;22.9;9.8;33.1;7.6;26.7
2003;Mouli;18;34;4;19;49;33;52.2;42;23.6;33.1;32.5;69.4;30.6;72;28;60.7;37.2;3.9;52.5;97.5;0;2.5;0;0;76.2;19.4;4.4;0;81.2;18.8;27.5;73.8;43.8;5;0.1;60.5;40.8;32.6;34.4;1.5;10.5;88;18.1;8.8;32.5;5;35.6
201;Boulouparis village;39;104;59;113;168;184;52.8;58.2;21.1;22.6;56.7;86.4;13.6;91.8;8.2;10.7;88.6;2.4;17.4;76.4;15.1;8.5;4;11.1;9.3;29.3;39.7;21.6;94.5;5.5;97.7;98.1;93.6;59;0.4;64.8;58.9;9.1;20.7;3.2;21.1;75.7;23.4;37.9;24.1;5.6;8.9
204;Tomo-Ouinané;30;46;6;41;106;141;66.8;70;12.4;25.7;56.8;79.7;20.3;84.6;15.4;12;80.2;9.1;23.9;81.3;8.8;10;0;8.8;8.5;30.8;44.7;16;82.5;17.5;76.7;87.6;82.5;41.7;0.5;70.5;60.3;14.5;17.6;1.4;14.5;84.2;22.4;28.4;25.7;6.3;17.2
205;Nassirah;14;11;3;11;58;86;78.7;72.1;16.9;32.8;56.3;80.3;19.7;77;23;31.4;67.3;3.7;35.8;91.6;3.9;4.5;0;3.9;35.8;46.4;12.8;5;76;24;91.1;78.2;72.6;15.1;0.3;72.6;42.9;41;10.9;0.5;5.8;93.7;18.4;12.3;42.5;4.5;22.3
2101;Paita centre;2;93;34;171;420;360;72.2;70.7;19.4;26.5;63.6;85;15;90.6;9.4;23.6;65.9;12.9;29.1;71.1;25.5;3.5;16.4;9;8.3;22.7;55.9;13.1;97.8;2.2;94.9;97.5;94.6;58;0.5;63.2;56;11.5;9.9;3.5;10.4;86.2;14;12.7;29.8;5.7;37.8
2102;Scheffleras;7;97;50;366;502;532;66.5;74.1;19.8;20.3;73.6;92.3;7.7;95.1;4.9;9.9;75.3;17.9;15.9;83.4;16;0.7;12.8;3.1;1.3;23.6;69.8;5.3;100;0;94.6;100;99.6;74.4;0.7;72.3;63.1;12.7;6.1;1.4;37.4;61.2;6.8;8.8;50.8;8;25.5
2103;Nogouta-Les 3 Vallées;9;168;110;379;432;334;53.5;57.7;26;12.3;71.4;93.3;6.7;96.7;3.3;5.4;92.2;5.6;12.9;67.1;31.2;1.7;7.3;23.9;2.4;19.1;61.2;17.3;99;1;97.6;99.1;97.3;81;0.7;76.7;71.7;6.4;16.3;7.6;37.3;55.1;8.4;13.9;57.3;6.5;13.9
2104;Ondémia Port Laguerre;11;151;134;473;517;394;54.2;60.9;25.2;14.6;71.5;91.8;8.2;95.5;4.5;5;89.9;8.4;18.2;80.3;17.2;2.5;10.9;6.3;2.2;14.9;61.9;21.1;99.1;0.9;98.7;98.9;97.5;75.8;0.6;73.2;66.3;9.4;13.9;3.5;26.3;70.2;9.3;17.1;48.8;7.3;17.5
2105;N'Dé Naniouni;11;11;1;30;80;73;74.3;70.4;16;43.7;42.7;85.4;14.6;89.3;10.7;28.6;53.2;19.9;54.1;93.7;0;6.3;0;0;17;31.4;41.5;10.1;88.7;11.3;98.1;85.5;75.5;18.9;0.3;67.8;57.7;14.9;13.6;0.9;1.5;97.6;25.8;7.5;31.4;14.5;20.8
2106;Tamoa Bangou Saint Laurent;7;83;19;113;232;250;68.5;63.5;20.3;19.7;64.1;87.6;12.4;92.5;7.5;8.5;79.8;13.8;23.3;89.7;5.3;5;0.7;4.6;15.6;24.3;40.1;20;97.1;2.9;96.3;95.4;91.7;52;0.5;69.4;60.6;12.8;16.2;2.1;12.6;85.3;16.9;18.9;38.6;5.5;20
2107;Tontouta Tiaré;11;136;67;205;326;169;54.2;51.1;30;12.1;68.9;89.2;10.8;96.4;3.6;6;91.5;5.1;19.4;65.2;28.2;6.6;5.2;23;6;22;43.1;29;97.2;2.8;93.6;97.8;94.6;73.2;0.3;75.9;70.5;7.1;18.9;9.3;22.2;68.5;17.2;33.2;36.7;4.9;8
2108;Mont Mou;11;135;104;324;398;330;55.9;55.3;28.5;19.6;64.2;93.1;6.9;96.2;3.8;7.7;89.2;5.1;18;84.5;12;3.5;1.6;10.4;2.5;18.2;52;27.3;98.4;1.6;88;99.2;98.2;78.4;0.5;74.2;69.3;6.6;16.2;4;29.2;66.8;15.1;19.1;44.6;5.4;15.9
2109;Humbolt;0;0;0;0;0;0;N/A - division par 0;N/A - division par 0;N/A - division par 0;N/A - division par 0;N/A - division par 0;N/A - division par 0;N/A - division par 0;N/A - division par 0;N/A - division par 0;N/A - division par 0;N/A - division par 0;N/A - division par 0;N/A - division par 0;N/A - division par 0;N/A - division par 0;N/A - division par 0;N/A - division par 0;N/A - division par 0;N/A - division par 0;N/A - division par 0;N/A - division par 0;N/A - division par 0;N/A - division par 0;N/A - division par 0;N/A - division par 0;N/A - division par 0;N/A - division par 0;N/A - division par 0;N/A - division par 0;N/A - division par 0;N/A - division par 0;N/A - division par 0;N/A - division par 0;N/A - division par 0;N/A - division par 0;N/A - division par 0;N/A - division par 0;N/A - division par 0;N/A - division par 0;N/A - division par 0;N/A - division par 0
2110;Savannah - Nouré;2;245;226;602;562;309;44.8;56.1;27.9;12.9;71;93.7;6.3;96.6;3.4;3.4;95.5;3.4;18.1;65.3;32.3;2.4;4.7;27.6;1.7;10.2;60.5;27.6;99.3;0.7;98.8;99.8;98.9;86.5;0.7;79.8;75.4;5.5;16;8.8;36.2;55;9.6;19.8;54.5;6.5;9.7
2111;Baie Maa;N/A;N/A;N/A;N/A;N/A;N/A;N/A - résultat non disponible;N/A - résultat non disponible;N/A - résultat non disponible;N/A - résultat non disponible;N/A - résultat non disponible;N/A - résultat non disponible;N/A - résultat non disponible;N/A - résultat non disponible;N/A - résultat non disponible;N/A - résultat non disponible;N/A - résultat non disponible;N/A - résultat non disponible;N/A - résultat non disponible;N/A - résultat non disponible;N/A - résultat non disponible;N/A - résultat non disponible;N/A - résultat non disponible;N/A - résultat non disponible;N/A - résultat non disponible;N/A - résultat non disponible;N/A - résultat non disponible;N/A - résultat non disponible;N/A - résultat non disponible;N/A - résultat non disponible;N/A - résultat non disponible;N/A - résultat non disponible;N/A - résultat non disponible;N/A - résultat non disponible;N/A - résultat non disponible;N/A - résultat non disponible;N/A - résultat non disponible;N/A - résultat non disponible;N/A - résultat non disponible;N/A - résultat non disponible;N/A - résultat non disponible;N/A - résultat non disponible;N/A - résultat non disponible;N/A - résultat non disponible;N/A - résultat non disponible;N/A - résultat non disponible;N/A - résultat non disponible
2201;Poindimié village;3;40;42;206;131;85;42.6;35.9;52.5;29.4;59;91.9;8.1;94.9;5.1;34.8;65.1;1.9;17.9;41.1;49.9;9.1;11.3;38.5;9.1;36.3;37;17.6;99.5;0.5;99.7;99.2;94.5;80.6;0.2;71.8;63.2;12;11.6;12.6;12.7;74.7;30.2;14.4;34.8;7.8;12.8
2202;Tiéti - Tyé;42;20;18;74;151;139;65.3;63.1;23;35.1;50.9;73.6;26.4;75.9;24.1;47.1;47.6;7.7;48.5;93.1;4.5;2.4;0.2;4.3;51.3;34.1;10.8;3.8;88.5;11.5;97.1;79.9;53.4;34.4;0.3;59.5;31.9;46.5;14;0.6;5.4;94;24.8;7.7;29.4;9.3;28.7
2204;Tibarama - Bayes - Ouindo - Ometteux - Napoém;35;30;15;51;163;130;69.1;59;21.5;28.5;51.9;64.9;35.1;73.1;26.9;47.7;46.3;8.8;59;94.7;3.9;1.4;0.4;3.5;36.9;39.6;18;5.5;90.3;9.7;94;85.5;57.4;46.8;0.2;56.6;34.1;39.7;19.6;0.3;5.2;94.5;27.2;8.8;30.9;9.9;23.1
2205;Goro Até - Goro Jé;0;0;0;0;0;0;N/A - division par 0;N/A - division par 0;N/A - division par 0;N/A - division par 0;N/A - division par 0;N/A - division par 0;N/A - division par 0;N/A - division par 0;N/A - division par 0;N/A - division par 0;N/A - division par 0;N/A - division par 0;N/A - division par 0;N/A - division par 0;N/A - division par 0;N/A - division par 0;N/A - division par 0;N/A - division par 0;N/A - division par 0;N/A - division par 0;N/A - division par 0;N/A - division par 0;N/A - division par 0;N/A - division par 0;N/A - division par 0;N/A - division par 0;N/A - division par 0;N/A - division par 0;N/A - division par 0;N/A - division par 0;N/A - division par 0;N/A - division par 0;N/A - division par 0;N/A - division par 0;N/A - division par 0;N/A - division par 0;N/A - division par 0;N/A - division par 0;N/A - division par 0;N/A - division par 0;N/A - division par 0
2302;Ponérihouen village;56;46;7;74;95;138;56;46.2;25.2;27.6;43.8;62.5;37.5;64.4;35.6;38.4;50.2;14.4;46.3;88.4;5.6;6;0.2;5.4;52;19.9;18;10.1;88.2;11.8;94.4;84.6;64.9;35.1;0.3;65.5;42.3;35.4;28.6;1.9;9.3;88.8;30;8.6;28.9;10.9;21.6
2303;Goyetta - Goa - Nébouéba - St Yves;27;10;2;24;47;70;65;60;18.3;28.9;49.4;62.2;37.8;62.8;37.2;64.3;35.7;3.5;62.3;99.3;0.4;0.4;0;0.4;60.1;22.3;14.7;2.9;86.1;13.9;94.9;80.6;50.2;29.3;0.5;54.6;25;54.2;21.7;0.4;7.6;92;21.6;7.7;29.3;8.4;33
2306;Aoupinié - Goro Darawé;0;0;0;0;0;0;N/A - division par 0;N/A - division par 0;N/A - division par 0;N/A - division par 0;N/A - division par 0;N/A - division par 0;N/A - division par 0;N/A - division par 0;N/A - division par 0;N/A - division par 0;N/A - division par 0;N/A - division par 0;N/A - division par 0;N/A - division par 0;N/A - division par 0;N/A - division par 0;N/A - division par 0;N/A - division par 0;N/A - division par 0;N/A - division par 0;N/A - division par 0;N/A - division par 0;N/A - division par 0;N/A - division par 0;N/A - division par 0;N/A - division par 0;N/A - division par 0;N/A - division par 0;N/A - division par 0;N/A - division par 0;N/A - division par 0;N/A - division par 0;N/A - division par 0;N/A - division par 0;N/A - division par 0;N/A - division par 0;N/A - division par 0;N/A - division par 0;N/A - division par 0;N/A - division par 0;N/A - division par 0
2401;Pouébo village - St Ferdinand - St Louis;64;19;11;61;79;87;51.7;40.5;29.9;29.6;40.8;66;34;67.3;32.7;63.8;31;10;54.6;95.8;3.9;0.3;0.8;3;46.8;24.4;20.8;8;92.5;7.5;97.2;84.8;61.2;10;0.3;59.2;35;40.8;29.6;1.1;6.6;92.3;27.1;5.3;29.6;10;28
2402;Tchamboéne - Diahoué - Colnett;36;4;4;24;37;81;63.4;50;20.4;39.2;31.2;65.1;34.9;74.2;25.8;45.7;41.8;15.1;53.4;93.6;3;3.4;0;3;51.7;28.6;14.5;5.1;94.9;5.1;97;88.5;58.5;6.8;0.4;61.3;31.3;48.9;29.6;0.9;6.3;92.8;21.8;5.6;39.7;6.8;26.1
2405;Massif du Panié - Mont Colnett;0;0;0;0;0;0;N/A - division par 0;N/A - division par 0;N/A - division par 0;N/A - division par 0;N/A - division par 0;N/A - division par 0;N/A - division par 0;N/A - division par 0;N/A - division par 0;N/A - division par 0;N/A - division par 0;N/A - division par 0;N/A - division par 0;N/A - division par 0;N/A - division par 0;N/A - division par 0;N/A - division par 0;N/A - division par 0;N/A - division par 0;N/A - division par 0;N/A - division par 0;N/A - division par 0;N/A - division par 0;N/A - division par 0;N/A - division par 0;N/A - division par 0;N/A - division par 0;N/A - division par 0;N/A - division par 0;N/A - division par 0;N/A - division par 0;N/A - division par 0;N/A - division par 0;N/A - division par 0;N/A - division par 0;N/A - division par 0;N/A - division par 0;N/A - division par 0;N/A - division par 0;N/A - division par 0;N/A - division par 0
