PopGIS3 - Nouvelle Calédonie; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Référentiel géographique : iris; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Code;Libellé;Répartition en 6 cat. de la CSP (Agri, artis, cadre, prof int, employé, ouvrier) - agriculteurs-pêcheurs;Répartition en 6 cat. de la CSP (Agri, artis, cadre, prof int, employé, ouvrier) - d'artisans-commerçants;Répartition en 6 cat. de la CSP (Agri, artis, cadre, prof int, employé, ouvrier) - cadres;Répartition en 6 cat. de la CSP (Agri, artis, cadre, prof int, employé, ouvrier) - professions intermédiaires;Répartition en 6 cat. de la CSP (Agri, artis, cadre, prof int, employé, ouvrier) - employés;Répartition en 6 cat. de la CSP (Agri, artis, cadre, prof int, employé, ouvrier) - ouvriers;% employés et ouvriers;% salariés du privé;% salariés du public;% CDD (Contrat à Durée Déterminée);% CDI (Contrat à Durée Indéterminée);% actifs à temps complet;% actifs à temps partiel;% travail en continu;% travail saisonnier;% mode principal de transport = marche à pied;% mode principal de transport = voiture;% mode principal de transport = transport en commun;% ménages sans véhicules;% propriétaires;% locataires;% locataires gratuit;% locataires social;% locataires privés;% logements < 40 m²;% logements < 80 m²;% logements < 120 m²;% logements > 160 m²;% ménages raccordés au réseau d'électricité;% ménages non raccordés au réseau d'électricité;% de ménages avec point d'eau courante individuelle;% ménages réfrigérateur;% ménages machine à laver;% ménages accès à internet;Taux de navetteurs sortant;Taux d'activité (15-64 ans);Taux d'emploi;Taux de chômage;% travailleurs indépendants;% pers. ne résidant pas en Nouvelle Calédonie en 2014;% pers. résidant dans une autre commune en 2014;% pers. résidant dans la même commune en 2014;% pers. seules;% couples sans enfant(s);% couples avec enfant(s);% familles monoparentales;% ménages complexes
1303;Oua Tom Forˆt noire Pierrat;37;9;8;30;35;51;50.6;51.8;25.3;37.6;39.4;82.4;17.6;81.2;18.8;24.1;69.5;8.1;32.4;80.6;7.1;12.4;0;7.1;23.5;34.1;25.9;16.5;80;20;95.3;88.2;70.6;26.5;0.2;69.9;52.8;24.4;22.9;2.7;9.2;88.1;25.9;18.8;32.9;8.2;14.1
1401;Gaitcha;33;23;36;120;290;92;64.3;64.8;21.5;42.9;43.4;81.1;18.9;87.9;12.1;50.5;46.9;5.6;44.8;91.5;6.1;2.4;0;6.1;52.7;26.5;16.4;4.4;94.9;5.1;98.8;83.6;73.1;16;0;62.5;48.7;22;13.6;2.9;5.8;91.3;12.7;11.7;36.6;9.7;29.3
1402;Lössi;53;76;74;186;288;214;56.3;44.2;35.7;28.5;51.4;75.4;24.6;79.1;20.9;46.5;47.2;9.3;48;89.6;7.3;3.1;0.4;6.9;54.2;30.5;11.6;3.7;88.2;11.8;95.1;90.6;76.8;19.3;0;63.9;42.2;33.9;20.1;2.1;7.2;90.7;21.7;12.9;35.3;9.6;20.4
1403;Wet;74;106;70;276;294;193;48.1;44.1;36.7;26.3;54.6;76.6;23.4;81.8;18.2;49.4;49;4.4;44.5;86.8;8.3;4.9;0.3;8;56.2;25.2;14.2;4.4;92.9;7.1;96.9;85;70.4;24.2;0;60.8;40.6;33.3;19.2;3.8;11.3;84.9;22.2;12.4;33.5;9.9;22
1501;Guahma;76;37;16;88;182;88;55.4;44.1;32;23.2;53;63.7;36.3;74.9;25.1;55.1;42.1;5.5;53.4;95.5;2.3;2.2;0.3;2;66.4;24;7.2;2.5;97.2;2.8;96.3;88.9;78.2;12.9;0.1;53.6;34.9;34.8;23.8;0.7;9;90.3;17.4;13.6;37.7;7.5;23.8
1502;La Roche;41;11;5;34;67;31;51.9;43.4;25.9;18.5;50.8;60.3;39.7;65.6;34.4;62.2;41.3;0.5;59.5;98.1;1.9;0;0.4;1.5;57.6;24.2;13;5.2;96.7;3.3;92.9;86.2;77.7;3.3;0.1;54.8;28.3;48.4;30.7;1;4.1;94.9;11.9;6.7;42.8;10.4;28.3
1503;Tadine Pénélo;103;31;24;119;153;94;47.1;38;27.7;23.7;42;59.9;40.1;58.8;41.2;53.3;44.7;4.6;54;94.7;3.5;1.8;2.2;1.3;65.5;23.2;8.8;2.6;94.7;5.3;95.8;82.4;68.5;14.4;0;55.6;34.3;38.3;34.4;1.8;8.5;89.7;14.1;11.3;41.7;8.3;24.6
1601;Moindou;37;32;6;36;77;80;58.6;55.2;16.8;25.4;46.6;80.6;19.4;84.7;15.3;14.7;80.6;6.2;20.5;79.9;9.3;10.8;0;9.3;12.7;34.7;27.2;25.4;90.7;9.3;97.4;92.9;85.1;39.2;0.5;72.8;59.2;18.8;28;0.9;13.4;85.7;28.7;23.9;25.7;9.7;11.9
1701;Yahoué Nord;4;62;95;238;190;144;45.6;58.8;26.7;12.1;73.4;92.6;7.4;97.7;2.3;5.4;95.2;3.4;7.3;63.4;30.5;6.1;5.9;24.6;7.1;26.5;45.9;20.6;97;3;97.6;97.3;95.6;78.1;0.8;76.2;70;8.1;14.5;5.3;21.6;73.1;22.3;21.2;34.4;11.6;10.5
1702;Yahoué Sud;1;59;45;170;263;197;62.6;64.9;23;17.4;70.5;89.5;10.5;94.1;5.9;5.3;83.2;13.1;16.2;72.6;22.2;5.2;8.5;13.7;5.6;29.5;48.6;16.4;99.2;0.8;98.8;99;96.5;76.5;0.7;70.1;60.6;13.5;12.1;4.1;20.3;75.6;13.9;17.9;34.7;9.2;24.3
