commune;num_bv;bv;inscrits;votants;abstention;nuls;blancs;exprimes;oui;non
OUVEA;3;Heo;454.0;220.0;234;2;0;218;180;38
PAITA;17;École Robert Abel- 2;552.0;459.0;93;3;5;451;91;360
POINDIMIE;3;Bayes;541.0;490.0;51;3;0;487;431;56
PONERIHOUEN;1;Mairie;475.0;408.0;67;6;5;397;263;134
PONERIHOUEN;3;Tchamba;310.0;264.0;46;4;0;260;213;47
POUEBO;5;Colnett - maison commune;124.0;92.0;32;0;0;92;84;8
POUM;1;Mairie;599.0;524.0;75;7;7;510;374;136
POYA;3;Népoui;671.0;575.0;96;7;3;565;194;371
TOUHO;1;Mairie;959.0;810.0;149;6;3;801;593;208
BOULOUPARIS;2;Centre Culturel;1125.0;1006.0;119;5;3;998;226;772
BOURAIL;1;Mairie;602.0;533.0;69;4;3;526;113;413
BOURAIL;3;Colisée;842.0;769.0;73;4;3;762;131;631
CANALA;2;Nakéty;793.0;732.0;61;3;1;728;701;27
CANALA;4;Méhoué;789.0;672.0;117;6;2;664;615;49
CANALA;6;Mérénémé;284.0;234.0;50;4;2;228;205;23
DUMBEA;5;Maison de la Jeunesse;1274.0;1059.0;215;6;7;1046;277;769
DUMBEA;8;École maternelle Les Niaoulis;898.0;729.0;169;6;4;719;177;542
DUMBEA;14;Mairie Nord;902.0;774.0;128;5;3;766;81;685
DUMBEA;18;École maternelle Les Colibris;1057.0;883.0;174;4;6;873;153;720
HIENGHENE;3;Bas-Coulna;114.0;97.0;17;0;0;97;86;11
HIENGHENE;6;Ouaième;209.0;177.0;32;3;1;173;166;7
HIENGHENE;9;Ouaré;583.0;527.0;56;7;4;516;501;15
HOUAILOU;1;Mairie;410.0;333.0;77;6;3;324;257;67
HOUAILOU;6;Coula;494.0;399.0;95;2;1;396;348;48
HOUAILOU;8;Nédivin;498.0;428.0;70;4;0;424;368;56
KONE;4;Tiaoué;263.0;245.0;18;0;0;245;228;17
KONE;5;Atéou;125.0;115.0;10;0;0;115;111;4
KONE;6;Bopope;214.0;187.0;27;2;0;185;167;18
KOUAOUA;2;Ouérou-Pimet;262.0;212.0;50;1;1;210;181;29
KOUAOUA;3;Koh;145.0;136.0;9;1;1;134;114;20
LA FOA;3;Centre socio-culturel;788.0;723.0;65;7;3;713;214;499
LIFOU;14;Hapetra;337.0;221.0;116;1;0;220;183;37
LIFOU;15;Nang;349.0;176.0;173;0;0;176;149;27
LIFOU;17;Huiwatrul;375.0;244.0;131;1;0;243;196;47
LIFOU;25;Hnassé;218.0;114.0;104;0;0;114;85;29
ILE DES PINS;3;Lieu de vote délocalisé de l’Ile-des-Pins à Nouméa;130.0;129.0;1;1;0;128;90;38
MARE;1;Tadine;929.0;457.0;472;10;0;447;394;53
MARE;2;Hnawayatche;645.0;241.0;404;4;0;237;170;67
MARE;10;Mebuet;330.0;143.0;187;2;2;139;121;18
MONT-DORE;4;École primaire Louis Henri GALINIE 1;750.0;653.0;97;14;2;637;104;533
MONT-DORE;6;École primaire du Vallon Dore;717.0;601.0;116;10;8;583;104;479
MONT-DORE;11;Groupe scolaire de Boulari 2;699.0;596.0;103;8;6;582;65;517
MONT-DORE;14;École maternelle Les Dauphins;738.0;640.0;98;5;1;634;106;528
MONT-DORE;18;Groupe scolaire de Boulari 3;772.0;627.0;145;2;6;619;87;532
MONT-DORE;19;Groupe scolaire de Saint-Michel 2;595.0;512.0;83;10;10;492;59;433
MONT-DORE;25;Groupe scolaire de Yahoué;731.0;623.0;108;7;3;613;159;454
NOUMEA;7;École Eloi FRANC 2;706.0;604.0;102;4;5;595;27;568
NOUMEA;8;École Fernande LERICHE 1;613.0;543.0;70;1;1;541;17;524
NOUMEA;13;École Ernest RISBEC 2;768.0;663.0;105;1;5;657;37;620
NOUMEA;17;École Candide KOCH 2;871.0;764.0;107;4;6;754;39;715
NOUMEA;24;École Christine BOLETTI 2;972.0;740.0;232;1;7;732;233;499
NOUMEA;25;École Michel CACOT 1;856.0;758.0;98;2;7;749;61;688
NOUMEA;33;École Robert BURCK;1024.0;816.0;208;6;5;805;285;520
NOUMEA;42;École Gustave LODS 2;1180.0;929.0;251;9;11;909;238;671
NOUMEA;48;École Marguerite ARSAPIN;929.0;722.0;207;8;8;706;198;508
NOUMEA;49;École les PERVENCHES;838.0;722.0;116;3;3;716;58;658
OUEGOA;1;Mairie;796.0;684.0;112;4;3;677;170;507
OUEGOA;4;Tiari;151.0;134.0;17;0;0;134;125;9
OUVEA;7;Lekine;258.0;176.0;82;1;0;175;165;10
PAITA;5;Dock socio-culturel 5;719.0;619.0;100;7;4;608;96;512
PAITA;8;École James Paddon;735.0;633.0;102;6;6;621;110;511
