tour,date_scrutin,page,commune_code,commune_code_court,commune,nuance,numero_liste_municipale,tete_liste,voix,pct_inscrits,pct_exprimes,sieges,liste_municipale,source_pdf,source_url
1,2026-03-15,4,98804,04,Canala,LREG,4,Raymond - Freddy TYUIENON,366,10.11,14.39,0,UNI XARACUU ARE,data/elections/data_raw/municipales_2026/municipales_2026_t1_resultats_988_0135.pdf,https://www.nouvelle-caledonie.gouv.fr/contenu/telechargement/13122/109633/file/Municipales%2B2026%2B-%2BR%C3%A9sultats%2B-%2B988%2B-%2BNouvelle-Cal%C3%A9donie_2026-03-17_01h35.pdf
1,2026-03-15,5,98805,05,Dumbéa,LDVD,1,Cynthia JAN NÉE METZDORF,4826,19.87,39.62,0,UNIR POUR l'AVENIR,data/elections/data_raw/municipales_2026/municipales_2026_t1_resultats_988_0135.pdf,https://www.nouvelle-caledonie.gouv.fr/contenu/telechargement/13122/109633/file/Municipales%2B2026%2B-%2BR%C3%A9sultats%2B-%2B988%2B-%2BNouvelle-Cal%C3%A9donie_2026-03-17_01h35.pdf
1,2026-03-15,5,98805,05,Dumbéa,LDVC,2,Vaimua MULIAVA,1337,5.51,10.98,0,DUMBEA COLLECTIF,data/elections/data_raw/municipales_2026/municipales_2026_t1_resultats_988_0135.pdf,https://www.nouvelle-caledonie.gouv.fr/contenu/telechargement/13122/109633/file/Municipales%2B2026%2B-%2BR%C3%A9sultats%2B-%2B988%2B-%2BNouvelle-Cal%C3%A9donie_2026-03-17_01h35.pdf
1,2026-03-15,5,98805,05,Dumbéa,LREG,3,Julia Danielle QENEGEI ÉPOUSE,321,1.32,2.64,0,GUAENERE UNI SOLIDARITE DUMBEA,data/elections/data_raw/municipales_2026/municipales_2026_t1_resultats_988_0135.pdf,https://www.nouvelle-caledonie.gouv.fr/contenu/telechargement/13122/109633/file/Municipales%2B2026%2B-%2BR%C3%A9sultats%2B-%2B988%2B-%2BNouvelle-Cal%C3%A9donie_2026-03-17_01h35.pdf
1,2026-03-15,5,98805,05,Dumbéa,LDVD,4,Yoann LECOURIEUX,2312,9.52,18.98,0,DUMBEA AVANT TOUT!,data/elections/data_raw/municipales_2026/municipales_2026_t1_resultats_988_0135.pdf,https://www.nouvelle-caledonie.gouv.fr/contenu/telechargement/13122/109633/file/Municipales%2B2026%2B-%2BR%C3%A9sultats%2B-%2B988%2B-%2BNouvelle-Cal%C3%A9donie_2026-03-17_01h35.pdf
1,2026-03-15,5,98805,05,Dumbéa,LDVD,5,Muriel MALFAR-PAUGA,1647,6.78,13.52,0,PASSIONNEMENT DUMBEA,data/elections/data_raw/municipales_2026/municipales_2026_t1_resultats_988_0135.pdf,https://www.nouvelle-caledonie.gouv.fr/contenu/telechargement/13122/109633/file/Municipales%2B2026%2B-%2BR%C3%A9sultats%2B-%2B988%2B-%2BNouvelle-Cal%C3%A9donie_2026-03-17_01h35.pdf
1,2026-03-15,5,98805,05,Dumbéa,LREG,6,Rachel AUCHER,1737,7.15,14.26,0,"DUMBEA, AU SERVICE DU PEUPLE",data/elections/data_raw/municipales_2026/municipales_2026_t1_resultats_988_0135.pdf,https://www.nouvelle-caledonie.gouv.fr/contenu/telechargement/13122/109633/file/Municipales%2B2026%2B-%2BR%C3%A9sultats%2B-%2B988%2B-%2BNouvelle-Cal%C3%A9donie_2026-03-17_01h35.pdf
1,2026-03-15,6,98806,06,Farino,,,Luté BARBOU,166,23.85,29.7,5,FARINO SOLIDAIRE & ENGAGEE,data/elections/data_raw/municipales_2026/municipales_2026_t1_resultats_988_0135.pdf,https://www.nouvelle-caledonie.gouv.fr/contenu/telechargement/13122/109633/file/Municipales%2B2026%2B-%2BR%C3%A9sultats%2B-%2B988%2B-%2BNouvelle-Cal%C3%A9donie_2026-03-17_01h35.pdf
1,2026-03-15,6,98806,06,Farino,,,Jean-Christophe NIAUTOU,164,23.56,29.34,4,AGIR POUR FARINO,data/elections/data_raw/municipales_2026/municipales_2026_t1_resultats_988_0135.pdf,https://www.nouvelle-caledonie.gouv.fr/contenu/telechargement/13122/109633/file/Municipales%2B2026%2B-%2BR%C3%A9sultats%2B-%2B988%2B-%2BNouvelle-Cal%C3%A9donie_2026-03-17_01h35.pdf
1,2026-03-15,6,98806,06,Farino,,,Sandrine KABAR,153,21.98,27.37,3,Unis pour Farino,data/elections/data_raw/municipales_2026/municipales_2026_t1_resultats_988_0135.pdf,https://www.nouvelle-caledonie.gouv.fr/contenu/telechargement/13122/109633/file/Municipales%2B2026%2B-%2BR%C3%A9sultats%2B-%2B988%2B-%2BNouvelle-Cal%C3%A9donie_2026-03-17_01h35.pdf
1,2026-03-15,6,98806,06,Farino,,,Martha AIMOA,76,10.92,13.6,2,"FARINO, UN NOUVEAU SOUFFLE",data/elections/data_raw/municipales_2026/municipales_2026_t1_resultats_988_0135.pdf,https://www.nouvelle-caledonie.gouv.fr/contenu/telechargement/13122/109633/file/Municipales%2B2026%2B-%2BR%C3%A9sultats%2B-%2B988%2B-%2BNouvelle-Cal%C3%A9donie_2026-03-17_01h35.pdf
1,2026-03-15,7,98807,07,Hienghène,,1,Mireille TJIBAOU VEUVE COUHIA,830,33.23,51.91,15,UC HYEHEN,data/elections/data_raw/municipales_2026/municipales_2026_t1_resultats_988_0135.pdf,https://www.nouvelle-caledonie.gouv.fr/contenu/telechargement/13122/109633/file/Municipales%2B2026%2B-%2BR%C3%A9sultats%2B-%2B988%2B-%2BNouvelle-Cal%C3%A9donie_2026-03-17_01h35.pdf
1,2026-03-15,7,98807,07,Hienghène,,2,Jean-Claude ATHEA,769,30.78,48.09,4,SOWEI,data/elections/data_raw/municipales_2026/municipales_2026_t1_resultats_988_0135.pdf,https://www.nouvelle-caledonie.gouv.fr/contenu/telechargement/13122/109633/file/Municipales%2B2026%2B-%2BR%C3%A9sultats%2B-%2B988%2B-%2BNouvelle-Cal%C3%A9donie_2026-03-17_01h35.pdf
1,2026-03-15,8,98808,08,Houaïlou,LREG,1,Pascal SAWA,1084,29.19,49.57,0,LISTE UNITAIRE NATIONALISTE FLNKS (UC - UPM - PT),data/elections/data_raw/municipales_2026/municipales_2026_t1_resultats_988_0135.pdf,https://www.nouvelle-caledonie.gouv.fr/contenu/telechargement/13122/109633/file/Municipales%2B2026%2B-%2BR%C3%A9sultats%2B-%2B988%2B-%2BNouvelle-Cal%C3%A9donie_2026-03-17_01h35.pdf
