annee,province,bloc_historique,voix,sieges_province,sieges_congres,exprimes,pct_exprimes,source
2004,Province des Iles,autres_listes,0,0,0,14191,0,https://fr.wikipedia.org/wiki/%C3%89lections_provinciales_n%C3%A9o-cal%C3%A9doniennes_de_2004
2009,Province Sud,anti_independantiste,48815,36,29,60573,80.58871114192792,https://fr.wikipedia.org/wiki/%C3%89lections_provinciales_n%C3%A9o-cal%C3%A9doniennes_de_2009
2009,Province Sud,independantiste,7569,4,3,60573,12.495666386013571,https://fr.wikipedia.org/wiki/%C3%89lections_provinciales_n%C3%A9o-cal%C3%A9doniennes_de_2009
2009,Province Sud,autres_listes,4189,0,0,60573,6.915622472058508,https://fr.wikipedia.org/wiki/%C3%89lections_provinciales_n%C3%A9o-cal%C3%A9doniennes_de_2009
2009,Province Nord,anti_independantiste,5418,2,2,21667,25.0057691420132,https://fr.wikipedia.org/wiki/%C3%89lections_provinciales_n%C3%A9o-cal%C3%A9doniennes_de_2009
2009,Province Nord,independantiste,16249,20,13,21667,74.9942308579868,https://fr.wikipedia.org/wiki/%C3%89lections_provinciales_n%C3%A9o-cal%C3%A9doniennes_de_2009
2009,Province Nord,autres_listes,0,0,0,21667,0,https://fr.wikipedia.org/wiki/%C3%89lections_provinciales_n%C3%A9o-cal%C3%A9doniennes_de_2009
2009,Province des Iles,anti_independantiste,1236,0,0,14318,8.632490571308843,https://fr.wikipedia.org/wiki/%C3%89lections_provinciales_n%C3%A9o-cal%C3%A9doniennes_de_2009
2009,Province des Iles,independantiste,13082,14,7,14318,91.36750942869116,https://fr.wikipedia.org/wiki/%C3%89lections_provinciales_n%C3%A9o-cal%C3%A9doniennes_de_2009
2009,Province des Iles,autres_listes,0,0,0,14318,0,https://fr.wikipedia.org/wiki/%C3%89lections_provinciales_n%C3%A9o-cal%C3%A9doniennes_de_2009
2014,Province Sud,anti_independantiste,55947,33,26,68236,81.99044492643179,https://fr.wikipedia.org/wiki/%C3%89lections_provinciales_n%C3%A9o-cal%C3%A9doniennes_de_2014
2014,Province Sud,independantiste,12289,7,6,68236,18.009555073568205,https://fr.wikipedia.org/wiki/%C3%89lections_provinciales_n%C3%A9o-cal%C3%A9doniennes_de_2014
2014,Province Sud,autres_listes,0,0,0,68236,0,https://fr.wikipedia.org/wiki/%C3%89lections_provinciales_n%C3%A9o-cal%C3%A9doniennes_de_2014
2014,Province Nord,anti_independantiste,4752,4,3,23399,20.308560194880123,https://fr.wikipedia.org/wiki/%C3%89lections_provinciales_n%C3%A9o-cal%C3%A9doniennes_de_2014
2014,Province Nord,independantiste,18647,18,12,23399,79.69143980511987,https://fr.wikipedia.org/wiki/%C3%89lections_provinciales_n%C3%A9o-cal%C3%A9doniennes_de_2014
2014,Province Nord,autres_listes,0,0,0,23399,0,https://fr.wikipedia.org/wiki/%C3%89lections_provinciales_n%C3%A9o-cal%C3%A9doniennes_de_2014
2014,Province des Iles,anti_independantiste,939,0,0,13631,6.888709559093243,https://fr.wikipedia.org/wiki/%C3%89lections_provinciales_n%C3%A9o-cal%C3%A9doniennes_de_2014
2014,Province des Iles,independantiste,12692,14,7,13631,93.11129044090676,https://fr.wikipedia.org/wiki/%C3%89lections_provinciales_n%C3%A9o-cal%C3%A9doniennes_de_2014
2014,Province des Iles,autres_listes,0,0,0,13631,0,https://fr.wikipedia.org/wiki/%C3%89lections_provinciales_n%C3%A9o-cal%C3%A9doniennes_de_2014
2019,Province Sud,anti_independantiste,53216,33,26,70959,74.99541989035922,https://fr.wikipedia.org/wiki/%C3%89lections_provinciales_n%C3%A9o-cal%C3%A9doniennes_de_2019
2019,Province Sud,independantiste,13848,7,6,70959,19.51549486323088,https://fr.wikipedia.org/wiki/%C3%89lections_provinciales_n%C3%A9o-cal%C3%A9doniennes_de_2019
2019,Province Sud,autres_listes,3895,0,0,70959,5.489085246409899,https://fr.wikipedia.org/wiki/%C3%89lections_provinciales_n%C3%A9o-cal%C3%A9doniennes_de_2019
2019,Province Nord,anti_independantiste,5047,3,2,25221,20.011101859561478,https://fr.wikipedia.org/wiki/%C3%89lections_provinciales_n%C3%A9o-cal%C3%A9doniennes_de_2019
2019,Province Nord,independantiste,20174,19,13,25221,79.98889814043852,https://fr.wikipedia.org/wiki/%C3%89lections_provinciales_n%C3%A9o-cal%C3%A9doniennes_de_2019
2019,Province Nord,autres_listes,0,0,0,25221,0,https://fr.wikipedia.org/wiki/%C3%89lections_provinciales_n%C3%A9o-cal%C3%A9doniennes_de_2019
2019,Province des Iles,anti_independantiste,1313,0,0,13983,9.389973539297719,https://fr.wikipedia.org/wiki/%C3%89lections_provinciales_n%C3%A9o-cal%C3%A9doniennes_de_2019
2019,Province des Iles,independantiste,12670,14,7,13983,90.61002646070229,https://fr.wikipedia.org/wiki/%C3%89lections_provinciales_n%C3%A9o-cal%C3%A9doniennes_de_2019
2019,Province des Iles,autres_listes,0,0,0,13983,0,https://fr.wikipedia.org/wiki/%C3%89lections_provinciales_n%C3%A9o-cal%C3%A9doniennes_de_2019
2026,Province Nord,anti_independantiste,4261,3,2,26090,16.33192794174013,https://www.nouvelle-caledonie.gouv.fr/contenu/telechargement/13500/112224/file/PROVINCIALES_2026_R%C3%A9sultats_COMPLETS.pdf
2026,Province Nord,autres_listes,853,0,0,26090,3.269451897278651,https://www.nouvelle-caledonie.gouv.fr/contenu/telechargement/13500/112224/file/PROVINCIALES_2026_R%C3%A9sultats_COMPLETS.pdf
2026,Province Nord,independantiste,20976,19,13,26090,80.39862016098122,https://www.nouvelle-caledonie.gouv.fr/contenu/telechargement/13500/112224/file/PROVINCIALES_2026_R%C3%A9sultats_COMPLETS.pdf
2026,Province Sud,anti_independantiste,61539,33,26,82360,74.7195240407965,https://www.nouvelle-caledonie.gouv.fr/contenu/telechargement/13500/112224/file/PROVINCIALES_2026_R%C3%A9sultats_COMPLETS.pdf
2026,Province Sud,autres_listes,3575,0,0,82360,4.340699368625546,https://www.nouvelle-caledonie.gouv.fr/contenu/telechargement/13500/112224/file/PROVINCIALES_2026_R%C3%A9sultats_COMPLETS.pdf
2026,Province Sud,independantiste,17246,7,6,82360,20.93977659057795,https://www.nouvelle-caledonie.gouv.fr/contenu/telechargement/13500/112224/file/PROVINCIALES_2026_R%C3%A9sultats_COMPLETS.pdf
2026,Province des Iles,anti_independantiste,270,0,0,11979,2.2539444027047333,https://www.nouvelle-caledonie.gouv.fr/contenu/telechargement/13500/112224/file/PROVINCIALES_2026_R%C3%A9sultats_COMPLETS.pdf
2026,Province des Iles,independantiste,11709,14,7,11979,97.74605559729527,https://www.nouvelle-caledonie.gouv.fr/contenu/telechargement/13500/112224/file/PROVINCIALES_2026_R%C3%A9sultats_COMPLETS.pdf
